datetime;total_votes;Lay_Lady_Lay;rockamark;not;sly2m;Qumnica;Deneo;voklo;akuaku;kotophalk;kiLstrom
2019-10-09 01:18:59;22;0;5;4;0;2;0;2;0;2;0
2019-10-09 01:19:58;22;0;5;4;0;2;0;2;0;2;0
2019-10-09 01:20:59;22;0;5;4;0;2;0;2;0;2;0
2019-10-09 01:21:59;22;0;5;4;0;2;0;2;0;2;0
2019-10-09 01:22:58;22;0;5;4;0;2;0;2;0;2;0
2019-10-09 01:23:59;22;0;5;4;0;2;0;2;0;2;0
2019-10-09 01:24:59;22;0;5;4;0;2;0;2;0;2;0
2019-10-09 01:25:59;22;0;5;4;0;2;0;2;0;2;0
2019-10-09 01:26:58;22;0;5;4;0;2;0;2;0;2;0
2019-10-09 01:27:59;22;0;5;4;0;2;0;2;0;2;0
2019-10-09 01:28:59;22;0;5;4;0;2;0;2;0;2;0
2019-10-09 01:29:59;22;0;5;4;0;2;0;2;0;2;0
2019-10-09 01:30:58;22;0;5;4;0;2;0;2;0;2;0
2019-10-09 01:31:59;22;0;5;4;0;2;0;2;0;2;0
2019-10-09 01:32:59;22;0;5;4;0;2;0;2;0;2;0
2019-10-09 01:33:59;22;0;5;4;0;2;0;2;0;2;0
2019-10-09 01:34:59;22;0;5;4;0;2;0;2;0;2;0
2019-10-09 01:35:58;22;0;5;4;0;2;0;2;0;2;0
2019-10-09 01:36:59;22;0;5;4;0;2;0;2;0;2;0
2019-10-09 01:37:59;22;0;5;4;0;2;0;2;0;2;0
2019-10-09 01:38:58;23;0;6;4;0;2;0;2;0;2;0
2019-10-09 01:39:59;23;0;6;4;0;2;0;2;0;2;0
2019-10-09 01:40:59;23;0;6;4;0;2;0;2;0;2;0
2019-10-09 01:41:58;23;0;6;4;0;2;0;2;0;2;0
2019-10-09 01:42:59;23;0;6;4;0;2;0;2;0;2;0
2019-10-09 01:43:59;23;0;6;4;0;2;0;2;0;2;0
2019-10-09 01:44:58;23;0;6;4;0;2;0;2;0;2;0
2019-10-09 01:45:59;23;0;6;4;0;2;0;2;0;2;0
2019-10-09 01:46:59;23;0;6;4;0;2;0;2;0;2;0
2019-10-09 01:47:59;23;0;6;4;0;2;0;2;0;2;0
2019-10-09 01:48:58;23;0;6;4;0;2;0;2;0;2;0
2019-10-09 01:49:59;23;0;6;4;0;2;0;2;0;2;0
2019-10-09 01:50:59;23;0;6;4;0;2;0;2;0;2;0
2019-10-09 01:51:59;23;0;6;4;0;2;0;2;0;2;0
2019-10-09 01:52:58;23;0;6;4;0;2;0;2;0;2;0
2019-10-09 01:53:59;23;0;6;4;0;2;0;2;0;2;0
2019-10-09 01:54:59;23;0;6;4;0;2;0;2;0;2;0
2019-10-09 01:55:58;23;0;6;4;0;2;0;2;0;2;0
2019-10-09 01:56:59;23;0;6;4;0;2;0;2;0;2;0
2019-10-09 01:57:59;23;0;6;4;0;2;0;2;0;2;0
2019-10-09 01:58:59;23;0;6;4;0;2;0;2;0;2;0
2019-10-09 01:59:58;24;1;6;4;0;2;0;2;0;2;0
2019-10-09 02:00:59;24;1;6;4;0;2;0;2;0;2;0
2019-10-09 02:01:59;24;1;6;4;0;2;0;2;0;2;0
2019-10-09 02:02:59;25;1;6;4;0;2;0;3;0;2;0
2019-10-09 02:03:58;25;1;6;4;0;2;0;3;0;2;0
2019-10-09 02:04:59;25;1;6;4;0;2;0;3;0;2;0
2019-10-09 02:05:59;25;1;6;4;0;2;0;3;0;2;0
2019-10-09 02:06:58;25;1;6;4;0;2;0;3;0;2;0
2019-10-09 02:07:59;25;1;6;4;0;2;0;3;0;2;0
2019-10-09 02:08:59;25;1;6;4;0;2;0;3;0;2;0
2019-10-09 02:09:59;25;1;6;4;0;2;0;3;0;2;0
2019-10-09 02:10:58;25;1;6;4;0;2;0;3;0;2;0
2019-10-09 02:11:59;25;1;6;4;0;2;0;3;0;2;0
2019-10-09 02:12:59;25;1;6;4;0;2;0;3;0;2;0
2019-10-09 02:13:58;26;1;6;4;0;3;0;3;0;2;0
2019-10-09 02:14:59;26;1;6;4;0;3;0;3;0;2;0
2019-10-09 02:15:59;26;1;6;4;0;3;0;3;0;2;0
2019-10-09 02:16:59;26;1;6;4;0;3;0;3;0;2;0
2019-10-09 02:17:58;26;1;6;4;0;3;0;3;0;2;0
2019-10-09 02:18:59;26;1;6;4;0;3;0;3;0;2;0
2019-10-09 02:19:59;26;1;6;4;0;3;0;3;0;2;0
2019-10-09 02:20:58;26;1;6;4;0;3;0;3;0;2;0
2019-10-09 02:21:59;26;1;6;4;0;3;0;3;0;2;0
2019-10-09 02:22:59;26;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:24:00;26;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:24:58;26;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:25:59;26;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:26:59;26;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:27:58;26;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:28:59;26;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:29:59;26;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:30:58;26;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:31:59;26;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:32:59;26;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:33:59;26;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:34:58;26;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:35:59;26;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:36:59;26;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:38:00;27;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:38:58;27;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:39:59;27;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:40:59;27;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:41:58;27;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:42:59;27;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:43:59;27;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:44:59;27;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:45:58;28;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:46:59;28;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:47:59;28;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:48:58;28;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:49:59;28;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:50:59;28;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:51:59;28;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:52:58;28;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:53:59;28;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:54:59;28;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:55:58;28;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:56:59;28;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:57:59;28;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:58:59;28;2;5;4;0;3;0;3;0;2;0
2019-10-09 02:59:58;28;2;5;4;0;3;0;3;0;2;0
2019-10-09 03:00:59;28;2;5;4;0;3;0;3;0;2;0
2019-10-09 03:01:58;28;2;5;4;0;3;0;3;0;2;0
2019-10-09 03:02:59;28;2;5;4;0;3;0;3;0;2;0
2019-10-09 03:03:59;28;2;5;4;0;3;0;3;0;2;0
2019-10-09 03:04:59;28;2;5;4;0;3;0;3;0;2;0
2019-10-09 03:05:58;28;2;5;4;0;3;0;3;0;2;0
2019-10-09 03:06:58;28;2;5;4;0;3;0;3;0;2;0
2019-10-09 03:07:59;28;2;5;4;0;3;0;3;0;2;0
2019-10-09 03:08:59;28;2;5;4;0;3;0;3;0;2;0
2019-10-09 03:09:58;28;2;5;4;0;3;0;3;0;2;0
2019-10-09 03:10:59;29;2;5;4;0;4;0;3;0;2;0
2019-10-09 03:11:59;29;2;5;4;0;4;0;3;0;2;0
2019-10-09 03:12:58;29;2;5;4;0;4;0;3;0;2;0
2019-10-09 03:13:59;29;2;5;4;0;4;0;3;0;2;0
2019-10-09 03:14:59;29;2;5;4;0;4;0;3;0;2;0
2019-10-09 03:15:58;29;2;5;4;0;4;0;3;0;2;0
2019-10-09 03:16:59;29;2;5;4;0;4;0;3;0;2;0
2019-10-09 03:17:59;29;2;5;4;0;4;0;3;0;2;0
2019-10-09 03:18:59;29;2;5;4;0;4;0;3;0;2;0
2019-10-09 03:19:58;29;2;5;4;0;4;0;3;0;2;0
2019-10-09 03:20:59;29;2;5;4;0;4;0;3;0;2;0
2019-10-09 03:21:59;29;2;5;4;0;4;0;3;0;2;0
2019-10-09 03:22:58;29;2;5;4;0;4;0;3;0;2;0
2019-10-09 03:23:59;29;2;5;4;0;4;0;3;0;2;0
2019-10-09 03:24:59;29;2;5;4;0;4;0;3;0;2;0
2019-10-09 03:25:59;29;2;5;4;0;4;0;3;0;2;0
2019-10-09 03:26:58;30;2;5;4;0;4;2;3;0;2;1
2019-10-09 03:27:59;30;2;5;4;0;4;2;3;0;2;1
2019-10-09 03:28:59;30;2;5;4;0;4;2;3;0;2;1
2019-10-09 03:29:59;30;2;5;4;0;4;2;3;0;2;1
2019-10-09 03:30:58;30;2;5;4;0;4;2;3;0;2;1
2019-10-09 03:31:59;30;2;5;4;0;4;2;3;0;2;1
2019-10-09 03:32:59;30;2;5;4;0;4;2;3;0;2;1
2019-10-09 03:33:59;30;2;5;4;0;4;2;3;0;2;1
2019-10-09 03:34:58;30;2;5;4;0;4;2;3;0;2;1
2019-10-09 03:35:59;30;2;5;4;0;4;2;3;0;2;1
2019-10-09 03:36:59;31;2;6;4;0;4;2;3;0;2;1
