datetime;total_votes;ante;Tae4ka;bf6;wintercyclone;rockamark;Helengar;MsRobinson;BlackIrony;gelatelno;Salt
2020-02-26 01:18:59;27;13;1;5;0;1;0;3;0;1;0
2020-02-26 01:19:58;27;13;1;5;0;1;0;3;0;1;0
2020-02-26 01:20:59;27;13;1;5;0;1;0;3;0;1;0
2020-02-26 01:21:59;27;13;1;5;0;1;0;3;0;1;0
2020-02-26 01:22:58;27;13;1;5;0;1;0;3;0;1;0
2020-02-26 01:23:59;27;13;1;5;0;1;0;3;0;1;0
2020-02-26 01:24:59;27;13;1;5;0;1;0;3;0;1;0
2020-02-26 01:25:58;27;13;1;5;0;1;0;3;0;1;0
2020-02-26 01:26:59;27;13;1;5;0;1;0;3;0;1;0
2020-02-26 01:27:59;28;13;1;5;0;1;1;3;0;1;0
2020-02-26 01:28:58;28;13;1;5;0;1;1;3;0;1;0
2020-02-26 01:29:59;28;13;1;5;0;1;1;3;0;1;0
2020-02-26 01:30:59;28;13;1;5;0;1;1;3;0;1;0
2020-02-26 01:31:59;28;13;1;5;0;1;1;3;0;1;0
2020-02-26 01:32:58;28;13;1;5;0;1;1;3;0;1;0
2020-02-26 01:33:59;28;13;1;5;0;1;1;3;0;1;0
2020-02-26 01:34:59;28;13;1;5;0;1;1;3;0;1;0
2020-02-26 01:35:58;28;13;1;5;0;1;1;3;0;1;0
2020-02-26 01:36:59;28;13;1;5;0;1;1;3;0;1;0
2020-02-26 01:37:59;28;13;1;5;0;1;1;3;0;1;0
2020-02-26 01:38:58;28;13;1;5;0;1;1;3;0;1;0
2020-02-26 01:39:59;28;13;1;5;0;1;1;3;0;1;0
2020-02-26 01:40:59;28;13;1;5;0;1;1;3;0;1;0
2020-02-26 01:41:59;28;13;1;5;0;1;1;3;0;1;0
2020-02-26 01:42:58;28;13;1;5;0;1;1;3;0;1;0
2020-02-26 01:43:59;28;13;1;5;0;1;1;3;0;1;0
2020-02-26 01:44:59;28;13;1;5;0;1;1;3;0;1;0
2020-02-26 01:45:58;28;13;1;5;0;1;1;3;0;1;0
2020-02-26 01:46:59;28;13;1;5;0;1;1;3;0;1;0
2020-02-26 01:47:59;28;13;1;5;0;1;1;3;0;1;0
2020-02-26 01:48:58;28;13;1;5;0;1;1;3;0;1;0
2020-02-26 01:49:59;28;13;1;5;0;1;1;3;0;1;0
2020-02-26 01:50:59;28;13;1;5;0;1;1;3;0;1;0
2020-02-26 01:51:59;28;13;1;5;0;1;1;3;0;1;0
2020-02-26 01:52:58;30;13;1;6;0;1;1;3;0;1;0
2020-02-26 01:53:59;30;13;1;6;0;1;1;3;0;1;0
2020-02-26 01:54:59;30;13;1;6;0;1;1;3;0;1;0
2020-02-26 01:55:58;30;13;1;6;0;1;1;3;0;1;0
2020-02-26 01:56:59;30;13;1;6;0;1;1;3;0;1;0
2020-02-26 01:57:59;30;13;1;6;0;1;1;3;0;1;0
2020-02-26 01:58:58;30;13;1;6;0;1;1;3;0;1;0
2020-02-26 01:59:59;31;13;1;6;1;1;1;3;0;1;0
2020-02-26 02:00:59;33;13;1;6;3;1;1;3;0;1;0
2020-02-26 02:01:58;34;13;1;6;4;1;1;3;0;1;0
2020-02-26 02:02:59;35;13;1;6;5;1;1;3;0;1;0
2020-02-26 02:03:59;35;13;1;6;5;1;1;3;0;1;0
2020-02-26 02:04:59;36;13;1;6;5;1;1;3;0;1;0
2020-02-26 02:05:58;37;13;0;6;5;1;1;3;0;1;0
2020-02-26 02:06:59;37;13;0;6;5;1;1;3;0;1;0
2020-02-26 02:07:59;37;13;0;6;5;1;1;3;0;1;0
2020-02-26 02:08:58;37;13;0;6;5;1;1;3;0;1;0
2020-02-26 02:09:59;37;13;0;6;5;1;1;3;0;1;0
2020-02-26 02:10:58;37;13;0;6;5;1;1;3;0;1;0
2020-02-26 02:11:59;37;13;0;6;5;1;1;3;0;1;0
