datetime;total_votes;Rumpelstilzchen;navalny;shamanka2_0;KOCTOPE3;Есения;ruweb;quick_justice;mahinaci9;kotophalk;Trudofobique
2020-10-07 01:17:58;36;18;2;2;2;1;0;2;0;1;2
2020-10-07 01:18:59;36;18;2;2;2;1;0;2;0;1;2
2020-10-07 01:19:59;36;18;2;2;2;1;0;2;0;1;2
2020-10-07 01:20:58;36;18;2;2;2;1;0;2;0;1;2
2020-10-07 01:21:59;36;18;2;2;2;1;0;2;0;1;2
2020-10-07 01:22:58;36;18;2;2;2;1;0;2;0;1;2
2020-10-07 01:23:59;36;18;2;2;2;1;0;2;0;1;2
2020-10-07 01:24:59;37;18;3;2;2;1;0;2;0;1;2
2020-10-07 01:25:58;37;18;3;2;2;1;0;2;0;1;2
2020-10-07 01:26:59;37;18;3;2;2;1;0;2;0;1;2
2020-10-07 01:27:59;37;18;3;2;2;1;0;2;0;1;2
2020-10-07 01:28:58;38;19;3;2;2;1;0;2;0;1;2
2020-10-07 01:29:59;38;19;3;2;2;1;0;2;0;1;2
2020-10-07 01:30:59;39;19;3;2;2;1;0;3;0;1;2
2020-10-07 01:31:59;39;19;3;2;2;1;0;3;0;1;2
2020-10-07 01:32:58;39;19;3;2;2;1;0;3;0;1;2
2020-10-07 01:33:59;39;19;3;2;2;1;0;3;0;1;2
2020-10-07 01:34:58;39;19;3;2;2;1;0;3;0;1;2
2020-10-07 01:35:59;39;19;3;2;2;1;0;3;0;1;2
2020-10-07 01:36:59;39;19;3;2;2;1;0;3;0;1;2
2020-10-07 01:37:58;39;19;3;2;2;1;0;3;0;1;2
2020-10-07 01:38:59;39;19;3;2;2;1;0;3;0;1;2
2020-10-07 01:39:59;39;19;3;2;2;1;0;3;0;1;2
2020-10-07 01:40:58;39;19;3;2;2;1;0;3;0;1;2
2020-10-07 01:41:59;39;19;3;2;2;1;0;3;0;1;2
2020-10-07 01:42:59;39;19;3;2;2;1;0;3;0;1;2
2020-10-07 01:43:58;39;19;3;2;2;1;0;3;0;1;2
2020-10-07 01:44:59;39;19;3;2;2;1;0;3;0;1;2
2020-10-07 01:45:59;39;19;3;2;2;1;0;3;0;1;2
2020-10-07 01:46:58;39;19;3;2;2;1;0;3;0;1;2
2020-10-07 01:47:59;39;19;3;2;2;1;0;3;0;1;2
2020-10-07 01:48:59;39;19;3;2;2;1;0;3;0;1;2
2020-10-07 01:49:58;39;19;3;2;2;1;0;3;0;1;2
2020-10-07 01:50:59;39;19;3;2;2;1;0;3;0;1;2
2020-10-07 01:51:59;39;19;3;2;2;1;0;3;0;1;2
2020-10-07 01:52:58;39;19;3;2;2;1;0;3;0;1;2
2020-10-07 01:53:59;39;19;3;2;2;1;0;3;0;1;2
2020-10-07 01:54:59;39;19;3;2;2;1;0;3;0;1;2
2020-10-07 01:55:58;39;19;3;2;2;1;0;3;0;1;2
2020-10-07 01:56:59;39;19;3;2;2;1;0;3;0;1;2
2020-10-07 01:57:59;39;19;3;2;2;1;0;3;0;1;2
2020-10-07 01:58:58;39;19;3;2;2;1;0;3;0;1;2
2020-10-07 01:59:59;39;19;3;2;2;1;0;3;0;1;2
2020-10-07 02:00:59;39;19;3;2;2;1;0;3;0;1;2
2020-10-07 02:01:58;39;19;3;2;2;1;0;3;0;1;2
2020-10-07 02:02:59;40;19;3;2;2;1;0;3;0;1;2
2020-10-07 02:03:58;40;19;3;2;2;1;0;3;0;1;2
2020-10-07 02:04:59;40;19;3;2;2;1;0;3;0;1;2
2020-10-07 02:05:59;40;19;3;2;2;1;0;3;0;1;2
2020-10-07 02:07:00;40;19;3;2;2;1;0;3;0;1;2
2020-10-07 02:07:58;41;19;3;2;2;1;0;3;0;1;3
2020-10-07 02:08:59;41;19;3;2;2;1;0;3;0;1;3
2020-10-07 02:09:59;41;19;3;2;2;1;0;3;0;1;3
2020-10-07 02:10:58;41;19;3;2;2;1;0;3;0;1;3
2020-10-07 02:11:59;41;19;3;2;2;1;0;3;0;1;3
2020-10-07 02:12:59;41;19;3;2;2;1;0;3;0;1;3
2020-10-07 02:13:58;41;19;3;2;2;1;0;3;0;1;3
2020-10-07 02:14:59;41;19;3;2;2;1;0;3;0;1;3
2020-10-07 02:15:59;41;19;3;2;2;1;0;3;0;1;3
2020-10-07 02:16:58;41;19;3;2;2;1;0;3;0;1;3
2020-10-07 02:17:59;41;19;3;2;2;1;0;3;0;1;3
2020-10-07 02:18:59;41;19;3;2;2;1;0;3;0;1;3
2020-10-07 02:19:58;41;19;3;2;2;1;0;3;0;1;3
2020-10-07 02:20:59;41;19;3;2;2;1;0;3;0;1;3
2020-10-07 02:21:59;41;19;3;2;2;1;0;3;0;1;3
2020-10-07 02:22:58;41;19;3;2;2;1;0;3;0;1;3
2020-10-07 02:23:59;41;19;3;2;2;1;0;3;0;1;3
2020-10-07 02:24:59;41;19;3;2;2;1;0;3;0;1;3
2020-10-07 02:25:58;42;19;4;2;2;1;0;3;0;1;3
2020-10-07 02:26:59;42;19;4;2;2;1;0;3;0;1;3
2020-10-07 02:27:59;42;19;4;2;2;1;0;3;0;1;3
2020-10-07 02:28:58;42;19;4;2;2;1;0;3;0;1;3
2020-10-07 02:29:59;42;19;4;2;2;1;0;3;0;1;3
2020-10-07 02:30:59;42;19;4;2;2;1;0;3;0;1;3
2020-10-07 02:31:59;42;19;4;2;2;1;0;3;0;1;3
2020-10-07 02:32:58;42;19;4;2;2;1;0;3;0;1;3
2020-10-07 02:33:59;42;19;4;2;2;1;0;3;0;1;3
2020-10-07 02:34:59;43;19;5;2;2;1;0;3;0;1;3
2020-10-07 02:35:58;43;19;5;2;2;1;0;3;0;1;3
2020-10-07 02:36:59;43;19;5;2;2;1;0;3;0;1;3
2020-10-07 02:37:59;43;19;5;2;2;1;0;3;0;1;3
2020-10-07 02:38:58;43;19;5;2;2;1;0;3;0;1;3
2020-10-07 02:39:59;43;19;5;2;2;1;0;3;0;1;3
2020-10-07 02:40:59;43;19;5;2;2;1;0;3;0;1;3
2020-10-07 02:41:58;43;19;5;2;2;1;0;3;0;1;3
2020-10-07 02:42:59;43;19;5;2;2;1;0;3;0;1;3
2020-10-07 02:43:59;43;19;5;2;2;1;0;3;0;1;3
2020-10-07 02:44:58;43;19;5;2;2;1;0;3;0;1;3
2020-10-07 02:45:59;43;19;5;2;2;1;0;3;0;1;3
2020-10-07 02:46:59;43;19;5;2;2;1;0;3;0;1;3
2020-10-07 02:47:58;43;19;5;2;2;1;0;3;0;1;3
2020-10-07 02:48:59;43;19;5;2;2;1;0;3;0;1;3
2020-10-07 02:49:59;43;19;5;2;2;1;0;3;0;1;3
2020-10-07 02:50:58;43;19;5;2;2;1;0;3;0;1;3
2020-10-07 02:51:59;43;19;5;2;2;1;0;3;0;1;3
2020-10-07 02:52:59;43;19;5;2;2;1;0;3;0;1;3
2020-10-07 02:53:58;43;19;5;2;2;1;0;3;0;1;3
2020-10-07 02:54:59;43;19;5;2;2;1;0;3;0;1;3
2020-10-07 02:55:59;42;19;5;2;2;1;0;2;0;1;3
2020-10-07 02:56:58;42;19;5;2;2;1;0;2;0;1;3
2020-10-07 02:57:59;42;19;5;2;2;1;0;2;0;1;3
2020-10-07 02:58:58;42;19;5;2;2;1;0;2;0;1;3
2020-10-07 02:59:59;42;19;5;2;2;1;0;2;0;1;3
2020-10-07 03:00:59;42;19;5;2;2;1;0;2;0;1;3
2020-10-07 03:02:00;42;19;5;2;2;1;0;2;0;1;3
2020-10-07 03:02:58;42;19;5;2;2;1;0;2;0;1;3
2020-10-07 03:03:59;42;19;5;2;2;1;0;2;0;1;3
2020-10-07 03:04:59;42;19;5;2;2;1;0;2;0;1;3
2020-10-07 03:05:58;42;19;5;2;2;1;0;2;0;1;3
2020-10-07 03:06:59;42;19;5;2;2;1;0;2;0;1;3
2020-10-07 03:07:59;42;19;5;2;2;1;0;2;0;1;3
2020-10-07 03:08:58;42;19;5;2;2;1;0;2;0;1;3
2020-10-07 03:09:59;42;19;5;2;2;1;0;2;0;1;3
2020-10-07 03:10:59;42;19;5;2;2;1;0;2;0;1;3
2020-10-07 03:11:58;42;19;5;2;2;1;0;2;0;1;3
2020-10-07 03:12:59;42;19;5;2;2;1;0;2;0;1;3
2020-10-07 03:13:59;42;19;5;2;2;1;0;2;0;1;3
