datetime;total_votes;ruweb;atomic_gun;ksiam;axxl;PVN;few;Bruja_;Barkas;kross;KOCTOPE3
2020-03-25 01:29:59;44;14;11;2;1;4;3;0;0;2;0
2020-03-25 01:30:58;44;14;11;2;1;4;3;0;0;2;0
2020-03-25 01:31:59;44;14;11;2;1;4;3;0;0;2;0
2020-03-25 01:32:59;44;14;11;2;1;4;3;0;0;2;0
2020-03-25 01:33:58;45;14;11;2;1;5;3;0;0;2;0
2020-03-25 01:34:59;45;14;11;2;1;5;3;0;0;2;0
2020-03-25 01:35:59;45;14;11;2;1;5;3;0;0;2;0
2020-03-25 01:36:58;45;14;11;2;1;5;3;0;0;2;0
2020-03-25 01:37:59;46;15;11;2;1;5;3;0;0;2;0
2020-03-25 01:38:59;47;15;11;2;1;6;3;0;0;2;0
2020-03-25 01:39:59;47;15;11;2;1;6;3;0;0;2;0
2020-03-25 01:40:58;47;15;11;2;1;6;3;0;0;2;0
2020-03-25 01:41:59;47;15;11;2;1;6;3;0;0;2;0
2020-03-25 01:42:59;47;15;11;2;1;6;3;0;0;2;0
2020-03-25 01:43:58;47;15;11;2;1;6;3;0;0;2;0
2020-03-25 01:44:59;47;15;11;2;1;6;3;0;0;2;0
2020-03-25 01:45:59;47;15;11;2;1;6;3;0;0;2;0
2020-03-25 01:46:58;47;15;11;2;1;6;3;0;0;2;0
2020-03-25 01:47:59;47;15;11;2;1;6;3;0;0;2;0
2020-03-25 01:48:59;48;15;12;2;1;6;3;0;0;2;0
2020-03-25 01:49:59;48;15;13;2;1;5;3;0;0;2;0
2020-03-25 01:50:58;48;15;13;2;1;5;3;0;0;2;0
2020-03-25 01:51:59;48;15;13;2;1;5;3;0;0;2;0
2020-03-25 01:52:59;48;15;13;2;1;5;3;0;0;2;0
2020-03-25 01:53:58;48;15;13;2;1;5;3;0;0;2;0
2020-03-25 01:54:59;48;15;13;2;1;5;3;0;0;2;0
2020-03-25 01:55:59;48;15;13;2;1;5;3;0;0;2;0
2020-03-25 01:56:59;49;15;13;2;1;5;3;0;0;2;0
2020-03-25 01:57:58;49;15;13;2;1;5;3;0;0;2;0
2020-03-25 01:58:59;49;15;13;2;1;5;3;0;0;2;0
2020-03-25 01:59:59;49;15;13;2;1;5;3;0;0;2;0
2020-03-25 02:00:58;49;15;13;2;1;5;3;0;0;2;0
2020-03-25 02:01:59;49;15;13;2;1;5;3;0;0;2;0
2020-03-25 02:02:59;51;16;14;2;1;5;3;0;0;2;0
2020-03-25 02:03:58;51;16;14;2;1;5;3;0;0;2;0
2020-03-25 02:04:59;51;16;14;2;1;5;3;0;0;2;0
2020-03-25 02:05:59;51;16;14;2;1;5;3;0;0;2;0
2020-03-25 02:06:58;51;16;14;2;1;5;3;0;0;2;0
2020-03-25 02:07:59;51;16;14;2;1;5;3;0;0;2;0
2020-03-25 02:08:59;51;16;14;2;1;5;3;0;0;2;0
2020-03-25 02:09:59;51;16;14;2;1;5;3;0;0;2;0
2020-03-25 02:10:58;51;16;14;2;1;5;3;0;0;2;0
2020-03-25 02:11:59;51;16;14;2;1;5;3;0;0;2;0
2020-03-25 02:12:59;52;16;15;2;1;5;3;0;0;2;0
2020-03-25 02:13:58;52;16;15;2;1;5;3;0;0;2;0
2020-03-25 02:14:59;52;16;15;2;1;5;3;0;0;2;0
2020-03-25 02:15:59;52;16;15;2;1;5;3;0;0;2;0
2020-03-25 02:16:58;52;16;15;2;1;5;3;0;0;2;0
2020-03-25 02:17:59;53;16;16;2;1;5;3;0;0;2;0
2020-03-25 02:18:59;53;16;16;2;1;5;3;0;0;2;0
2020-03-25 02:19:58;53;16;16;2;1;5;3;0;0;2;0
2020-03-25 02:20:59;53;16;16;2;1;5;3;0;0;2;0
2020-03-25 02:21:59;53;16;16;2;1;5;3;0;0;2;0
2020-03-25 02:22:59;54;16;16;2;1;5;3;1;0;2;0
2020-03-25 02:23:58;55;16;16;2;0;5;3;1;0;2;0
2020-03-25 02:24:59;55;16;16;2;0;5;3;1;0;2;0
2020-03-25 02:25:59;55;16;16;2;0;5;3;1;0;2;0
2020-03-25 02:26:59;55;16;16;2;0;5;3;1;0;2;0
2020-03-25 02:27:58;55;16;16;2;0;5;3;1;0;2;0
2020-03-25 02:28:59;56;16;16;3;1;5;3;1;0;2;0
2020-03-25 02:29:59;56;16;16;3;1;5;3;1;0;2;0
2020-03-25 02:30:59;56;16;16;3;1;5;3;1;0;2;0
2020-03-25 02:31:58;56;16;16;3;1;5;3;1;0;2;0
2020-03-25 02:32:59;56;16;16;3;1;5;3;1;0;2;0
2020-03-25 02:33:59;56;16;16;3;1;5;3;1;0;2;0
2020-03-25 02:34:58;56;16;16;3;1;5;3;1;0;2;0
2020-03-25 02:35:59;57;16;17;3;1;5;3;1;0;2;0
2020-03-25 02:36:59;57;16;17;3;1;5;3;1;0;2;0
2020-03-25 02:37:58;57;16;17;3;1;5;3;1;0;2;0
2020-03-25 02:38:59;57;16;17;3;1;5;3;1;0;2;0
2020-03-25 02:39:59;57;16;17;3;1;5;3;1;0;2;0
2020-03-25 02:40:58;57;16;17;3;1;5;3;1;0;2;0
2020-03-25 02:41:59;57;16;17;3;1;5;3;1;0;2;0
2020-03-25 02:42:59;57;16;17;3;1;5;3;1;0;2;0
2020-03-25 02:43:58;58;17;17;3;1;5;3;1;0;2;0
2020-03-25 02:44:59;58;17;17;3;1;5;3;1;0;2;0
2020-03-25 02:45:59;59;18;17;3;1;5;3;1;0;2;0
2020-03-25 02:46:58;60;19;17;3;1;5;3;1;0;2;0
2020-03-25 02:47:59;60;19;17;3;1;5;3;1;0;2;0
2020-03-25 02:48:59;60;19;17;3;1;5;3;1;0;2;0
2020-03-25 02:49:59;60;19;17;3;1;5;3;1;0;2;0
2020-03-25 02:50:58;61;19;18;3;1;5;3;1;0;2;0
2020-03-25 02:51:59;61;19;18;3;1;5;3;1;0;2;0
2020-03-25 02:52:59;62;19;19;3;1;5;3;1;0;2;0
2020-03-25 02:53:59;65;20;20;3;1;5;3;0;0;2;0
2020-03-25 02:54:58;64;20;19;3;1;5;3;0;0;2;0
2020-03-25 02:55:59;64;20;19;3;1;5;3;0;0;2;0
2020-03-25 02:56:59;64;20;19;3;1;5;3;0;0;2;0
2020-03-25 02:57:58;64;20;19;3;1;5;3;0;0;2;0
2020-03-25 02:58:59;64;20;19;3;1;5;3;0;0;2;0
2020-03-25 02:59:59;64;20;19;3;1;5;3;0;0;2;0
2020-03-25 03:01:00;65;20;20;3;1;5;3;0;0;2;0
2020-03-25 03:01:58;66;20;20;4;1;5;3;0;0;2;0
2020-03-25 03:02:59;66;20;20;4;1;5;3;0;0;2;0
2020-03-25 03:03:59;67;21;20;4;1;5;3;0;0;2;0
2020-03-25 03:04:58;67;21;20;4;1;5;3;0;0;2;0
2020-03-25 03:05:59;67;21;20;4;1;5;3;0;0;2;0
2020-03-25 03:06:59;67;21;20;4;1;5;3;0;0;2;0
2020-03-25 03:07:59;67;21;20;4;1;5;3;0;0;2;0
2020-03-25 03:08:58;67;21;20;4;1;5;3;0;0;2;0
2020-03-25 03:09:59;67;21;20;4;1;5;3;0;0;2;0
2020-03-25 03:10:59;67;21;20;4;1;5;3;0;0;2;0
2020-03-25 03:11:59;68;22;20;4;1;5;3;0;0;2;0
2020-03-25 03:12:58;68;22;20;4;1;5;3;0;0;2;0
2020-03-25 03:13:59;68;22;20;4;1;5;3;0;0;2;0
2020-03-25 03:14:59;68;22;20;4;1;5;3;0;0;2;0
2020-03-25 03:15:59;69;22;21;4;1;5;3;0;0;2;0
2020-03-25 03:16:58;69;22;21;4;1;5;3;0;0;2;0
2020-03-25 03:17:59;69;22;21;4;1;5;3;0;0;2;0
2020-03-25 03:18:59;69;22;21;4;1;5;3;0;0;2;0
2020-03-25 03:19:59;69;22;21;4;1;5;3;0;0;2;0
2020-03-25 03:20:58;69;22;21;4;1;5;3;0;0;2;0
2020-03-25 03:21:59;69;22;21;4;1;5;3;0;0;2;0
2020-03-25 03:22:59;69;22;21;4;1;5;3;0;0;2;0
2020-03-25 03:23:58;69;22;21;4;1;5;3;0;0;2;0
2020-03-25 03:24:59;69;22;21;4;1;5;3;0;0;2;0
2020-03-25 03:25:59;69;22;21;4;1;5;3;0;0;2;0
2020-03-25 03:26:59;69;22;21;4;1;5;3;0;0;2;0
2020-03-25 03:27:58;69;22;21;4;1;5;3;0;0;2;0
2020-03-25 03:28:59;69;22;21;4;1;5;3;0;0;2;0
2020-03-25 03:29:59;69;22;21;4;1;5;3;0;0;2;0
2020-03-25 03:30:58;69;22;21;4;1;5;3;0;0;2;0
2020-03-25 03:31:59;69;22;21;4;1;5;3;0;0;2;0
2020-03-25 03:32:59;69;22;21;4;1;5;3;0;0;2;0
2020-03-25 03:33:59;69;22;21;4;1;5;3;0;0;2;0
2020-03-25 03:34:58;69;22;21;4;1;5;3;0;0;2;0
2020-03-25 03:35:59;69;22;21;4;1;5;3;0;0;2;0
2020-03-25 03:36:59;69;22;21;4;1;5;3;0;0;2;0
2020-03-25 03:37:58;69;22;21;4;1;5;3;0;0;2;0
2020-03-25 03:38:59;69;22;21;4;1;5;3;0;0;2;0
2020-03-25 03:39:59;69;22;21;4;1;5;3;0;0;2;0
2020-03-25 03:40:58;70;22;22;4;1;5;3;0;0;2;0
2020-03-25 03:41:59;70;22;22;4;1;5;3;0;0;2;0
2020-03-25 03:42:59;70;22;22;4;1;5;3;0;0;2;0
2020-03-25 03:43:58;70;22;22;4;1;5;3;0;0;2;0
2020-03-25 03:44:59;70;22;22;4;1;5;3;0;0;2;0
2020-03-25 03:45:59;70;22;22;4;1;5;3;0;0;2;0
2020-03-25 03:46:59;70;22;22;4;1;5;3;0;0;2;0
2020-03-25 03:47:58;71;23;22;4;1;5;3;0;0;2;0
2020-03-25 03:48:59;72;24;22;4;1;5;3;0;0;2;0
2020-03-25 03:49:59;73;24;22;4;1;6;3;0;0;2;0
2020-03-25 03:50:59;73;24;22;4;1;6;3;0;0;2;0
2020-03-25 03:51:58;73;24;22;4;1;6;3;0;0;2;0
2020-03-25 03:52:59;74;24;22;4;2;6;3;0;0;2;0
2020-03-25 03:53:59;74;24;22;4;2;6;3;0;0;2;0
2020-03-25 03:54:58;74;24;22;4;2;6;3;0;0;2;0
2020-03-25 03:55:59;74;24;22;4;2;6;3;0;0;2;0
2020-03-25 03:56:59;74;24;22;4;2;6;3;0;0;2;0
2020-03-25 03:57:58;74;24;22;4;2;6;3;0;0;2;0
2020-03-25 03:58:59;74;24;22;4;2;6;3;0;0;2;0
2020-03-25 03:59:59;74;24;22;4;2;6;3;0;0;2;0
2020-03-25 04:00:59;74;24;22;4;2;6;3;0;0;2;0
2020-03-25 04:01:58;74;24;22;4;2;6;3;0;0;2;0
2020-03-25 04:02:59;74;24;22;4;2;6;3;0;0;2;0
2020-03-25 04:03:59;74;24;22;4;2;6;3;0;0;2;0
2020-03-25 04:04:59;74;24;22;4;2;6;3;0;0;2;0
2020-03-25 04:05:58;74;24;22;4;2;6;3;0;0;2;0
2020-03-25 04:06:59;74;24;22;4;2;6;3;0;0;2;0
2020-03-25 04:07:59;75;24;22;4;2;6;3;2;0;2;0
2020-03-25 04:08:59;76;24;23;4;2;6;3;2;0;2;0
2020-03-25 04:09:58;76;24;23;4;2;6;3;2;0;2;0
2020-03-25 04:10:59;76;24;23;4;2;6;3;2;0;2;0
2020-03-25 04:11:59;76;24;23;4;2;6;3;2;0;2;0
2020-03-25 04:12:58;76;24;23;4;2;6;3;2;0;2;0
2020-03-25 04:13:59;76;23;24;4;2;6;3;2;0;2;0
2020-03-25 04:14:59;76;23;24;4;2;6;3;2;0;2;0
2020-03-25 04:15:59;76;23;24;4;2;6;3;2;0;2;0
2020-03-25 04:16:58;76;23;24;4;2;6;3;2;0;2;0
2020-03-25 04:17:59;76;23;24;4;2;6;3;2;0;2;0
2020-03-25 04:18:59;77;23;24;4;3;6;3;2;0;2;0
