datetime;total_votes;pavelomg;DrumBox;Dirtylieutenant;kamutahirovata;rockamark;megalomaniac;Zabava;mvgolubev;Lay_Lady_Lay;Palad1n
2019-12-25 01:17:59;28;0;6;5;0;4;1;3;1;2;1
2019-12-25 01:18:59;28;0;6;5;0;4;1;3;1;2;1
2019-12-25 01:19:58;28;0;6;5;0;4;1;3;1;2;1
2019-12-25 01:20:59;28;0;6;5;0;4;1;3;1;2;1
2019-12-25 01:21:59;29;0;6;5;0;4;1;3;0;2;0
2019-12-25 01:22:58;29;0;6;5;0;4;1;3;0;2;0
2019-12-25 01:23:59;29;0;6;5;0;4;1;3;0;2;0
2019-12-25 01:24:59;29;0;6;5;0;4;1;3;0;2;0
2019-12-25 01:25:58;29;0;6;5;0;4;1;3;0;2;0
2019-12-25 01:26:59;29;0;6;5;0;4;1;3;0;2;0
2019-12-25 01:27:59;29;0;6;5;0;4;1;3;0;2;0
2019-12-25 01:28:59;29;0;6;5;0;4;1;3;0;2;0
2019-12-25 01:29:58;29;0;6;5;0;4;1;3;0;2;0
2019-12-25 01:30:59;29;0;6;5;0;4;1;3;0;2;0
2019-12-25 01:31:59;29;0;6;5;0;4;1;3;0;2;0
2019-12-25 01:32:58;29;0;6;5;0;4;1;3;0;2;0
2019-12-25 01:33:59;29;0;6;5;0;4;1;3;0;2;0
2019-12-25 01:34:58;30;0;6;5;0;4;1;3;0;2;1
2019-12-25 01:35:59;30;0;6;5;0;4;1;3;0;2;1
2019-12-25 01:36:59;30;0;6;5;0;4;1;3;0;2;1
2019-12-25 01:37:58;30;0;6;5;0;4;1;3;0;2;1
2019-12-25 01:38:59;30;0;6;5;0;4;1;3;0;2;1
2019-12-25 01:39:59;32;0;6;5;0;4;1;3;1;2;1
2019-12-25 01:40:58;33;0;6;5;0;4;1;4;1;2;1
2019-12-25 01:41:59;33;0;6;5;0;4;1;4;1;2;1
2019-12-25 01:42:59;33;0;6;5;0;4;1;4;1;2;1
2019-12-25 01:43:59;33;0;6;5;0;4;1;4;1;2;1
2019-12-25 01:44:58;33;0;6;5;0;4;1;4;1;2;1
2019-12-25 01:45:59;33;0;6;5;0;4;1;4;1;2;1
2019-12-25 01:46:59;34;0;6;5;0;4;1;4;1;3;1
2019-12-25 01:47:58;34;0;6;5;0;5;1;4;1;2;1
2019-12-25 01:48:59;34;0;6;5;0;5;1;4;1;2;1
2019-12-25 01:49:59;34;0;6;5;0;5;1;4;1;2;1
2019-12-25 01:50:58;34;0;6;5;0;5;1;4;1;2;1
2019-12-25 01:51:59;34;0;6;5;0;5;1;4;1;2;1
2019-12-25 01:52:59;34;0;6;5;0;5;1;4;1;2;1
2019-12-25 01:53:59;34;0;6;5;0;5;1;4;1;2;1
2019-12-25 01:54:58;35;0;7;5;0;5;1;4;1;2;1
2019-12-25 01:55:59;35;0;7;5;0;5;1;4;1;2;1
2019-12-25 01:56:59;35;0;7;5;0;5;1;4;1;2;1
2019-12-25 01:57:58;35;0;7;5;0;5;1;4;1;2;1
2019-12-25 01:58:59;35;0;7;5;0;5;1;4;1;2;1
2019-12-25 01:59:59;35;0;7;5;0;5;1;4;1;2;1
2019-12-25 02:00:58;35;0;7;5;0;5;1;4;1;2;1
2019-12-25 02:01:59;35;0;7;5;0;5;1;4;1;2;1
2019-12-25 02:02:59;35;0;7;5;0;5;1;4;1;2;1
2019-12-25 02:03:58;35;0;7;5;0;5;1;4;1;2;1
2019-12-25 02:04:59;35;0;7;5;0;5;1;4;1;2;1
2019-12-25 02:05:58;35;0;7;5;0;5;1;4;1;2;1
2019-12-25 02:06:59;35;0;7;5;0;5;1;4;1;2;1
2019-12-25 02:07:59;35;0;7;5;0;5;1;4;1;2;1
2019-12-25 02:08:58;36;0;7;5;0;5;0;4;1;2;1
2019-12-25 02:09:59;36;0;7;5;0;5;0;4;1;2;1
2019-12-25 02:10:59;36;0;7;5;0;5;0;4;1;2;1
2019-12-25 02:11:58;36;0;7;5;0;5;0;4;1;2;1
2019-12-25 02:12:59;36;0;7;5;0;5;0;4;1;2;1
2019-12-25 02:13:59;37;0;7;5;0;5;1;4;0;2;2
2019-12-25 02:14:59;37;0;7;5;0;5;1;4;0;2;2
