datetime;total_votes;Jey;Mindsplitter;Rumpelstilzchen;Yardrey;Good;Volodya_FM;mama_p_zh;telegraf;pazoozoo;Bruja_
2021-01-20 01:17:58;48;6;10;8;3;2;0;2;3;2;3
2021-01-20 01:18:59;48;6;10;8;3;2;0;2;3;2;3
2021-01-20 01:19:58;50;6;11;8;3;3;0;2;3;2;3
2021-01-20 01:20:59;51;6;11;9;3;3;0;2;3;2;3
2021-01-20 01:21:59;51;6;11;9;3;3;0;2;3;2;3
2021-01-20 01:22:58;51;6;11;9;3;3;0;2;3;2;3
2021-01-20 01:23:59;52;7;11;9;3;3;0;2;3;2;3
2021-01-20 01:24:58;52;7;11;9;3;3;0;2;3;2;3
2021-01-20 01:25:59;53;7;11;9;3;4;0;2;3;2;3
2021-01-20 01:26:58;53;7;11;9;3;4;0;2;3;2;3
2021-01-20 01:27:59;53;7;11;9;3;4;0;2;3;2;3
2021-01-20 01:28:59;53;7;11;9;3;4;0;2;3;2;3
2021-01-20 01:30:00;53;7;11;9;3;4;0;2;3;2;3
2021-01-20 01:30:58;53;7;11;9;3;4;0;2;3;2;3
2021-01-20 01:31:59;53;7;11;9;3;4;0;2;3;2;3
2021-01-20 01:32:59;53;7;11;9;3;4;0;2;3;2;3
2021-01-20 01:33:58;54;8;11;9;3;4;0;2;3;2;3
2021-01-20 01:34:59;54;8;11;9;3;4;0;2;3;2;3
2021-01-20 01:35:58;54;8;11;9;3;4;0;2;3;2;3
2021-01-20 01:36:59;54;8;11;9;3;4;0;2;3;2;3
2021-01-20 01:37:58;54;8;11;9;3;4;0;2;3;2;3
2021-01-20 01:38:59;54;8;11;9;3;4;0;2;3;2;3
2021-01-20 01:39:58;55;8;11;9;3;4;0;2;3;2;3
2021-01-20 01:40:59;55;8;11;9;3;4;0;2;3;2;3
2021-01-20 01:41:59;55;8;11;9;3;4;0;2;3;2;3
2021-01-20 01:42:58;56;9;11;9;3;4;0;2;3;2;3
2021-01-20 01:43:59;56;9;11;9;3;4;0;2;3;2;3
2021-01-20 01:44:58;56;9;11;9;3;4;0;2;3;2;3
2021-01-20 01:45:59;56;9;11;9;3;4;0;2;3;2;3
2021-01-20 01:46:59;56;9;11;9;3;4;0;2;3;2;3
2021-01-20 01:47:58;56;9;11;9;3;4;0;2;3;2;3
2021-01-20 01:48:59;56;9;11;9;3;4;0;2;3;2;3
2021-01-20 01:49:59;56;9;11;9;3;4;0;2;3;2;3
2021-01-20 01:50:58;56;9;11;9;3;4;0;2;3;2;3
2021-01-20 01:51:59;56;9;11;9;3;4;0;2;3;2;3
2021-01-20 01:52:59;57;10;11;9;3;4;0;2;3;2;3
2021-01-20 01:53:58;58;11;11;9;3;4;0;2;3;2;3
2021-01-20 01:54:59;58;11;11;9;3;4;0;2;3;2;3
2021-01-20 01:55:59;58;11;11;9;3;4;0;2;3;2;3
2021-01-20 01:56:58;59;11;12;9;3;4;0;2;3;2;3
2021-01-20 01:57:59;59;11;12;9;3;4;0;2;3;2;3
2021-01-20 01:58:59;60;11;13;9;3;4;0;2;3;2;3
2021-01-20 01:59:58;60;11;13;9;3;4;0;2;3;2;3
2021-01-20 02:00:59;60;11;13;9;3;4;0;2;3;2;3
2021-01-20 02:01:58;60;12;13;8;3;4;0;2;3;2;3
2021-01-20 02:02:59;59;12;13;7;3;4;0;2;3;2;3
2021-01-20 02:03:59;60;13;13;7;3;4;0;2;3;2;3
2021-01-20 02:04:58;61;13;14;7;3;4;0;2;3;2;3
2021-01-20 02:05:59;61;13;14;7;3;4;0;2;3;2;3
2021-01-20 02:06:58;61;13;14;7;3;4;0;2;3;2;3
2021-01-20 02:07:59;61;13;14;7;3;4;0;2;3;2;3
2021-01-20 02:08:59;61;13;14;7;3;4;0;2;3;2;3
2021-01-20 02:09:58;61;13;14;7;3;4;0;2;3;2;3
2021-01-20 02:10:59;61;13;14;7;3;4;0;2;3;2;3
2021-01-20 02:11:59;61;13;14;7;3;4;0;2;3;2;3
2021-01-20 02:12:58;61;13;14;7;3;4;0;2;3;2;3
2021-01-20 02:13:59;61;13;14;7;3;4;0;2;3;2;3
2021-01-20 02:15:00;61;13;14;7;3;4;0;2;3;2;3
2021-01-20 02:15:58;61;13;14;7;3;4;0;2;3;2;3
2021-01-20 02:16:59;61;13;14;7;3;4;0;2;3;2;3
2021-01-20 02:17:59;61;13;14;7;3;4;0;2;3;2;3
2021-01-20 02:18:58;61;13;14;7;3;4;0;2;3;2;3
2021-01-20 02:19:59;61;13;14;7;3;4;0;2;3;2;3
2021-01-20 02:20:59;61;13;14;7;3;4;0;2;3;2;3
2021-01-20 02:21:58;61;13;14;7;3;4;0;2;3;2;3
2021-01-20 02:22:59;61;13;14;7;3;4;0;2;3;2;3
2021-01-20 02:23:58;61;13;14;7;3;4;0;2;3;2;3
2021-01-20 02:24:59;61;13;14;7;3;4;0;2;3;2;3
2021-01-20 02:25:59;61;13;14;7;3;4;0;2;3;2;3
2021-01-20 02:26:58;61;13;14;7;3;4;0;2;3;2;3
2021-01-20 02:27:59;62;14;14;7;3;4;0;2;3;2;3
2021-01-20 02:28:59;62;14;14;7;3;4;0;2;3;2;3
2021-01-20 02:29:58;62;14;14;7;3;4;0;2;3;2;3
2021-01-20 02:30:59;62;14;14;7;3;4;0;2;3;2;3
2021-01-20 02:31:58;62;14;14;7;3;4;0;2;3;2;3
2021-01-20 02:32:59;62;14;14;7;3;4;0;2;3;2;3
2021-01-20 02:33:59;62;14;14;7;3;4;0;2;3;2;3
2021-01-20 02:34:58;62;14;14;7;3;4;0;2;3;2;3
2021-01-20 02:35:59;62;14;14;7;3;4;0;2;3;2;3
2021-01-20 02:37:00;62;14;14;7;3;4;0;2;3;2;3
2021-01-20 02:37:58;62;14;14;7;3;4;0;2;3;2;3
2021-01-20 02:38:59;62;14;14;7;3;4;0;2;3;2;3
2021-01-20 02:39:58;62;14;14;7;3;4;0;2;3;2;3
2021-01-20 02:40:59;62;14;14;7;3;4;0;2;3;2;3
2021-01-20 02:41:59;62;14;14;7;3;4;0;2;3;2;3
2021-01-20 02:42:58;62;14;14;7;3;4;0;2;3;2;3
2021-01-20 02:43:59;63;15;14;7;3;4;0;2;3;2;3
2021-01-20 02:44:59;63;15;14;7;3;4;0;2;3;2;3
2021-01-20 02:45:58;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 02:46:59;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 02:47:59;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 02:48:58;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 02:49:59;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 02:50:59;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 02:51:58;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 02:52:59;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 02:53:59;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 02:54:58;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 02:55:59;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 02:56:58;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 02:57:59;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 02:58:59;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 02:59:58;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:00:59;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:01:59;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:02:58;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:03:59;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:04:58;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:05:59;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:06:59;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:07:58;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:08:59;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:09:59;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:10:58;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:11:59;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:12:59;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:13:58;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:14:59;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:15:59;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:16:59;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:17:58;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:18:59;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:19:58;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:20:59;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:21:59;63;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:22:58;64;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:23:59;64;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:24:58;64;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:25:59;64;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:26:59;64;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:27:59;64;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:28:58;64;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:29:59;64;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:30:58;64;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:31:59;64;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:33:00;64;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:33:58;64;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:34:59;64;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:35:58;64;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:36:59;64;15;14;6;3;4;0;3;3;2;3
2021-01-20 03:37:59;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 03:38:58;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 03:39:59;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 03:40:59;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 03:41:58;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 03:42:59;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 03:43:58;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 03:44:59;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 03:45:59;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 03:46:58;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 03:47:59;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 03:48:59;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 03:49:59;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 03:50:58;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 03:51:59;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 03:52:59;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 03:53:58;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 03:54:59;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 03:55:59;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 03:56:58;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 03:57:59;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 03:58:59;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 03:59:58;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 04:00:59;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 04:01:59;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 04:02:58;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 04:03:59;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 04:04:58;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 04:05:59;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 04:06:59;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 04:07:58;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 04:08:59;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 04:09:59;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 04:10:58;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 04:11:59;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 04:12:59;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 04:13:58;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 04:14:59;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 04:15:58;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 04:16:59;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 04:17:59;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 04:18:58;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 04:19:59;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 04:20:59;65;16;14;6;3;4;0;3;3;2;3
2021-01-20 04:21:58;66;16;15;6;3;4;0;3;3;2;3
2021-01-20 04:22:59;67;17;15;6;3;4;0;3;3;2;3
2021-01-20 04:23:59;67;17;15;6;3;4;0;3;3;2;3
2021-01-20 04:24:58;67;17;15;6;3;4;0;3;3;2;3
2021-01-20 04:25:59;67;17;15;6;3;4;0;3;3;2;3
2021-01-20 04:26:59;68;17;15;6;3;4;0;4;3;2;3
2021-01-20 04:27:58;68;17;15;6;3;4;0;4;3;2;3
2021-01-20 04:28:59;68;17;15;6;3;4;0;4;3;2;3
2021-01-20 04:29:59;68;17;15;6;3;4;0;4;3;2;3
2021-01-20 04:30:58;68;17;15;6;3;4;0;4;3;2;3
2021-01-20 04:31:59;68;17;15;6;3;4;0;4;3;2;3
2021-01-20 04:32:59;68;17;15;6;3;4;0;4;3;2;3
2021-01-20 04:33:58;68;17;15;6;3;4;0;4;3;2;3
2021-01-20 04:34:59;68;17;15;6;3;4;0;4;3;2;3
2021-01-20 04:35:59;68;17;15;6;3;4;0;4;3;2;3
2021-01-20 04:36:58;68;17;15;6;3;4;0;4;3;2;3
2021-01-20 04:37:59;68;17;15;6;3;4;0;4;3;2;3
2021-01-20 04:38:58;68;17;15;6;3;4;0;4;3;2;3
2021-01-20 04:39:59;68;17;15;6;3;4;0;4;3;2;3
2021-01-20 04:40:59;68;17;15;6;3;4;0;4;3;2;3
2021-01-20 04:41:59;68;17;15;6;3;4;0;4;3;2;3
2021-01-20 04:42:58;68;17;15;6;3;4;0;4;3;2;3
2021-01-20 04:43:59;68;17;15;6;3;4;0;4;3;2;3
2021-01-20 04:44:58;68;17;15;6;3;4;0;4;3;2;3
2021-01-20 04:45:59;68;17;15;6;3;4;0;4;3;2;3
2021-01-20 04:46:59;68;17;15;6;3;4;0;4;3;2;3
2021-01-20 04:47:58;68;17;15;6;3;4;0;4;3;2;3
2021-01-20 04:48:59;68;17;15;6;3;4;0;4;3;2;3
2021-01-20 04:49:59;68;17;15;6;3;4;0;4;3;2;3
2021-01-20 04:50:58;68;17;15;6;3;4;0;4;3;2;3
2021-01-20 04:51:59;69;17;15;6;4;4;0;4;3;2;3
2021-01-20 04:53:00;69;17;15;6;4;4;0;4;3;2;3
2021-01-20 04:53:58;70;17;16;6;4;4;0;4;3;2;3
2021-01-20 04:54:59;70;17;16;6;4;4;0;4;3;2;3
2021-01-20 04:55:59;70;17;16;6;4;4;0;4;3;2;3
2021-01-20 04:56:58;70;17;16;6;4;4;0;4;3;2;3
2021-01-20 04:57:59;70;17;16;6;4;4;0;4;3;2;3
2021-01-20 04:58:59;70;17;16;6;4;4;0;4;3;2;3
2021-01-20 04:59:58;70;17;16;6;4;4;0;4;3;2;3
2021-01-20 05:00:59;70;17;16;6;4;4;0;4;3;2;3
2021-01-20 05:01:58;70;17;16;6;4;4;0;4;3;2;3
2021-01-20 05:02:59;70;17;16;6;4;4;0;4;3;2;3
2021-01-20 05:03:59;70;17;16;6;4;4;0;4;3;2;3
2021-01-20 05:04:58;70;17;16;6;4;4;0;4;3;2;3
2021-01-20 05:05:59;71;17;17;6;4;4;0;4;3;2;2
