datetime;total_votes;jovan;pashkowski;KOCTOPE3;paramed;pupsique;Helengar;yachik;bigmouse;praktik;Есения
2019-05-01 00:38:59;14;5;1;3;1;0;0;1;0;1;0
2019-05-01 00:39:59;14;5;1;3;1;0;0;1;0;1;0
2019-05-01 00:40:58;14;5;1;3;1;0;0;1;0;1;0
2019-05-01 00:41:59;14;5;1;3;1;0;0;1;0;1;0
2019-05-01 00:42:59;15;5;1;3;1;0;0;1;0;1;0
2019-05-01 00:43:58;15;5;1;3;1;0;0;1;0;1;0
2019-05-01 00:44:59;15;5;1;3;1;0;0;1;0;1;0
2019-05-01 00:46:00;15;5;1;3;1;0;0;1;0;1;0
2019-05-01 00:46:58;15;5;1;3;1;0;0;1;0;1;0
2019-05-01 00:47:59;15;5;1;3;1;0;0;1;0;1;0
2019-05-01 00:49:00;16;6;1;3;1;0;0;1;0;1;0
2019-05-01 00:49:58;16;6;1;3;1;0;0;1;0;1;0
2019-05-01 00:50:59;17;7;1;3;1;0;0;1;0;1;0
2019-05-01 00:51:59;17;7;1;3;1;0;0;1;0;1;0
2019-05-01 00:52:58;18;7;2;3;1;0;0;1;0;1;0
2019-05-01 00:53:59;18;7;2;3;1;0;0;1;0;1;0
2019-05-01 00:54:59;18;7;2;3;1;0;0;1;0;1;0
2019-05-01 00:55:58;18;7;2;3;1;0;0;1;0;1;0
2019-05-01 00:56:59;18;7;2;3;1;0;0;1;0;1;0
2019-05-01 00:57:59;18;7;2;3;1;0;0;1;0;1;0
2019-05-01 00:58:58;18;7;2;3;1;0;0;1;0;1;0
2019-05-01 00:59:59;18;7;2;3;1;0;0;1;0;1;0
2019-05-01 01:00:59;18;7;2;3;1;0;0;1;0;1;0
2019-05-01 01:01:58;18;7;2;3;1;0;0;1;0;1;0
2019-05-01 01:02:59;18;7;2;3;1;0;0;1;0;1;0
2019-05-01 01:03:59;18;7;2;3;1;0;0;1;0;1;0
2019-05-01 01:04:58;18;7;2;3;1;0;0;1;0;1;0
2019-05-01 01:05:59;18;7;2;3;1;0;0;1;0;1;0
2019-05-01 01:06:59;19;7;2;3;1;0;0;1;0;1;0
2019-05-01 01:07:58;19;7;2;3;1;0;0;1;0;1;0
2019-05-01 01:08:59;19;7;2;3;1;0;0;1;0;1;0
2019-05-01 01:09:59;19;7;2;3;1;0;0;1;0;1;0
2019-05-01 01:10:58;19;7;2;3;1;0;0;1;0;1;0
2019-05-01 01:11:59;19;7;2;3;1;0;0;1;0;1;0
2019-05-01 01:12:59;19;7;2;3;1;0;0;1;0;1;0
2019-05-01 01:13:58;19;7;2;3;1;0;0;1;0;1;0
2019-05-01 01:14:59;19;7;2;3;1;0;0;1;0;1;0
2019-05-01 01:15:59;19;7;2;3;1;0;0;1;0;1;0
2019-05-01 01:16:58;21;8;2;3;1;0;0;1;0;0;0
2019-05-01 01:17:59;21;8;2;3;1;0;0;1;0;0;0
2019-05-01 01:18:58;21;8;2;3;1;0;0;1;0;0;0
2019-05-01 01:19:59;21;8;2;3;1;0;0;1;0;0;0
2019-05-01 01:20:59;21;8;2;3;1;0;0;1;0;0;0
2019-05-01 01:21:58;21;8;2;3;1;0;0;1;0;0;0
2019-05-01 01:22:59;21;8;2;3;1;0;0;1;0;0;0
2019-05-01 01:23:59;21;8;2;3;1;0;0;1;0;0;0
2019-05-01 01:24:58;21;8;2;3;1;0;0;1;0;0;0
2019-05-01 01:25:59;21;8;2;3;1;0;0;1;0;0;0
2019-05-01 01:26:58;21;8;2;3;1;0;0;1;0;0;0
2019-05-01 01:27:59;21;8;2;3;1;0;0;1;0;0;0
2019-05-01 01:28:59;21;8;2;3;1;0;0;1;0;0;0
2019-05-01 01:29:59;21;8;2;3;1;0;0;1;0;0;0
2019-05-01 01:30:58;21;8;2;3;1;0;0;1;0;0;0
2019-05-01 01:31:59;21;8;2;3;1;0;0;1;0;0;0
2019-05-01 01:32:59;21;8;2;3;1;0;0;1;0;0;0
2019-05-01 01:33:58;21;8;2;3;1;0;0;1;0;0;0
2019-05-01 01:34:59;21;8;2;3;1;0;0;1;0;0;0
2019-05-01 01:35:59;21;8;2;3;1;0;0;1;0;0;0
2019-05-01 01:36:58;21;8;2;3;1;0;0;1;0;0;0
2019-05-01 01:37:59;21;8;2;3;1;0;0;1;0;0;0
2019-05-01 01:38:59;21;8;2;3;1;0;0;1;0;0;0
2019-05-01 01:39:58;22;8;2;3;1;0;0;1;0;0;0
2019-05-01 01:40:59;23;9;2;3;1;0;0;1;0;0;0
2019-05-01 01:41:59;23;9;2;3;1;0;0;1;0;0;0
2019-05-01 01:42:58;23;9;2;3;1;0;0;1;0;0;0
2019-05-01 01:43:59;23;9;2;3;1;0;0;1;0;0;0
2019-05-01 01:44:58;23;9;2;3;1;0;0;1;0;0;0
2019-05-01 01:45:59;23;9;2;3;1;0;0;1;0;0;0
2019-05-01 01:46:59;23;9;2;3;1;0;0;1;0;0;0
2019-05-01 01:47:58;23;9;2;3;1;0;0;1;0;0;0
2019-05-01 01:48:59;23;9;2;3;1;0;0;1;0;0;0
2019-05-01 01:49:59;23;9;2;3;1;0;0;1;0;0;0
2019-05-01 01:50:58;24;10;2;3;1;0;0;1;0;0;0
2019-05-01 01:51:59;24;10;2;3;1;0;0;1;0;0;0
2019-05-01 01:52:59;24;10;2;3;1;0;0;1;0;0;0
2019-05-01 01:53:58;24;10;2;3;1;0;0;1;0;0;0
2019-05-01 01:54:59;25;10;2;3;2;0;0;0;0;0;0
2019-05-01 01:55:59;25;10;2;3;2;0;0;0;0;0;0
2019-05-01 01:56:58;25;10;2;3;2;0;0;0;0;0;0
2019-05-01 01:57:59;25;10;2;3;2;0;0;0;0;0;0
2019-05-01 01:58:59;25;10;2;3;2;0;0;0;0;0;0
2019-05-01 01:59:58;25;10;2;3;2;0;0;0;0;0;0
2019-05-01 02:00:59;25;10;2;3;2;0;0;0;0;0;0
2019-05-01 02:01:58;26;10;2;4;2;0;0;0;0;0;0
2019-05-01 02:02:59;27;10;2;4;2;0;0;1;0;1;1
2019-05-01 02:03:59;27;10;2;4;2;0;0;1;0;1;1
2019-05-01 02:04:58;27;10;2;4;2;0;0;1;0;1;1
2019-05-01 02:05:59;27;10;2;4;2;0;0;1;0;1;1
2019-05-01 02:06:59;27;10;2;4;2;0;0;1;0;1;1
2019-05-01 02:07:58;27;10;2;4;2;0;0;1;0;1;1
2019-05-01 02:08:59;27;10;2;4;2;0;0;1;0;1;1
2019-05-01 02:09:59;27;10;2;4;2;0;0;1;0;1;1
2019-05-01 02:10:58;27;10;2;4;2;0;0;1;0;1;1
2019-05-01 02:11:59;27;10;2;4;2;0;0;1;0;1;1
2019-05-01 02:12:58;27;10;2;4;2;0;0;1;0;1;1
2019-05-01 02:13:59;27;10;2;4;2;0;0;1;0;1;1
2019-05-01 02:14:59;27;10;2;4;2;0;0;1;0;1;1
2019-05-01 02:15:58;27;10;2;4;2;0;0;1;0;1;1
2019-05-01 02:16:59;27;10;2;4;2;0;0;1;0;1;1
2019-05-01 02:17:59;27;10;2;4;2;0;0;1;0;1;1
2019-05-01 02:18:58;27;10;2;4;2;0;0;1;0;1;1
