datetime;total_votes;Good;Tomintoul;megalomaniac;KOCTOPE3;Duran;Mindsplitter;Villanelle;Shambala;quick_justice;Rumpelstilzchen
2021-01-13 01:17:59;59;0;23;10;0;0;2;4;4;0;2
2021-01-13 01:18:58;58;0;23;10;0;0;2;4;3;0;2
2021-01-13 01:19:59;60;0;25;10;0;0;2;4;3;0;2
2021-01-13 01:20:58;60;0;25;10;0;0;2;4;3;0;2
2021-01-13 01:21:59;60;0;25;10;0;0;2;4;3;0;2
2021-01-13 01:22:59;61;0;25;11;0;0;2;4;3;0;2
2021-01-13 01:23:58;61;0;25;11;0;0;2;4;3;0;2
2021-01-13 01:24:59;61;0;25;11;0;0;2;4;3;0;2
2021-01-13 01:25:58;62;0;25;11;0;0;2;4;3;0;2
2021-01-13 01:26:59;62;0;25;11;0;0;2;4;3;0;2
2021-01-13 01:27:59;62;0;25;11;0;0;2;4;3;0;2
2021-01-13 01:28:58;62;0;25;11;0;0;2;4;3;0;2
2021-01-13 01:29:59;62;0;25;11;0;0;2;4;3;0;2
2021-01-13 01:30:59;62;0;25;11;0;0;2;4;3;0;2
2021-01-13 01:31:58;62;0;25;11;0;0;2;4;3;0;2
2021-01-13 01:32:59;64;0;26;11;0;0;2;4;3;0;2
2021-01-13 01:33:58;64;0;26;11;0;0;2;4;3;0;2
2021-01-13 01:34:59;65;0;26;12;0;0;2;4;3;0;2
2021-01-13 01:35:59;65;0;26;12;0;0;2;4;3;0;2
2021-01-13 01:36:58;65;0;26;12;0;0;2;4;3;0;2
2021-01-13 01:37:59;66;0;26;12;0;0;3;4;3;0;2
2021-01-13 01:38:59;66;0;26;12;0;0;3;4;3;0;2
2021-01-13 01:39:58;66;0;26;12;0;0;3;4;3;0;2
2021-01-13 01:40:59;67;0;26;12;1;0;3;4;3;0;2
2021-01-13 01:41:59;67;0;26;12;1;0;3;4;3;0;2
2021-01-13 01:42:58;67;0;26;12;1;0;3;4;3;0;2
2021-01-13 01:43:59;67;0;26;12;1;0;3;4;3;0;2
2021-01-13 01:44:58;67;0;26;12;1;0;3;4;3;0;2
2021-01-13 01:45:59;67;0;26;12;1;0;3;4;3;0;2
2021-01-13 01:46:58;68;0;26;12;1;0;3;4;3;0;2
2021-01-13 01:47:59;69;0;26;12;1;0;3;4;3;0;2
2021-01-13 01:48:59;70;0;27;12;1;0;3;4;3;0;2
2021-01-13 01:49:58;70;0;27;12;1;0;3;4;3;0;2
2021-01-13 01:50:59;70;0;27;12;1;0;3;4;3;0;2
2021-01-13 01:51:58;70;0;27;12;1;0;3;4;3;0;2
2021-01-13 01:52:59;70;0;27;12;1;0;3;4;3;0;2
2021-01-13 01:53:59;70;0;27;12;1;0;3;4;3;0;2
2021-01-13 01:54:58;70;0;27;12;1;0;3;4;3;0;2
2021-01-13 01:55:59;70;0;27;12;1;0;3;4;3;0;2
2021-01-13 01:56:59;70;0;27;12;1;0;3;4;3;0;2
2021-01-13 01:57:58;70;0;27;12;1;0;3;4;3;0;2
2021-01-13 01:58:59;70;0;27;12;1;0;3;4;3;0;2
2021-01-13 01:59:59;70;0;27;12;1;0;3;4;3;0;2
2021-01-13 02:00:58;70;0;27;12;1;0;3;4;3;0;2
2021-01-13 02:01:59;70;0;27;12;1;0;3;4;3;0;2
2021-01-13 02:02:59;70;0;27;12;1;0;3;4;3;0;2
2021-01-13 02:03:58;70;0;27;12;1;0;3;4;3;0;2
2021-01-13 02:04:59;71;0;27;12;1;0;3;5;3;0;2
