datetime;total_votes;Private_Ryan;Bf109H;axxl;xtal;Есения;navalny;Noforhamsters;megaslowpoke;Vikvalan;pupsique
2020-08-12 01:18:59;26;4;7;2;3;1;0;0;2;0;0
2020-08-12 01:19:58;26;4;7;2;3;1;0;0;2;0;0
2020-08-12 01:20:59;26;4;7;2;3;1;0;0;2;0;0
2020-08-12 01:21:59;26;4;7;2;3;1;0;0;2;0;0
2020-08-12 01:22:58;26;4;7;2;3;1;0;0;2;0;0
2020-08-12 01:23:59;26;4;7;2;3;1;0;0;2;0;0
2020-08-12 01:24:59;26;4;7;2;3;1;0;0;2;0;0
2020-08-12 01:25:58;28;4;8;2;4;1;0;0;2;0;0
2020-08-12 01:26:59;28;4;8;2;4;1;0;0;2;0;0
2020-08-12 01:27:59;28;4;8;2;4;1;0;0;2;0;0
2020-08-12 01:28:58;28;4;8;2;4;1;0;0;2;0;0
2020-08-12 01:29:59;28;4;8;2;4;1;0;0;2;0;0
2020-08-12 01:30:59;28;4;8;2;4;1;0;0;2;0;0
2020-08-12 01:31:58;28;4;8;2;4;1;0;0;2;0;0
2020-08-12 01:32:59;28;4;8;2;4;1;0;0;2;0;0
2020-08-12 01:33:59;28;4;8;2;4;1;0;0;2;0;0
2020-08-12 01:34:58;28;4;8;2;4;1;0;0;2;0;0
2020-08-12 01:35:59;28;4;8;2;4;1;0;0;2;0;0
2020-08-12 01:37:00;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 01:37:58;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 01:38:59;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 01:39:58;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 01:40:59;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 01:41:58;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 01:42:59;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 01:43:59;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 01:44:58;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 01:45:59;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 01:46:58;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 01:47:59;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 01:48:59;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 01:49:58;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 01:50:59;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 01:51:59;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 01:52:58;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 01:53:59;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 01:54:58;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 01:55:59;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 01:56:59;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 01:57:58;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 01:58:59;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 02:00:00;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 02:00:58;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 02:01:59;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 02:02:58;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 02:03:59;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 02:04:59;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 02:05:58;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 02:06:59;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 02:07:59;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 02:08:58;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 02:09:59;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 02:11:00;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 02:11:58;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 02:12:59;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 02:13:58;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 02:14:59;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 02:15:59;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 02:16:58;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 02:17:59;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 02:18:58;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 02:19:59;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 02:20:59;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 02:21:58;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 02:22:59;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 02:23:58;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 02:24:59;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 02:25:58;29;4;9;2;4;1;0;0;2;0;0
2020-08-12 02:26:59;30;4;9;2;4;2;0;0;2;0;0
2020-08-12 02:27:59;30;4;9;2;4;2;0;0;2;0;0
2020-08-12 02:28:58;31;4;9;2;4;2;0;0;2;0;0
2020-08-12 02:29:59;31;4;9;2;4;2;0;0;2;0;0
2020-08-12 02:30:58;31;4;9;2;4;2;0;0;2;0;0
2020-08-12 02:31:59;31;4;9;2;4;2;0;0;2;0;0
2020-08-12 02:32:59;31;4;9;2;4;2;0;0;2;0;0
2020-08-12 02:33:58;31;4;9;2;4;2;0;0;2;0;0
2020-08-12 02:34:59;31;4;9;2;4;2;0;0;2;0;0
2020-08-12 02:35:58;31;4;9;2;4;2;0;0;2;0;0
2020-08-12 02:36:59;31;4;9;2;4;2;0;0;2;0;0
2020-08-12 02:37:59;31;4;9;2;4;2;0;0;2;0;0
2020-08-12 02:38:58;31;4;9;2;4;2;0;0;2;0;0
2020-08-12 02:39:59;31;4;9;2;4;2;0;0;2;0;0
2020-08-12 02:40:59;31;4;9;2;4;2;0;0;2;0;0
2020-08-12 02:41:58;31;4;9;2;4;2;0;0;2;0;0
2020-08-12 02:42:59;31;4;9;2;4;2;0;0;2;0;0
2020-08-12 02:43:58;31;4;9;2;4;2;0;0;2;0;0
2020-08-12 02:44:59;31;4;9;2;4;2;0;0;2;0;0
2020-08-12 02:45:59;31;4;9;2;4;2;0;0;2;0;0
2020-08-12 02:46:58;31;4;9;2;4;2;0;0;2;0;0
2020-08-12 02:47:59;31;4;9;2;4;2;0;0;2;0;0
2020-08-12 02:48:58;31;4;9;2;4;2;0;0;2;0;0
2020-08-12 02:49:59;31;4;9;2;4;2;0;0;2;0;0
2020-08-12 02:50:59;32;4;9;2;4;2;1;0;2;0;0
2020-08-12 02:51:58;33;4;9;2;4;2;0;0;2;0;0
2020-08-12 02:52:59;33;4;9;2;4;2;0;0;2;0;0
2020-08-12 02:53:58;33;4;9;2;4;2;0;0;2;0;0
2020-08-12 02:54:59;34;4;9;2;4;2;0;0;2;0;0
2020-08-12 02:55:58;34;4;9;2;4;2;0;0;2;0;0
2020-08-12 02:56:59;34;4;9;2;4;2;0;0;2;0;0
2020-08-12 02:57:59;34;4;9;2;4;2;0;0;2;0;0
2020-08-12 02:58:58;34;4;9;2;4;2;0;0;2;0;0
