datetime;total_votes;cmapukocmankypum;KOCTOPE3;pupsique;rockamark;paramed;brammator;Есения;tutabrain;kilogramm;navalny
2019-05-22 01:18:58;15;0;2;0;2;0;2;0;0;2;0
2019-05-22 01:19:59;15;0;2;0;2;0;2;0;0;2;0
2019-05-22 01:20:59;15;0;2;0;2;0;2;0;0;2;0
2019-05-22 01:21:58;15;0;2;0;2;0;2;0;0;2;0
2019-05-22 01:22:59;15;0;2;0;2;0;2;0;0;2;0
2019-05-22 01:23:59;16;0;2;0;2;0;2;0;0;2;0
2019-05-22 01:24:58;16;0;2;0;2;0;2;0;0;2;0
2019-05-22 01:25:59;16;0;2;0;2;0;2;0;0;2;0
2019-05-22 01:26:59;16;0;2;0;2;0;2;0;0;2;0
2019-05-22 01:27:58;16;0;2;0;2;0;2;0;0;2;0
2019-05-22 01:28:59;16;0;2;0;2;0;2;0;0;2;0
2019-05-22 01:29:58;16;0;2;0;2;0;2;0;0;2;0
2019-05-22 01:30:59;16;0;2;0;2;0;2;0;0;2;0
2019-05-22 01:31:59;17;0;3;0;2;0;2;0;0;2;0
2019-05-22 01:33:00;17;0;3;0;2;0;2;0;0;2;0
2019-05-22 01:33:58;18;1;3;0;2;0;2;0;0;2;0
2019-05-22 01:34:59;18;1;3;0;2;0;2;0;0;2;0
2019-05-22 01:35:58;18;1;3;0;2;0;2;0;0;2;0
2019-05-22 01:36:59;19;1;4;0;2;0;2;0;0;2;0
2019-05-22 01:37:59;19;1;4;0;2;0;2;0;0;2;0
2019-05-22 01:38:58;19;1;4;0;2;0;2;0;0;2;0
2019-05-22 01:39:59;19;1;4;0;2;0;2;0;0;2;0
2019-05-22 01:40:58;20;1;5;0;2;0;2;0;0;2;0
2019-05-22 01:41:59;20;1;5;0;2;0;2;0;0;2;0
2019-05-22 01:42:59;20;1;5;0;2;0;2;0;0;2;0
2019-05-22 01:43:58;20;1;5;0;2;0;2;0;0;2;0
2019-05-22 01:44:59;20;1;5;0;2;0;2;0;0;2;0
2019-05-22 01:45:59;20;1;5;0;2;0;2;0;0;2;0
2019-05-22 01:46:58;20;1;5;0;2;0;2;0;0;2;0
2019-05-22 01:47:59;20;1;5;0;2;0;2;0;0;2;0
2019-05-22 01:48:59;20;1;5;0;2;0;2;0;0;2;0
2019-05-22 01:49:58;20;1;5;0;2;0;2;0;0;2;0
2019-05-22 01:50:59;20;1;5;0;2;0;2;0;0;2;0
2019-05-22 01:51:59;20;1;5;0;2;0;2;0;0;2;0
2019-05-22 01:52:58;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 01:53:59;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 01:54:59;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 01:55:58;21;2;5;0;2;0;2;0;0;2;0
2019-05-22 01:56:59;21;2;5;0;2;0;2;0;0;2;0
