datetime;total_votes;akuaku;telegraf;redslot;Есения;Kolbasevich;Daedra;kilogramm;vjik;BlackTulip;megaslowpoke
2020-06-10 01:18:59;24;9;8;2;0;0;0;1;0;1;0
2020-06-10 01:19:59;25;9;8;2;0;0;0;1;0;1;0
2020-06-10 01:20:58;26;9;8;3;0;0;0;1;0;1;0
2020-06-10 01:21:59;26;9;8;3;0;0;0;1;0;1;0
2020-06-10 01:22:58;26;9;8;3;0;0;0;1;0;1;0
2020-06-10 01:23:59;26;9;8;3;0;0;0;1;0;1;0
2020-06-10 01:24:58;26;9;8;3;0;0;0;1;0;1;0
2020-06-10 01:25:59;26;9;8;3;0;0;0;1;0;1;0
2020-06-10 01:26:59;26;9;8;3;0;0;0;1;0;1;0
2020-06-10 01:27:58;27;9;8;3;0;0;0;1;0;2;0
2020-06-10 01:28:59;27;9;8;3;0;0;0;1;0;2;0
2020-06-10 01:29:58;27;9;8;3;0;0;0;1;0;2;0
2020-06-10 01:30:59;27;9;8;3;0;0;0;1;0;2;0
2020-06-10 01:31:58;28;9;8;3;0;0;0;1;0;2;0
2020-06-10 01:32:59;28;9;8;3;0;0;0;1;0;2;0
2020-06-10 01:33:58;28;9;8;3;0;0;0;1;0;2;0
2020-06-10 01:34:59;28;9;8;3;0;0;0;1;0;2;0
2020-06-10 01:35:58;28;9;8;3;0;0;0;1;0;2;0
2020-06-10 01:36:59;28;9;8;3;0;0;0;1;0;2;0
2020-06-10 01:37:59;28;9;8;3;0;0;0;1;0;2;0
2020-06-10 01:38:58;28;9;8;3;0;0;0;1;0;2;0
2020-06-10 01:39:59;28;9;8;3;0;0;0;1;0;2;0
2020-06-10 01:40:59;28;9;8;3;0;0;0;1;0;2;0
2020-06-10 01:41:58;28;9;8;3;0;0;0;1;0;2;0
2020-06-10 01:42:59;28;9;8;3;0;0;0;1;0;2;0
2020-06-10 01:43:58;28;9;8;3;0;0;0;1;0;2;0
2020-06-10 01:44:59;28;9;8;3;0;0;0;1;0;2;0
2020-06-10 01:45:58;29;9;9;3;0;0;0;1;0;2;0
2020-06-10 01:46:59;29;9;9;3;0;0;0;1;0;2;0
2020-06-10 01:47:59;29;9;9;3;0;0;0;1;0;2;0
2020-06-10 01:48:58;29;9;9;3;0;0;0;1;0;2;0
2020-06-10 01:49:59;29;9;9;3;0;0;0;1;0;2;0
2020-06-10 01:50:59;29;9;9;3;0;0;0;1;0;2;0
2020-06-10 01:51:58;29;9;9;3;0;0;0;1;0;2;0
2020-06-10 01:52:59;29;9;9;3;0;0;0;1;0;2;0
2020-06-10 01:53:58;29;9;9;3;0;0;0;1;0;2;0
2020-06-10 01:54:59;29;9;9;3;0;0;0;1;0;2;0
2020-06-10 01:55:59;29;9;9;3;0;0;0;1;0;2;0
2020-06-10 01:56:58;29;9;9;3;0;0;0;1;0;2;0
2020-06-10 01:57:59;29;9;9;3;0;0;0;1;0;2;0
2020-06-10 01:58:59;29;9;9;3;0;0;0;1;0;2;0
2020-06-10 01:59:58;29;9;9;3;0;0;0;1;0;2;0
2020-06-10 02:00:59;29;9;9;3;0;0;0;1;0;2;0
2020-06-10 02:01:58;30;9;9;4;0;0;0;1;0;2;0
2020-06-10 02:02:59;30;9;9;4;0;0;0;1;0;2;0
2020-06-10 02:03:58;30;9;9;4;0;0;0;1;0;2;0
2020-06-10 02:04:59;30;9;9;4;0;0;0;1;0;2;0
2020-06-10 02:05:59;30;9;9;4;0;0;0;1;0;2;0
2020-06-10 02:06:58;30;9;9;4;0;0;0;1;0;2;0
2020-06-10 02:07:59;30;9;9;4;0;0;0;1;0;2;0
2020-06-10 02:08:59;30;9;9;4;0;0;0;1;0;2;0
2020-06-10 02:09:58;30;9;9;4;0;0;0;1;0;2;0
2020-06-10 02:10:59;30;9;9;4;0;0;0;1;0;2;0
2020-06-10 02:11:59;30;9;9;4;0;0;0;1;0;2;0
2020-06-10 02:12:58;30;9;9;4;0;0;0;1;0;2;0
2020-06-10 02:13:59;30;9;9;4;0;0;0;1;0;2;0
2020-06-10 02:14:58;30;9;9;4;0;0;0;1;0;2;0
2020-06-10 02:15:59;30;9;9;4;0;0;0;1;0;2;0
2020-06-10 02:16:59;31;9;9;4;0;0;1;1;0;2;0
2020-06-10 02:17:58;31;9;9;4;0;0;1;1;0;2;0
