datetime;total_votes;KT;Volodya_FM;quick_justice;pereehal;navalny;Terkin;KOCTOPE3;Hexadecachoron;bf6;Kolbasevich
2020-07-08 01:29:58;49;19;11;5;3;0;0;0;2;0;0
2020-07-08 01:30:59;51;20;11;5;3;0;0;0;2;0;0
2020-07-08 01:31:58;54;21;11;7;3;0;0;0;2;0;0
2020-07-08 01:32:59;54;21;10;8;3;0;0;0;2;0;0
2020-07-08 01:33:59;54;21;10;8;3;0;0;0;2;0;0
2020-07-08 01:34:58;54;21;10;8;3;0;0;0;2;0;0
2020-07-08 01:35:59;54;21;10;8;3;0;0;0;2;0;0
2020-07-08 01:36:58;54;21;10;8;3;0;0;0;2;0;0
2020-07-08 01:37:59;54;21;10;8;3;0;0;0;2;0;0
2020-07-08 01:38:59;54;21;10;8;3;0;0;0;2;0;0
2020-07-08 01:39:59;54;21;10;8;3;0;0;0;2;0;0
2020-07-08 01:40:58;54;21;10;8;3;0;0;0;2;0;0
2020-07-08 01:41:59;54;21;10;8;3;0;0;0;2;0;0
2020-07-08 01:42:58;55;22;10;8;3;0;0;0;2;0;0
2020-07-08 01:43:59;55;21;11;8;3;0;0;0;2;0;0
2020-07-08 01:44:58;55;21;11;8;3;0;0;0;2;0;0
2020-07-08 01:45:59;55;21;11;8;3;0;0;0;2;0;0
2020-07-08 01:46:58;55;21;11;8;3;0;0;0;2;0;0
2020-07-08 01:47:59;57;22;11;8;3;0;0;1;2;0;0
2020-07-08 01:48:58;58;22;12;8;3;0;0;1;2;0;0
2020-07-08 01:50:00;58;22;12;8;3;0;0;1;2;0;0
2020-07-08 01:50:58;58;22;12;8;3;0;0;1;2;0;0
2020-07-08 01:51:59;59;23;12;8;3;0;0;1;2;0;0
2020-07-08 01:52:59;59;23;12;8;3;0;0;1;2;0;0
2020-07-08 01:53:58;59;23;12;8;3;0;0;1;2;0;0
2020-07-08 01:54:59;61;24;12;8;3;1;0;1;2;0;0
2020-07-08 01:55:59;62;24;12;9;3;1;0;1;2;0;0
2020-07-08 01:56:58;62;24;12;9;3;1;0;1;2;0;0
2020-07-08 01:57:59;62;24;12;9;3;1;0;1;2;0;0
2020-07-08 01:58:59;63;24;12;9;3;1;1;1;2;0;0
2020-07-08 01:59:58;63;24;12;9;3;1;1;1;2;0;0
2020-07-08 02:00:59;63;24;12;9;3;1;1;1;2;0;0
2020-07-08 02:01:58;63;24;12;9;3;1;1;1;2;0;0
2020-07-08 02:02:59;64;24;12;10;3;1;1;1;2;0;0
2020-07-08 02:03:59;65;24;12;10;3;1;0;2;2;0;0
2020-07-08 02:04:58;65;24;12;10;3;1;0;2;2;0;0
2020-07-08 02:06:00;65;24;12;10;3;1;0;2;2;0;0
2020-07-08 02:06:58;65;24;12;10;3;1;0;2;2;0;0
2020-07-08 02:07:59;65;24;12;10;3;1;0;2;2;0;0
2020-07-08 02:08:58;65;24;12;10;3;1;0;2;2;0;0
