datetime;total_votes;mahinaci9;Hactar;Volodya_FM;Yardrey;dennou;navalny;quick_justice;shamanka2_0;Mindsplitter;Haktar
2020-11-04 01:18:58;42;9;5;9;3;2;0;1;0;3;0
2020-11-04 01:19:59;42;9;5;9;3;2;0;1;0;3;0
2020-11-04 01:21:00;43;9;5;9;3;2;0;1;0;4;0
2020-11-04 01:21:58;45;9;5;10;3;2;0;2;0;4;0
2020-11-04 01:22:59;45;9;5;10;3;2;0;2;0;4;0
2020-11-04 01:23:59;45;9;5;10;3;2;0;2;0;4;0
2020-11-04 01:24:58;45;9;5;10;3;2;0;2;0;4;0
2020-11-04 01:25:59;45;9;5;10;3;2;0;2;0;4;0
2020-11-04 01:26:58;45;9;5;10;3;2;0;2;0;4;0
2020-11-04 01:27:59;45;9;5;10;3;2;0;2;0;4;0
2020-11-04 01:28:59;46;10;5;10;3;2;0;2;0;4;0
2020-11-04 01:30:00;46;10;5;10;3;2;0;2;0;4;0
2020-11-04 01:30:58;46;10;5;10;3;2;0;2;0;4;0
2020-11-04 01:31:59;46;10;5;10;3;2;0;2;0;4;0
2020-11-04 01:32:59;46;10;5;10;3;2;0;2;0;4;0
2020-11-04 01:33:59;47;10;5;10;3;2;0;2;0;4;0
2020-11-04 01:34:58;47;10;5;10;3;2;0;2;0;4;0
2020-11-04 01:35:59;47;10;5;10;3;2;0;2;0;4;0
2020-11-04 01:36:59;47;10;5;10;3;2;0;2;0;4;0
2020-11-04 01:37:58;48;10;5;10;3;2;0;2;0;4;0
2020-11-04 01:38:59;48;10;5;10;3;2;0;2;0;4;0
2020-11-04 01:39:58;48;10;5;10;3;2;0;2;0;4;0
2020-11-04 01:40:59;49;10;6;10;3;2;0;2;0;4;0
2020-11-04 01:41:59;50;10;6;10;3;3;0;2;0;4;0
2020-11-04 01:42:59;50;10;6;10;3;3;0;2;0;4;0
2020-11-04 01:43:58;50;10;6;10;3;3;0;2;0;4;0
2020-11-04 01:44:59;50;10;6;10;3;3;0;2;0;4;0
2020-11-04 01:45:59;51;10;7;10;3;3;0;2;0;4;0
2020-11-04 01:46:58;53;10;7;12;3;3;0;2;0;4;0
2020-11-04 01:47:59;53;10;7;12;3;3;0;2;0;4;0
2020-11-04 01:48:58;53;10;7;12;3;3;0;2;0;4;0
2020-11-04 01:49:59;53;10;7;12;3;3;0;2;0;4;0
2020-11-04 01:50:59;54;11;7;12;3;3;0;2;0;4;0
2020-11-04 01:51:58;54;11;7;12;3;3;0;2;0;4;0
2020-11-04 01:52:59;54;11;7;12;3;3;0;2;0;4;0
2020-11-04 01:53:59;54;11;7;12;3;3;0;2;0;4;0
2020-11-04 01:54:58;54;11;7;12;3;3;0;2;0;4;0
2020-11-04 01:55:59;54;11;7;12;3;3;0;2;0;4;0
2020-11-04 01:56:59;54;11;7;12;3;3;0;2;0;4;0
2020-11-04 01:57:58;54;11;7;12;3;3;0;2;0;4;0
2020-11-04 01:58:59;55;12;7;12;3;3;0;2;0;4;0
2020-11-04 01:59:58;55;12;7;12;3;3;0;2;0;4;0
2020-11-04 02:00:59;57;14;7;12;3;3;0;2;0;4;0
2020-11-04 02:02:00;57;14;7;12;3;3;0;2;0;4;0
2020-11-04 02:02:58;57;14;7;12;3;3;0;2;0;4;0
2020-11-04 02:03:59;58;14;7;12;3;3;2;2;0;4;0
2020-11-04 02:04:59;58;14;7;12;3;3;2;2;0;4;0
2020-11-04 02:05:58;58;14;7;12;3;3;2;2;0;4;0
2020-11-04 02:06:59;59;15;7;12;3;3;2;2;0;4;0
2020-11-04 02:07:59;59;15;7;12;3;3;2;2;0;4;0
2020-11-04 02:08:58;60;16;7;12;3;3;2;2;0;4;0
2020-11-04 02:09:59;61;16;8;12;3;3;2;2;0;4;0
2020-11-04 02:10:59;61;16;8;12;3;3;2;2;0;4;0
2020-11-04 02:11:58;61;16;8;12;3;3;2;2;0;4;0
2020-11-04 02:12:59;62;16;8;12;3;3;3;2;0;4;0
2020-11-04 02:13:59;62;16;8;12;3;3;3;2;0;4;0
2020-11-04 02:14:58;62;16;8;12;3;3;3;2;0;4;0
2020-11-04 02:15:59;62;16;8;12;3;3;3;2;0;4;0
2020-11-04 02:16:58;63;17;8;12;3;3;3;2;0;4;0
2020-11-04 02:17:59;64;18;8;12;3;3;3;2;0;4;0
2020-11-04 02:18:59;64;18;8;12;3;3;3;2;0;4;0
2020-11-04 02:19:58;65;19;8;12;3;3;3;2;0;4;0
2020-11-04 02:20:59;65;19;8;12;3;3;3;2;0;4;0
2020-11-04 02:21:58;66;20;8;12;3;3;3;2;0;4;0
2020-11-04 02:22:59;66;20;8;12;3;3;3;2;0;4;0
2020-11-04 02:23:59;67;21;8;12;3;3;3;2;0;4;0
2020-11-04 02:24:58;67;21;8;12;3;3;3;2;0;4;0
2020-11-04 02:25:59;67;21;8;12;3;3;3;2;0;4;0
2020-11-04 02:26:59;68;22;8;12;3;3;3;2;0;4;0
2020-11-04 02:27:58;68;22;8;12;3;3;3;2;0;4;0
2020-11-04 02:28:59;69;22;8;13;3;3;3;2;0;4;0
2020-11-04 02:29:59;69;22;8;13;3;3;3;2;0;4;0
2020-11-04 02:30:58;70;23;8;13;3;3;3;2;0;4;0
2020-11-04 02:31:59;70;23;8;13;3;3;3;2;0;4;0
2020-11-04 02:32:59;70;23;8;13;3;3;3;2;0;4;0
2020-11-04 02:33:58;70;23;8;13;3;3;3;2;0;4;0
2020-11-04 02:34:59;71;24;8;13;3;3;3;2;0;4;0
2020-11-04 02:35:58;71;24;8;13;3;3;3;2;0;4;0
2020-11-04 02:36:59;71;24;8;13;3;3;3;2;0;4;0
2020-11-04 02:37:59;71;24;8;13;3;3;3;2;0;4;0
2020-11-04 02:38:58;71;24;8;13;3;3;3;2;0;4;0
2020-11-04 02:39:59;71;24;8;13;3;3;3;2;0;4;0
2020-11-04 02:40:59;71;24;8;13;3;3;3;2;0;4;0
2020-11-04 02:41:58;71;24;8;13;3;3;3;2;0;4;0
2020-11-04 02:42:59;72;25;8;13;3;3;3;2;0;4;0
2020-11-04 02:43:59;74;26;8;13;3;4;3;2;0;4;0
2020-11-04 02:44:58;74;26;8;13;3;4;3;2;0;4;0
2020-11-04 02:45:59;74;26;8;13;3;4;3;2;0;4;0
2020-11-04 02:47:00;74;26;8;13;3;4;3;2;0;4;0
2020-11-04 02:47:58;74;26;8;13;3;4;3;2;0;4;0
2020-11-04 02:48:59;74;26;8;13;3;4;3;2;0;4;0
2020-11-04 02:49:59;74;26;8;13;3;4;3;2;0;4;0
2020-11-04 02:50:58;74;26;8;13;3;4;3;2;0;4;0
2020-11-04 02:51:59;74;26;8;13;3;4;3;2;0;4;0
2020-11-04 02:52:59;74;26;8;13;3;4;3;2;0;4;0
2020-11-04 02:53:58;74;26;8;13;3;4;3;2;0;4;0
2020-11-04 02:54:59;74;26;8;13;3;4;3;2;0;4;0
2020-11-04 02:55:58;74;26;8;13;3;4;3;2;0;4;0
