datetime;total_votes;pavelomg;lublu-zubi;Bleak;brammator;TheWho;KOCTOPE3;voklo;not;medstas;CaptchaBot
2019-09-25 01:18:59;21;0;4;1;3;3;3;2;2;0;0
2019-09-25 01:19:59;21;0;4;1;3;3;3;2;2;0;0
2019-09-25 01:20:58;21;0;4;1;3;3;3;2;2;0;0
2019-09-25 01:21:59;21;0;4;1;3;3;3;2;2;0;0
2019-09-25 01:22:59;21;0;4;1;3;3;3;2;2;0;0
2019-09-25 01:23:58;21;0;4;1;3;3;3;2;2;0;0
2019-09-25 01:24:59;22;1;4;0;3;3;3;2;2;0;0
2019-09-25 01:25:59;22;1;4;0;3;3;3;2;2;0;0
2019-09-25 01:26:58;22;1;4;0;3;3;3;2;2;0;0
2019-09-25 01:27:59;22;1;4;0;3;3;3;2;2;0;0
2019-09-25 01:28:59;22;1;4;0;3;3;3;2;2;0;0
2019-09-25 01:29:59;23;2;4;1;3;3;3;2;2;0;0
2019-09-25 01:30:58;22;1;4;0;3;3;3;2;2;0;0
2019-09-25 01:31:59;22;1;4;0;3;3;3;2;2;0;0
2019-09-25 01:32:59;22;1;4;0;3;3;3;2;2;0;0
2019-09-25 01:33:59;22;1;4;0;3;3;3;2;2;0;0
2019-09-25 01:34:58;23;1;4;1;3;3;3;2;3;0;0
2019-09-25 01:35:59;23;1;4;1;3;3;3;2;3;0;0
2019-09-25 01:36:59;23;1;4;1;3;3;3;2;3;0;0
2019-09-25 01:37:59;23;1;4;1;3;3;3;2;3;0;0
2019-09-25 01:38:58;24;0;4;1;4;3;3;2;3;0;0
2019-09-25 01:39:59;24;0;4;1;4;3;3;2;3;0;0
2019-09-25 01:40:59;24;0;4;1;4;3;3;2;3;0;0
2019-09-25 01:41:59;24;0;4;1;4;3;3;2;3;0;0
2019-09-25 01:42:58;24;0;4;1;4;3;3;2;3;0;0
2019-09-25 01:43:59;25;0;5;1;4;3;3;2;3;0;0
2019-09-25 01:44:59;25;0;5;1;4;3;3;2;3;0;0
2019-09-25 01:45:59;25;0;5;1;4;3;3;2;3;0;0
2019-09-25 01:46:59;26;0;5;1;5;3;3;2;3;0;0
2019-09-25 01:47:58;26;0;5;1;5;3;3;2;3;0;0
2019-09-25 01:48:59;26;0;5;1;5;3;3;2;3;0;0
2019-09-25 01:49:59;26;0;5;1;5;3;3;2;3;0;0
2019-09-25 01:51:00;26;0;5;1;5;3;3;2;3;0;0
2019-09-25 01:51:58;26;0;5;1;5;3;3;2;3;0;0
2019-09-25 01:52:59;26;0;5;1;5;3;3;2;3;0;0
2019-09-25 01:53:59;26;0;5;1;5;3;3;2;3;0;0
2019-09-25 01:54:59;26;0;5;1;5;3;3;2;3;0;0
2019-09-25 01:55:58;27;0;6;1;5;3;3;2;3;0;0
2019-09-25 01:56:59;27;0;6;1;5;3;3;2;3;0;0
2019-09-25 01:57:59;27;0;6;1;5;3;3;2;3;0;0
2019-09-25 01:58:58;27;0;6;1;5;3;3;2;3;0;0
2019-09-25 01:59:59;27;0;6;1;5;3;3;2;3;0;0
2019-09-25 02:00:59;27;0;6;1;5;3;3;2;3;0;0
2019-09-25 02:01:59;27;0;6;1;5;3;3;2;3;0;0
2019-09-25 02:02:58;27;0;6;1;5;3;3;2;3;0;0
2019-09-25 02:03:59;27;0;6;1;5;3;3;2;3;0;0
2019-09-25 02:04:59;27;0;6;1;5;3;3;2;3;0;0
2019-09-25 02:05:59;27;0;6;1;5;3;3;2;3;0;0
2019-09-25 02:06:58;27;0;6;1;5;3;3;2;3;0;0
2019-09-25 02:07:59;27;0;6;1;5;3;3;2;3;0;0
2019-09-25 02:08:59;28;0;7;1;5;3;3;2;3;0;0
2019-09-25 02:09:58;28;0;7;1;5;3;3;2;3;0;0
2019-09-25 02:10:59;28;0;7;1;5;3;3;2;3;0;0
2019-09-25 02:11:59;28;0;7;1;5;3;3;2;3;0;0
2019-09-25 02:12:58;28;0;7;1;5;3;3;2;3;0;0
2019-09-25 02:13:59;28;0;7;1;5;3;3;2;3;0;0
2019-09-25 02:14:59;28;0;7;1;5;3;3;2;3;0;0
2019-09-25 02:15:59;28;0;7;1;5;3;3;2;3;0;0
2019-09-25 02:16:58;28;0;7;1;5;3;3;2;3;0;0
2019-09-25 02:17:59;28;0;7;1;5;3;3;2;3;0;0
2019-09-25 02:18:59;28;0;7;1;5;3;3;2;3;0;0
2019-09-25 02:19:58;28;0;7;1;5;3;3;2;3;0;0
2019-09-25 02:20:59;28;0;7;1;5;3;3;2;3;0;0
2019-09-25 02:21:59;28;0;7;1;5;3;3;2;3;0;0
2019-09-25 02:22:59;28;0;7;1;5;3;3;2;3;0;0
2019-09-25 02:23:58;28;0;7;1;5;3;3;2;3;0;0
2019-09-25 02:24:59;28;0;7;1;5;3;3;2;3;0;0
2019-09-25 02:25:59;28;0;7;1;5;3;3;2;3;0;0
2019-09-25 02:26:58;28;0;7;1;5;3;3;2;3;0;0
2019-09-25 02:27:59;28;0;7;1;5;3;3;2;3;0;0
2019-09-25 02:28:59;28;0;7;1;5;3;3;2;3;0;0
2019-09-25 02:29:58;29;0;7;1;6;3;3;2;3;0;0
2019-09-25 02:30:59;29;0;7;1;6;3;3;2;3;0;0
2019-09-25 02:31:59;29;0;7;1;6;3;3;2;3;0;0
2019-09-25 02:32:58;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 02:33:59;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 02:34:59;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 02:35:59;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 02:36:58;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 02:37:59;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 02:38:59;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 02:39:58;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 02:40:59;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 02:41:59;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 02:42:59;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 02:43:58;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 02:44:59;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 02:45:59;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 02:46:58;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 02:47:59;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 02:48:59;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 02:49:59;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 02:50:58;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 02:51:59;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 02:52:59;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 02:53:58;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 02:54:59;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 02:55:59;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 02:56:58;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 02:57:59;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 02:58:59;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 02:59:59;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 03:00:58;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 03:01:59;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 03:02:59;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 03:03:59;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 03:04:58;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 03:05:59;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 03:06:59;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 03:07:59;30;0;8;1;6;3;3;2;3;0;0
2019-09-25 03:08:58;31;0;9;1;6;3;3;2;3;0;0
2019-09-25 03:09:59;31;0;9;1;6;3;3;2;3;0;0
2019-09-25 03:11:00;31;0;9;1;6;3;3;2;3;0;0
2019-09-25 03:11:58;31;0;9;1;6;3;3;2;3;0;0
2019-09-25 03:12:59;32;0;9;1;7;3;3;2;3;0;0
2019-09-25 03:13:59;32;0;9;1;7;3;3;2;3;0;0
2019-09-25 03:14:58;32;0;9;1;7;3;3;2;3;0;0
2019-09-25 03:15:59;32;0;9;1;7;3;3;2;3;0;0
2019-09-25 03:16:59;32;0;9;1;7;3;3;2;3;0;0
2019-09-25 03:17:59;32;0;9;1;7;3;3;2;3;0;0
2019-09-25 03:18:58;32;0;9;1;7;3;3;2;3;0;0
2019-09-25 03:19:59;32;0;9;1;7;3;3;2;3;0;0
2019-09-25 03:20:59;32;0;9;1;7;3;3;2;3;0;0
2019-09-25 03:21:58;32;0;9;1;7;3;3;2;3;0;0
2019-09-25 03:22:59;32;0;9;1;7;3;3;2;3;0;0
2019-09-25 03:23:59;32;0;9;1;7;3;3;2;3;0;0
2019-09-25 03:24:59;32;0;9;1;7;3;3;2;3;0;0
2019-09-25 03:25:58;32;0;9;1;7;3;3;2;3;0;0
2019-09-25 03:26:59;32;0;9;1;7;3;3;2;3;0;0
2019-09-25 03:27:59;32;0;9;1;7;3;3;2;3;0;0
2019-09-25 03:28:59;32;0;9;1;7;3;3;2;3;0;0
2019-09-25 03:29:58;32;0;9;1;7;3;3;2;3;0;0
2019-09-25 03:30:59;32;0;9;1;7;3;3;2;3;0;0
2019-09-25 03:31:59;32;0;9;1;7;3;3;2;3;0;0
2019-09-25 03:32:58;32;0;9;1;7;3;3;2;3;0;0
2019-09-25 03:33:59;32;0;9;1;7;3;3;2;3;0;0
2019-09-25 03:34:59;32;0;9;1;7;3;3;2;3;0;0
2019-09-25 03:35:59;32;0;9;1;7;3;3;2;3;0;0
2019-09-25 03:36:58;32;0;9;1;7;3;3;2;3;0;0
2019-09-25 03:37:59;32;0;9;1;7;3;3;2;3;0;0
2019-09-25 03:38:59;32;0;9;1;7;3;3;2;3;0;0
2019-09-25 03:39:59;32;0;9;1;7;3;3;2;3;0;0
2019-09-25 03:40:58;32;0;9;1;7;3;3;2;3;0;0
2019-09-25 03:41:59;32;0;9;1;7;3;3;2;3;0;0
2019-09-25 03:42:59;32;0;9;1;7;3;3;2;3;0;0
2019-09-25 03:43:58;33;0;9;1;7;3;3;2;4;0;0
2019-09-25 03:44:59;33;0;9;1;7;3;3;2;4;0;0
2019-09-25 03:45:59;33;0;9;1;7;3;3;2;4;0;0
2019-09-25 03:46:59;33;0;9;1;7;3;3;2;4;0;0
2019-09-25 03:47:59;33;0;9;1;7;3;3;2;4;0;0
2019-09-25 03:48:58;33;0;9;1;7;3;3;2;4;0;0
2019-09-25 03:49:59;33;0;9;1;7;3;3;2;4;0;0
2019-09-25 03:50:59;33;0;9;1;7;3;3;2;4;0;0
2019-09-25 03:51:59;33;0;9;1;7;3;3;2;4;0;0
2019-09-25 03:52:58;33;0;9;1;7;3;3;2;4;0;0
2019-09-25 03:53:59;33;0;9;1;7;3;3;2;4;0;0
2019-09-25 03:54:59;33;0;9;1;7;3;3;2;4;0;0
2019-09-25 03:55:58;33;0;9;1;7;3;3;2;4;0;0
2019-09-25 03:56:59;33;0;9;1;7;3;3;2;4;0;0
2019-09-25 03:57:59;33;0;9;1;7;3;3;2;4;0;0
2019-09-25 03:58:59;33;0;9;1;7;3;3;2;4;0;0
2019-09-25 03:59:58;33;0;9;1;7;3;3;2;4;0;0
2019-09-25 04:00:59;33;0;9;1;7;3;3;2;4;0;0
2019-09-25 04:01:59;33;0;9;1;7;3;3;2;4;0;0
2019-09-25 04:02:59;33;0;9;1;7;3;3;2;4;0;0
2019-09-25 04:03:58;33;0;9;1;7;3;3;2;4;0;0
2019-09-25 04:04:59;35;2;9;1;7;3;3;2;5;0;0
2019-09-25 04:05:58;35;2;9;1;7;3;3;2;5;0;0
2019-09-25 04:06:59;35;2;9;1;7;3;3;2;5;0;0
2019-09-25 04:07:59;35;2;9;1;7;3;3;2;5;0;0
2019-09-25 04:08:59;35;2;10;1;7;3;3;2;4;0;0
2019-09-25 04:09:58;35;2;10;1;7;3;3;2;4;0;0
2019-09-25 04:10:59;35;2;10;1;7;3;3;2;4;0;0
2019-09-25 04:11:59;35;2;10;1;7;3;3;2;4;0;0
2019-09-25 04:12:59;35;2;10;1;7;3;3;2;4;0;0
2019-09-25 04:13:58;36;2;11;1;7;3;3;2;4;0;0
2019-09-25 04:14:59;36;2;11;1;7;3;3;2;4;0;0
2019-09-25 04:15:59;37;2;12;1;7;3;3;2;4;0;0
2019-09-25 04:17:00;37;2;12;1;7;3;3;2;4;0;0
2019-09-25 04:17:58;37;2;12;1;7;3;3;2;4;0;0
2019-09-25 04:18:59;37;2;12;1;7;3;3;2;4;0;0
2019-09-25 04:19:58;37;2;12;1;7;3;3;2;4;0;0
2019-09-25 04:20:59;37;2;12;1;7;3;3;2;4;0;0
2019-09-25 04:21:59;37;2;12;1;7;3;3;2;4;0;0
2019-09-25 04:22:59;37;2;12;1;7;3;3;2;4;0;0
2019-09-25 04:23:58;37;2;12;1;7;3;3;2;4;0;0
2019-09-25 04:24:59;37;2;12;1;7;3;3;2;4;0;0
2019-09-25 04:25:59;37;2;12;1;7;3;3;2;4;0;0
2019-09-25 04:26:59;37;2;12;1;7;3;3;2;4;0;0
2019-09-25 04:27:59;37;2;12;1;7;3;3;2;4;0;0
2019-09-25 04:28:58;37;2;12;1;7;3;3;2;4;0;0
2019-09-25 04:29:59;37;2;12;1;7;3;3;2;4;0;0
2019-09-25 04:30:59;37;2;12;1;7;3;3;2;4;0;0
2019-09-25 04:31:58;37;2;12;1;7;3;3;2;4;0;0
2019-09-25 04:32:59;37;2;12;1;7;3;3;2;4;0;0
2019-09-25 04:33:59;37;2;12;1;7;3;3;2;4;0;0
2019-09-25 04:34:59;37;2;12;1;7;3;3;2;4;0;0
2019-09-25 04:35:58;37;2;12;1;7;3;3;2;4;0;0
2019-09-25 04:36:59;37;2;12;1;7;3;3;2;4;0;0
2019-09-25 04:37:59;37;2;12;1;7;3;3;2;4;0;0
2019-09-25 04:38:59;37;2;12;1;7;3;3;2;4;0;0
2019-09-25 04:39:58;37;2;12;1;7;3;3;2;4;0;0
2019-09-25 04:40:59;37;2;12;1;7;3;3;2;4;0;0
2019-09-25 04:41:59;38;2;12;1;7;3;3;2;5;0;0
2019-09-25 04:42:58;38;2;12;1;7;3;3;2;5;0;0
2019-09-25 04:43:59;38;2;12;1;7;3;3;2;5;0;0
