datetime;total_votes;violetshit;pupsique;sergoff;rockamark;KOCTOPE3;jovan;cofee;dear_pavlik;Есения;brammator
2019-01-23 01:18:59;12;4;0;3;2;2;0;0;1;0;0
2019-01-23 01:19:58;13;4;0;3;2;2;1;0;1;0;0
2019-01-23 01:20:59;13;4;0;3;2;2;1;0;1;0;0
2019-01-23 01:21:59;13;4;0;3;2;2;1;0;1;0;0
2019-01-23 01:22:58;13;4;0;3;2;2;1;0;1;0;0
2019-01-23 01:23:59;14;4;0;4;2;2;1;0;1;0;0
2019-01-23 01:25:00;14;4;0;4;2;2;1;0;1;0;0
2019-01-23 01:25:58;14;4;0;4;2;2;1;0;1;0;0
2019-01-23 01:26:59;14;4;0;4;2;2;1;0;1;0;0
2019-01-23 01:27:58;14;4;0;4;2;2;1;0;1;0;0
2019-01-23 01:28:59;15;4;0;5;2;2;1;0;1;0;0
2019-01-23 01:29:59;15;4;0;5;2;2;1;0;1;0;0
2019-01-23 01:30:58;15;4;0;5;2;2;1;0;1;0;0
2019-01-23 01:31:59;15;4;0;5;2;2;1;0;1;0;0
2019-01-23 01:32:58;15;4;0;5;2;2;1;0;1;0;0
2019-01-23 01:33:59;15;4;0;5;2;2;1;0;1;0;0
2019-01-23 01:34:59;15;4;0;5;2;2;1;0;1;0;0
2019-01-23 01:35:58;16;5;0;5;2;2;1;0;1;0;0
2019-01-23 01:36:59;16;5;0;5;2;2;1;0;1;0;0
2019-01-23 01:37:58;16;5;0;5;2;2;1;0;1;0;0
2019-01-23 01:38:59;16;5;0;5;2;2;1;0;1;0;0
2019-01-23 01:39:59;16;5;0;5;2;2;1;0;1;0;0
2019-01-23 01:40:58;16;5;0;5;2;2;1;0;1;0;0
2019-01-23 01:41:59;16;5;0;5;2;2;1;0;1;0;0
2019-01-23 01:42:59;16;5;0;5;2;2;1;0;1;0;0
2019-01-23 01:43:58;16;5;0;5;2;2;1;0;1;0;0
2019-01-23 01:44:59;16;5;0;5;2;2;1;0;1;0;0
2019-01-23 01:45:59;19;5;0;5;3;3;1;0;1;0;0
2019-01-23 01:46:58;19;5;0;5;3;3;1;0;1;0;0
2019-01-23 01:47:59;20;5;0;5;3;3;1;0;1;0;0
2019-01-23 01:48:58;20;5;0;5;3;3;1;0;1;0;0
2019-01-23 01:49:59;20;5;0;5;3;3;1;0;1;0;0
2019-01-23 01:50:59;20;5;0;5;3;3;1;0;1;0;0
2019-01-23 01:51:58;20;5;0;5;3;3;1;0;1;0;0
2019-01-23 01:52:59;20;5;0;5;3;3;1;0;1;0;0
2019-01-23 01:53:59;20;5;0;5;3;3;1;0;1;0;0
2019-01-23 01:54:58;20;5;0;5;3;3;1;0;1;0;0
2019-01-23 01:55:59;20;5;0;5;3;3;1;0;1;0;0
2019-01-23 01:56:58;20;5;0;5;3;3;1;0;1;0;0
2019-01-23 01:57:59;20;5;0;5;3;3;1;0;1;0;0
2019-01-23 01:58:59;20;5;0;5;3;3;1;0;1;0;0
2019-01-23 01:59:58;20;5;0;5;3;3;1;0;1;0;0
2019-01-23 02:00:59;20;5;0;5;3;3;1;0;1;0;0
2019-01-23 02:01:59;20;5;0;5;3;3;1;0;1;0;0
2019-01-23 02:02:58;20;5;0;5;3;3;1;0;1;0;0
2019-01-23 02:03:59;20;5;0;5;3;3;1;0;1;0;0
2019-01-23 02:04:59;20;5;0;5;3;3;1;0;1;0;0
2019-01-23 02:05:58;20;5;0;5;3;3;1;0;1;0;0
2019-01-23 02:06:59;20;5;0;5;3;3;1;0;1;0;0
2019-01-23 02:07:59;20;5;0;5;3;3;1;0;1;0;0
2019-01-23 02:08:58;20;5;0;5;3;3;1;0;1;0;0
2019-01-23 02:09:59;20;5;0;5;3;3;1;0;1;0;0
2019-01-23 02:10:59;21;5;0;5;4;3;1;0;1;0;0
2019-01-23 02:11:58;22;5;0;5;4;3;1;0;2;0;0
