datetime;total_votes;Zubasteg;Mutafakaz;gizm0;megaslowpoke;sexychinagay;Zadorno;navalny;Zvag;Wiedemann;Shady
2020-05-13 01:29:58;109;11;0;13;12;0;9;0;12;0;0
2020-05-13 01:30:59;110;11;0;13;12;0;10;0;12;0;0
2020-05-13 01:31:59;110;11;0;13;12;0;14;0;12;0;0
2020-05-13 01:32:58;110;11;0;13;12;0;14;0;12;0;0
2020-05-13 01:33:59;112;15;0;13;13;0;14;0;12;0;0
2020-05-13 01:34:59;112;15;0;13;13;0;14;0;14;0;0
2020-05-13 01:35:58;113;16;0;14;13;0;14;0;14;0;0
2020-05-13 01:36:59;113;16;0;14;13;0;14;0;14;0;0
2020-05-13 01:37:59;113;16;0;14;13;0;14;0;14;0;0
2020-05-13 01:38:58;113;16;0;14;13;0;14;0;14;0;0
2020-05-13 01:39:59;113;16;0;14;13;0;14;0;14;0;0
2020-05-13 01:40:58;113;16;0;14;13;0;15;0;14;0;0
2020-05-13 01:41:59;113;16;4;15;13;0;15;0;14;0;0
2020-05-13 01:42:59;114;17;4;15;13;0;15;0;14;0;0
2020-05-13 01:43:59;114;17;10;15;13;0;15;0;14;0;2
2020-05-13 01:44:58;114;17;10;15;13;0;15;0;14;0;2
2020-05-13 01:45:59;114;17;13;15;13;0;15;0;14;0;2
2020-05-13 01:46:59;115;17;14;15;13;0;15;0;14;0;2
2020-05-13 01:47:58;116;17;14;15;14;0;15;0;14;0;2
2020-05-13 01:48:59;116;17;14;15;14;0;15;0;14;0;2
2020-05-13 01:49:59;116;17;14;15;14;0;15;0;14;0;2
2020-05-13 01:50:58;117;17;14;15;15;0;15;0;14;0;2
2020-05-13 01:51:59;117;17;18;15;15;0;15;2;14;0;2
2020-05-13 01:52:58;117;17;18;15;15;0;15;2;14;0;2
2020-05-13 01:53:59;117;17;18;18;15;0;15;2;14;2;2
2020-05-13 01:54:59;118;17;18;18;16;0;15;2;14;2;2
2020-05-13 01:55:58;118;20;18;18;16;0;15;2;14;2;2
2020-05-13 01:56:59;118;20;18;18;16;0;15;2;14;2;2
2020-05-13 01:57:59;118;20;18;18;16;0;15;2;14;2;2
2020-05-13 01:58:59;118;20;18;18;16;0;15;2;14;2;2
2020-05-13 01:59:58;118;20;18;18;16;0;15;2;14;2;2
2020-05-13 02:00:59;118;20;18;18;16;0;15;2;14;2;2
2020-05-13 02:01:59;118;20;18;18;16;0;15;2;14;2;2
2020-05-13 02:02:58;118;20;18;18;16;0;15;2;14;2;2
2020-05-13 02:03:59;118;20;18;18;16;0;15;2;14;2;2
2020-05-13 02:04:59;118;20;18;18;16;0;15;2;14;2;2
2020-05-13 02:05:58;118;20;18;18;16;0;15;2;14;2;2
2020-05-13 02:06:59;118;20;18;18;16;0;15;2;14;2;2
2020-05-13 02:07:58;118;20;18;18;16;0;15;2;14;2;2
2020-05-13 02:08:59;118;20;18;18;16;0;15;2;14;2;2
2020-05-13 02:09:59;118;20;18;18;16;0;15;2;14;2;2
2020-05-13 02:10:58;119;20;18;18;16;0;15;2;14;2;2
2020-05-13 02:11:59;120;21;18;18;16;0;15;2;14;2;2
2020-05-13 02:13:00;120;20;19;18;16;0;15;2;14;2;2
2020-05-13 02:13:58;120;20;19;18;16;0;15;2;14;2;2
2020-05-13 02:14:59;120;20;19;18;16;0;15;2;14;2;2
2020-05-13 02:15:59;120;20;19;18;16;0;15;2;14;2;2
2020-05-13 02:16:58;121;20;20;18;16;0;15;2;14;2;2
2020-05-13 02:17:59;121;20;20;18;16;0;15;2;14;2;2
2020-05-13 02:18:58;122;21;20;18;16;0;15;2;14;2;2
2020-05-13 02:19:59;122;21;20;18;16;0;15;2;14;2;2
2020-05-13 02:20:58;122;21;20;18;16;0;15;2;14;2;2
2020-05-13 02:21:59;122;21;20;18;16;0;15;2;14;2;2
2020-05-13 02:22:59;122;21;20;18;16;0;15;2;14;2;2
2020-05-13 02:23:58;122;21;20;18;16;0;15;2;14;2;2
2020-05-13 02:24:59;122;21;20;18;16;0;15;2;14;2;2
2020-05-13 02:25:59;122;21;20;18;16;0;15;2;14;2;2
2020-05-13 02:26:58;122;21;20;18;16;0;15;2;14;2;2
2020-05-13 02:27:59;123;21;20;18;16;0;15;2;14;2;2
2020-05-13 02:28:59;123;21;20;18;16;0;15;2;14;2;2
2020-05-13 02:29:59;123;21;20;18;16;0;15;2;14;2;2
2020-05-13 02:30:58;123;21;20;18;16;0;15;2;14;2;2
2020-05-13 02:31:59;123;21;20;18;16;0;15;2;14;2;2
2020-05-13 02:32:59;123;21;20;18;16;0;15;2;14;2;2
2020-05-13 02:33:58;124;22;20;18;16;0;15;2;14;2;2
2020-05-13 02:34:59;124;22;20;18;16;0;15;2;14;2;2
2020-05-13 02:35:59;124;22;20;18;16;0;15;2;14;2;2
2020-05-13 02:36:58;124;22;20;18;16;0;15;2;14;2;2
2020-05-13 02:37:59;124;22;20;18;16;0;15;2;14;2;2
2020-05-13 02:38:58;124;22;20;18;16;0;15;2;14;2;2
2020-05-13 02:39:59;124;22;20;18;16;0;15;2;14;2;2
2020-05-13 02:40:59;124;22;20;18;16;0;15;2;14;2;2
2020-05-13 02:41:58;124;22;20;18;16;0;15;2;14;2;2
2020-05-13 02:42:59;124;22;20;18;16;0;15;2;14;2;2
2020-05-13 02:43:59;124;22;20;18;16;0;15;2;14;2;2
2020-05-13 02:44:58;124;22;20;18;16;0;15;2;14;2;2
2020-05-13 02:45:59;124;22;20;18;16;0;15;2;14;2;2
2020-05-13 02:46:59;125;22;20;18;16;0;15;2;14;2;2
2020-05-13 02:47:58;125;22;20;18;16;0;15;2;14;2;2
2020-05-13 02:48:59;126;22;20;18;16;0;15;2;14;2;3
2020-05-13 02:49:59;126;22;20;18;16;0;15;2;14;2;3
2020-05-13 02:50:58;126;22;20;18;16;0;15;2;14;2;3
2020-05-13 02:51:59;126;22;20;18;16;0;15;2;14;2;3
2020-05-13 02:52:59;126;22;20;18;16;0;15;2;14;2;3
