datetime;total_votes;tutabrain;rockamark;pupsique;markII;Есения;NoEndOutcry;XASSA;kilogramm;kotophalk;wintercyclone
2019-05-15 01:18:58;17;0;5;1;1;1;0;0;2;0;0
2019-05-15 01:19:59;17;0;5;1;1;1;0;0;2;0;0
2019-05-15 01:20:58;18;0;5;2;1;1;0;0;2;0;0
2019-05-15 01:21:59;18;0;5;2;1;1;0;0;2;0;0
2019-05-15 01:22:59;18;0;5;2;1;1;0;0;2;0;0
2019-05-15 01:23:58;18;0;5;2;1;1;0;0;2;0;0
2019-05-15 01:24:59;18;0;5;2;1;1;0;0;2;0;0
2019-05-15 01:25:59;18;0;5;2;1;1;0;0;2;0;0
2019-05-15 01:26:58;18;0;5;2;1;1;0;0;2;0;0
2019-05-15 01:27:59;18;0;5;2;1;1;0;0;2;0;0
2019-05-15 01:28:59;18;0;5;2;1;1;0;0;2;0;0
2019-05-15 01:29:58;18;0;5;2;1;1;0;0;2;0;0
2019-05-15 01:30:59;18;0;5;2;1;1;0;0;2;0;0
2019-05-15 01:31:59;18;0;5;2;1;1;0;0;2;0;0
2019-05-15 01:32:58;18;0;5;2;1;1;0;0;2;0;0
2019-05-15 01:33:59;18;0;5;2;1;1;0;0;2;0;0
2019-05-15 01:34:59;18;0;5;2;1;1;0;0;2;0;0
2019-05-15 01:35:59;18;0;5;2;1;1;0;0;2;0;0
2019-05-15 01:36:59;18;0;5;2;1;1;0;0;2;0;0
2019-05-15 01:37:59;18;0;5;2;1;1;0;0;2;0;0
2019-05-15 01:38:58;18;0;5;2;1;1;0;0;2;0;0
2019-05-15 01:39:59;18;0;5;2;1;1;0;0;2;0;0
2019-05-15 01:40:59;18;0;5;2;1;1;0;0;2;0;0
2019-05-15 01:41:58;18;0;5;2;1;1;0;0;2;0;0
2019-05-15 01:42:59;18;0;5;2;1;1;0;0;2;0;0
2019-05-15 01:43:58;18;0;5;2;1;1;0;0;2;0;0
2019-05-15 01:44:59;18;0;5;2;1;1;0;0;2;0;0
2019-05-15 01:45:59;18;0;5;2;1;1;0;0;2;0;0
2019-05-15 01:46:58;18;0;5;2;1;1;0;0;2;0;0
2019-05-15 01:47:59;18;0;5;2;1;1;0;0;2;0;0
2019-05-15 01:48:59;19;0;5;2;1;1;0;0;3;0;0
2019-05-15 01:49:58;20;0;6;2;1;1;0;0;3;0;0
2019-05-15 01:50:59;20;0;6;2;1;1;0;0;3;0;0
2019-05-15 01:51:59;20;0;6;2;1;1;0;0;3;0;0
2019-05-15 01:52:58;20;0;6;2;1;1;0;0;3;0;0
2019-05-15 01:53:59;20;0;6;2;1;1;0;0;3;0;0
2019-05-15 01:54:59;20;0;6;2;1;1;0;0;3;0;0
2019-05-15 01:55:58;20;0;6;2;1;1;0;0;3;0;0
2019-05-15 01:56:59;21;0;6;2;1;1;0;0;3;0;0
2019-05-15 01:57:58;21;0;6;2;1;1;0;0;3;0;0
2019-05-15 01:58:59;21;0;6;2;1;1;0;0;3;0;0
2019-05-15 01:59:59;21;0;6;2;1;1;0;0;3;0;0
2019-05-15 02:00:58;21;0;6;2;1;1;0;0;3;0;0
2019-05-15 02:01:59;21;0;6;2;1;1;0;0;3;0;0
2019-05-15 02:02:59;21;0;6;2;1;1;0;0;3;0;0
2019-05-15 02:03:58;21;0;6;2;1;1;0;0;3;0;0
2019-05-15 02:04:59;21;0;6;2;1;1;0;0;3;0;0
2019-05-15 02:05:59;21;0;6;2;1;1;0;0;3;0;0
2019-05-15 02:06:58;21;0;6;2;1;1;0;0;3;0;0
2019-05-15 02:07:59;21;0;6;2;1;1;0;0;3;0;0
2019-05-15 02:08:59;21;0;6;2;1;1;0;0;3;0;0
2019-05-15 02:09:58;21;0;6;2;1;1;0;0;3;0;0
2019-05-15 02:10:59;21;0;6;2;1;1;0;0;3;0;0
2019-05-15 02:11:59;21;0;6;2;1;1;0;0;3;0;0
2019-05-15 02:12:58;21;0;6;2;1;1;0;0;3;0;0
2019-05-15 02:13:59;21;0;6;2;1;1;0;0;3;0;0
2019-05-15 02:14:59;21;0;6;2;1;1;0;0;3;0;0
2019-05-15 02:15:58;21;0;6;2;1;1;0;0;3;0;0
2019-05-15 02:16:59;21;0;6;2;1;1;0;0;3;0;0
2019-05-15 02:17:59;21;0;6;2;1;1;0;0;3;0;0
2019-05-15 02:18:58;21;0;6;2;1;1;0;0;3;0;0
2019-05-15 02:19:59;21;0;6;2;1;1;0;0;3;0;0
2019-05-15 02:20:58;21;0;6;2;1;1;0;0;3;0;0
2019-05-15 02:21:59;22;0;6;2;0;1;0;0;3;0;0
2019-05-15 02:22:59;22;0;6;2;0;1;0;0;3;0;0
2019-05-15 02:23:58;22;0;6;2;0;1;0;0;3;0;0
2019-05-15 02:24:59;23;0;6;2;2;0;0;0;3;0;0
2019-05-15 02:25:59;23;0;6;2;2;0;0;0;3;0;0
