datetime;total_votes;GlobetrotterXL;shamanka2_0;Yardrey;navalny;Fill;kross;xtend;Mapm;mama_p_zh;kotophalk
2020-11-25 01:18:59;34;6;6;2;3;2;3;1;0;0;2
2020-11-25 01:19:58;34;6;6;2;3;2;3;1;0;0;2
2020-11-25 01:20:59;34;6;6;2;3;2;3;1;0;0;2
2020-11-25 01:21:58;34;6;6;2;3;2;3;1;0;0;2
2020-11-25 01:22:59;34;6;6;2;3;2;3;1;0;0;2
2020-11-25 01:23:59;34;6;6;2;3;2;3;1;0;0;2
2020-11-25 01:24:58;35;6;7;2;3;2;3;1;0;0;2
2020-11-25 01:25:59;35;6;7;2;3;2;3;1;0;0;2
2020-11-25 01:26:59;35;6;7;2;3;2;3;1;0;0;2
2020-11-25 01:27:58;35;6;7;2;3;2;3;1;0;0;2
2020-11-25 01:28:59;35;6;7;2;3;2;3;1;0;0;2
2020-11-25 01:30:00;35;6;7;2;3;2;3;1;0;0;2
2020-11-25 01:30:58;35;6;7;2;3;2;3;1;0;0;2
2020-11-25 01:31:59;35;6;7;2;3;2;3;1;0;0;2
2020-11-25 01:33:00;35;6;7;2;3;2;3;1;0;0;2
2020-11-25 01:33:58;35;6;7;2;3;2;3;1;0;0;2
2020-11-25 01:34:59;35;6;7;2;3;2;3;1;0;0;2
2020-11-25 01:35:58;36;6;7;3;3;2;3;1;0;1;2
2020-11-25 01:36:59;36;6;7;3;3;2;3;1;0;1;2
2020-11-25 01:37:59;36;6;8;3;3;2;3;1;0;1;2
2020-11-25 01:38:58;38;7;9;3;3;2;3;1;0;1;2
2020-11-25 01:39:59;38;6;9;3;3;2;3;1;0;2;2
2020-11-25 01:40:59;38;7;9;3;3;2;3;1;0;1;2
2020-11-25 01:41:58;38;7;9;3;3;2;3;1;0;1;2
2020-11-25 01:42:59;38;7;9;3;3;2;3;1;0;1;2
2020-11-25 01:43:59;38;7;9;3;3;2;3;1;0;1;2
2020-11-25 01:44:58;38;7;9;3;3;2;3;1;0;1;2
2020-11-25 01:45:59;38;7;9;3;3;2;3;1;0;1;2
2020-11-25 01:47:00;38;7;9;3;3;2;3;1;0;1;2
2020-11-25 01:47:58;38;7;9;3;3;2;3;1;0;1;2
2020-11-25 01:48:59;38;7;9;3;3;2;3;1;0;1;2
2020-11-25 01:49:58;38;7;9;3;3;2;3;1;0;1;2
2020-11-25 01:50:59;38;7;9;3;3;2;3;1;0;1;2
2020-11-25 01:51:59;39;8;9;3;3;2;3;1;0;1;2
2020-11-25 01:52:58;39;8;9;3;3;2;3;1;0;1;2
2020-11-25 01:53:59;40;9;9;3;3;2;3;1;0;1;2
2020-11-25 01:54:59;40;9;9;3;3;2;3;1;0;1;2
2020-11-25 01:55:58;41;10;9;3;3;2;3;1;0;1;2
2020-11-25 01:56:59;42;11;9;3;3;2;3;1;0;1;2
2020-11-25 01:57:59;42;11;9;3;3;2;3;1;0;1;2
2020-11-25 01:58:58;42;11;9;3;3;2;3;1;0;1;2
2020-11-25 01:59:59;42;11;9;3;3;2;3;1;0;1;2
2020-11-25 02:00:59;42;11;9;3;3;2;3;1;0;1;2
2020-11-25 02:01:58;42;11;9;3;3;2;3;1;0;1;2
2020-11-25 02:02:59;42;11;9;3;3;2;3;1;0;1;2
2020-11-25 02:04:00;43;12;9;3;3;2;3;1;0;1;2
2020-11-25 02:04:58;43;12;9;3;3;2;3;1;0;1;2
2020-11-25 02:05:59;43;12;9;3;3;2;3;1;0;1;2
2020-11-25 02:06:58;43;12;9;3;3;2;3;1;0;1;2
2020-11-25 02:07:59;43;12;9;3;3;2;3;1;0;1;2
2020-11-25 02:08:59;43;12;9;3;3;2;3;1;0;1;2
2020-11-25 02:09:58;44;12;9;3;3;2;4;1;0;1;2
2020-11-25 02:10:59;44;12;9;3;3;2;4;1;0;1;2
2020-11-25 02:11:59;44;12;9;3;3;2;4;1;0;1;2
2020-11-25 02:12:58;45;13;9;3;3;2;4;1;0;1;2
2020-11-25 02:13:59;45;13;9;3;3;2;4;1;0;1;2
2020-11-25 02:14:59;45;13;9;3;3;2;4;1;0;1;2
2020-11-25 02:15:58;45;13;9;3;3;2;4;1;0;1;2
2020-11-25 02:16:59;45;13;9;3;3;2;4;1;0;1;2
2020-11-25 02:17:59;45;13;9;3;3;2;4;1;0;1;2
2020-11-25 02:18:58;45;13;9;3;3;2;4;1;0;1;2
2020-11-25 02:19:59;45;13;9;3;3;2;4;1;0;1;2
2020-11-25 02:21:00;45;13;9;3;3;2;4;1;0;1;2
2020-11-25 02:21:58;45;13;9;3;3;2;4;1;0;1;2
2020-11-25 02:22:59;45;13;9;3;3;2;4;1;0;1;2
2020-11-25 02:23:59;45;13;9;3;3;2;4;1;0;1;2
2020-11-25 02:24:58;45;13;9;3;3;2;4;1;0;1;2
2020-11-25 02:25:59;45;13;9;3;3;2;4;1;0;1;2
2020-11-25 02:26:58;45;13;9;3;3;2;4;1;0;1;2
2020-11-25 02:27:59;45;13;9;3;3;2;4;1;0;1;2
2020-11-25 02:28:59;46;13;10;3;3;2;4;1;0;1;2
2020-11-25 02:29:58;46;13;10;3;3;2;4;1;0;1;2
2020-11-25 02:30:59;46;13;10;3;3;2;4;1;0;1;2
2020-11-25 02:31:59;46;13;10;3;3;2;4;1;0;1;2
2020-11-25 02:32:58;46;13;10;3;3;2;4;1;0;1;2
2020-11-25 02:33:59;46;13;10;3;3;2;4;1;0;1;2
