datetime;total_votes;Oleum;kross;Der_Sturmer;XASSA;UnbeabMoroz;Есения;NAFA;BlackIrony;xtend;Shilov
2020-01-08 01:18:59;27;5;10;3;0;1;1;0;0;2;0
2020-01-08 01:19:58;27;5;10;3;0;1;1;0;0;2;0
2020-01-08 01:20:59;27;5;10;3;0;1;1;0;0;2;0
2020-01-08 01:21:59;27;5;10;3;0;1;1;0;0;2;0
2020-01-08 01:23:00;27;5;10;3;0;1;1;0;0;2;0
2020-01-08 01:23:58;27;5;10;3;0;1;1;0;0;2;0
2020-01-08 01:24:59;27;5;10;3;0;1;1;0;0;2;0
2020-01-08 01:25:58;27;5;10;3;0;1;1;0;0;2;0
2020-01-08 01:26:59;28;5;11;3;0;1;1;0;0;2;0
2020-01-08 01:27:59;28;5;11;3;0;1;1;0;0;2;0
2020-01-08 01:28:59;28;5;11;3;0;1;1;0;0;2;0
2020-01-08 01:29:59;28;5;11;3;0;1;1;0;0;2;0
2020-01-08 01:30:58;28;5;11;3;0;1;1;0;0;2;0
2020-01-08 01:31:59;28;5;11;3;0;1;1;0;0;2;0
2020-01-08 01:32:59;28;5;11;3;0;1;1;0;0;2;0
2020-01-08 01:33:58;28;5;11;3;0;1;1;0;0;2;0
2020-01-08 01:34:59;28;5;11;3;0;1;1;0;0;2;0
2020-01-08 01:35:59;28;5;11;3;0;1;1;0;0;2;0
2020-01-08 01:36:58;28;5;11;3;0;1;1;0;0;2;0
2020-01-08 01:37:59;29;5;12;3;0;1;1;0;0;2;0
2020-01-08 01:38:59;29;5;12;3;0;1;1;0;0;2;0
2020-01-08 01:39:58;29;5;12;3;0;1;1;0;0;2;0
2020-01-08 01:40:59;29;5;12;3;0;1;1;0;0;2;0
2020-01-08 01:41:59;29;5;12;3;0;1;1;0;0;2;0
2020-01-08 01:42:58;29;5;12;3;0;1;1;0;0;2;0
2020-01-08 01:43:59;29;5;12;3;0;1;1;0;0;2;0
2020-01-08 01:44:59;29;5;12;3;0;1;1;0;0;2;0
2020-01-08 01:45:58;30;5;13;3;0;1;1;0;0;2;0
2020-01-08 01:46:59;30;5;13;3;0;1;1;0;0;2;0
2020-01-08 01:47:59;30;5;13;3;0;1;1;0;0;2;0
2020-01-08 01:48:59;30;5;13;3;0;1;1;0;0;2;0
2020-01-08 01:50:00;30;5;13;3;0;1;1;0;0;2;0
2020-01-08 01:50:58;30;5;13;3;0;1;1;0;0;2;0
2020-01-08 01:51:59;30;5;13;3;0;1;1;0;0;2;0
2020-01-08 01:52:59;30;5;13;3;0;1;1;0;0;2;0
2020-01-08 01:53:58;30;5;13;3;0;1;1;0;0;2;0
2020-01-08 01:54:59;30;5;13;3;0;1;1;0;0;2;0
2020-01-08 01:55:59;30;5;13;3;0;1;1;0;0;2;0
2020-01-08 01:56:59;31;5;13;4;0;1;1;0;0;2;0
2020-01-08 01:57:58;32;5;14;4;0;1;1;0;0;2;0
2020-01-08 01:58:59;32;5;14;4;0;1;1;0;0;2;0
2020-01-08 01:59:59;32;5;14;4;0;1;1;0;0;2;0
2020-01-08 02:00:58;32;5;14;4;0;1;1;0;0;2;0
2020-01-08 02:01:59;33;5;15;4;0;1;1;0;0;2;0
2020-01-08 02:02:59;33;5;15;4;0;1;1;0;0;2;0
2020-01-08 02:03:58;33;5;15;4;0;1;1;0;0;2;0
2020-01-08 02:04:59;33;5;15;4;0;1;1;0;0;2;0
2020-01-08 02:05:59;34;5;15;4;1;1;0;0;0;2;1
2020-01-08 02:06:59;34;5;15;4;1;1;0;0;0;2;1
2020-01-08 02:07:58;34;5;15;4;1;1;0;0;0;2;1
2020-01-08 02:08:59;34;5;15;4;1;1;0;0;0;2;1
2020-01-08 02:09:59;34;5;15;4;1;1;0;0;0;2;1
2020-01-08 02:10:58;34;5;15;4;1;1;0;0;0;2;1
2020-01-08 02:11:59;34;5;15;4;1;1;0;0;0;2;1
2020-01-08 02:12:59;34;5;15;4;1;1;0;0;0;2;1
2020-01-08 02:13:58;34;5;15;4;1;1;0;0;0;2;1
2020-01-08 02:14:59;34;5;15;4;1;1;0;0;0;2;1
2020-01-08 02:15:59;34;5;15;4;1;1;0;0;0;2;1
2020-01-08 02:16:59;35;5;16;4;1;1;0;0;0;2;1
2020-01-08 02:17:58;35;5;16;4;1;1;0;0;0;2;1
2020-01-08 02:18:59;35;5;16;4;1;1;0;0;0;2;1
2020-01-08 02:19:59;35;5;16;4;1;1;0;0;0;2;1
2020-01-08 02:20:58;35;5;16;4;1;1;0;0;0;2;1
2020-01-08 02:21:59;36;5;16;4;2;1;1;0;0;2;1
2020-01-08 02:22:59;37;5;17;4;2;1;1;0;0;2;1
2020-01-08 02:23:59;37;5;17;4;2;1;1;0;0;2;1
2020-01-08 02:24:58;37;5;17;4;2;1;1;0;0;2;1
2020-01-08 02:25:59;37;5;17;4;2;1;1;0;0;2;1
2020-01-08 02:26:58;37;5;17;4;2;1;1;0;0;2;1
2020-01-08 02:27:59;37;5;17;4;2;1;1;0;0;2;1
2020-01-08 02:28:59;37;5;17;4;2;1;1;0;0;2;1
2020-01-08 02:29:58;37;5;17;4;2;1;1;0;0;2;1
2020-01-08 02:30:59;37;5;17;4;2;1;1;0;0;2;1
2020-01-08 02:31:59;37;5;17;4;2;1;1;0;0;2;1
2020-01-08 02:32:58;37;5;17;4;2;1;1;0;0;2;1
2020-01-08 02:33:59;37;5;17;4;2;1;1;0;0;2;1
2020-01-08 02:34:59;37;5;17;4;2;1;1;0;0;2;1
2020-01-08 02:35:58;37;5;17;4;2;1;1;0;0;2;1
2020-01-08 02:36:59;37;5;17;4;2;1;1;0;0;2;1
2020-01-08 02:37:59;37;5;17;4;2;1;1;0;0;2;1
2020-01-08 02:38:58;37;5;17;4;2;1;1;0;0;2;1
2020-01-08 02:39:59;37;5;17;4;2;1;1;0;0;2;1
2020-01-08 02:40:59;37;5;17;4;2;1;1;0;0;2;1
2020-01-08 02:41:58;37;5;17;4;2;1;1;0;0;2;1
2020-01-08 02:42:59;39;5;17;4;2;1;1;0;0;2;1
2020-01-08 02:43:59;39;5;17;4;2;1;1;0;0;2;1
2020-01-08 02:44:58;39;5;17;4;2;1;1;0;0;2;1
2020-01-08 02:45:59;39;5;17;4;2;1;1;0;0;2;1
2020-01-08 02:46:59;39;5;17;4;2;1;1;0;0;2;1
2020-01-08 02:47:58;39;5;17;4;2;1;1;0;0;2;1
2020-01-08 02:48:59;40;6;17;4;2;1;1;0;0;2;1
2020-01-08 02:49:59;40;6;17;4;2;1;1;0;0;2;1
2020-01-08 02:50:59;40;6;17;4;2;1;1;0;0;2;1
2020-01-08 02:51:58;40;6;17;4;2;1;1;0;0;2;1
2020-01-08 02:52:59;42;7;17;4;2;1;1;0;0;2;2
2020-01-08 02:53:59;42;7;17;4;2;1;1;0;0;2;2
2020-01-08 02:54:59;42;7;17;4;2;1;1;0;0;2;2
2020-01-08 02:55:58;42;7;17;4;2;1;1;0;0;2;2
2020-01-08 02:56:59;42;7;17;4;2;1;1;0;0;2;2
2020-01-08 02:57:59;42;7;17;4;2;1;1;0;0;2;2
2020-01-08 02:58:58;42;7;17;4;2;1;1;0;0;2;2
2020-01-08 02:59:59;42;7;17;4;2;1;1;0;0;2;2
2020-01-08 03:00:58;42;7;17;4;2;1;1;0;0;2;2
2020-01-08 03:01:59;42;7;17;4;2;1;1;0;0;2;2
2020-01-08 03:02:59;42;7;17;4;2;1;1;0;0;2;2
2020-01-08 03:03:59;42;7;17;4;2;1;1;0;0;2;2
2020-01-08 03:04:58;42;7;17;4;2;1;1;0;0;2;2
2020-01-08 03:05:59;42;7;17;4;2;1;1;0;0;2;2
2020-01-08 03:06:59;42;7;17;4;2;1;1;0;0;2;2
2020-01-08 03:07:59;42;7;17;4;2;1;1;0;0;2;2
2020-01-08 03:08:58;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:09:59;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:10:59;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:11:58;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:12:59;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:13:59;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:14:59;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:15:58;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:16:59;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:17:59;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:18:58;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:19:59;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:20:59;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:21:58;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:22:59;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:23:59;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:24:58;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:25:59;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:26:59;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:27:59;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:28:58;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:29:59;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:30:59;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:31:58;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:32:59;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:33:59;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:34:59;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:35:58;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:36:59;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:37:59;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:38:58;43;8;17;4;2;1;1;0;0;2;2
2020-01-08 03:39:59;43;8;17;4;2;1;1;0;0;2;2
