datetime;total_votes;Private_Ryan;Shambala;voklo;praktik;SoulMaker;gelatelno;not;zgushonka;xiro;m0rf
2019-10-23 01:18:59;23;0;1;9;3;1;2;0;1;1;1
2019-10-23 01:19:58;23;0;1;9;3;1;2;0;1;1;1
2019-10-23 01:20:59;23;0;1;9;3;1;2;0;1;1;1
2019-10-23 01:21:59;23;0;1;9;3;1;2;0;1;1;1
2019-10-23 01:22:59;23;0;1;9;3;1;2;0;1;1;1
2019-10-23 01:23:58;23;0;1;9;3;1;2;0;1;1;1
2019-10-23 01:24:59;25;0;1;9;6;1;2;0;1;1;1
2019-10-23 01:25:59;25;0;1;9;6;1;2;0;1;1;1
2019-10-23 01:26:58;26;0;1;10;6;1;2;0;1;1;1
2019-10-23 01:27:59;26;0;1;10;6;1;2;0;1;1;1
2019-10-23 01:28:59;26;0;1;10;6;1;2;0;1;1;1
2019-10-23 01:29:58;27;0;1;10;6;2;2;0;1;1;1
2019-10-23 01:30:59;27;0;1;10;6;1;3;0;1;1;1
2019-10-23 01:31:59;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 01:32:59;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 01:33:58;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 01:34:59;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 01:35:59;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 01:36:58;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 01:37:59;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 01:38:59;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 01:39:58;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 01:40:59;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 01:41:59;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 01:42:58;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 01:43:59;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 01:44:59;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 01:45:58;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 01:46:59;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 01:47:59;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 01:48:58;28;0;1;10;6;2;3;0;1;1;1
2019-10-23 01:49:59;28;0;1;10;6;2;3;0;1;1;1
