datetime;total_votes;phb4;Zvag;Z-L-O;paramed;BURMAAAR;Needlefang;Der_Sturmer;Jayola;jovan;Zikka
2019-08-07 01:29:59;28;9;2;4;0;2;3;1;1;0;0
2019-08-07 01:30:59;28;9;2;4;0;2;3;1;1;0;0
2019-08-07 01:31:58;28;9;2;4;0;2;3;1;1;0;0
2019-08-07 01:32:59;28;9;2;4;0;2;3;1;1;0;0
2019-08-07 01:33:58;28;9;2;4;0;2;3;1;1;0;0
2019-08-07 01:34:59;28;9;2;4;0;2;3;1;1;0;0
2019-08-07 01:35:59;28;9;2;4;0;2;3;1;1;0;0
2019-08-07 01:36:59;29;9;2;4;0;2;4;1;1;0;0
2019-08-07 01:37:58;29;9;2;4;0;2;4;1;1;0;0
2019-08-07 01:38:59;29;9;2;4;0;2;4;1;1;0;0
2019-08-07 01:39:59;29;9;2;4;0;2;4;1;1;0;0
2019-08-07 01:40:58;29;9;2;4;0;2;4;1;1;0;0
2019-08-07 01:41:59;29;9;2;4;0;2;4;1;1;0;0
2019-08-07 01:42:58;29;9;2;4;0;2;4;1;1;0;0
2019-08-07 01:43:59;29;9;2;4;0;2;4;1;1;0;0
2019-08-07 01:44:59;29;9;2;4;0;2;4;1;1;0;0
2019-08-07 01:45:58;29;9;2;4;0;2;4;1;1;0;0
2019-08-07 01:46:59;29;9;2;4;0;2;4;1;1;0;0
2019-08-07 01:47:58;29;9;2;4;0;2;4;1;1;0;0
2019-08-07 01:48:59;29;9;2;4;0;2;4;1;1;0;0
2019-08-07 01:49:59;29;9;2;4;0;2;4;1;1;0;0
2019-08-07 01:50:58;29;9;2;4;0;2;4;1;1;0;0
2019-08-07 01:51:59;29;9;2;4;0;2;4;1;1;0;0
2019-08-07 01:52:59;29;9;2;4;0;2;4;1;1;0;0
2019-08-07 01:53:58;30;9;2;5;0;2;4;1;1;0;0
2019-08-07 01:54:59;30;9;2;5;0;2;4;1;1;0;0
2019-08-07 01:55:59;30;9;2;5;0;2;4;1;1;0;0
2019-08-07 01:56:58;30;9;2;5;0;2;4;1;1;0;0
2019-08-07 01:57:59;30;9;2;5;0;2;4;1;1;0;0
2019-08-07 01:58:59;30;9;2;5;0;2;4;1;1;0;0
2019-08-07 01:59:58;30;9;2;5;0;2;4;1;1;0;0
2019-08-07 02:00:59;30;9;2;5;0;2;4;1;1;0;0
2019-08-07 02:01:58;30;9;2;5;0;2;4;1;1;0;0
2019-08-07 02:02:59;30;9;2;5;0;2;4;1;1;0;0
2019-08-07 02:03:58;30;9;2;5;0;2;4;1;1;0;0
2019-08-07 02:04:59;30;9;2;5;0;2;4;1;1;0;0
2019-08-07 02:05:59;31;9;2;5;0;2;4;1;2;0;0
2019-08-07 02:06:58;31;9;2;5;0;2;4;1;2;0;0
2019-08-07 02:07:59;31;9;2;5;0;2;4;1;2;0;0
2019-08-07 02:08:59;31;9;2;5;0;2;4;1;2;0;0
2019-08-07 02:09:58;31;9;2;5;0;2;4;1;2;0;0
2019-08-07 02:10:59;31;9;2;5;0;2;4;1;2;0;0
2019-08-07 02:11:59;31;9;2;5;0;2;4;1;2;0;0
2019-08-07 02:12:58;31;9;2;5;0;2;4;1;2;0;0
2019-08-07 02:13:59;31;9;2;5;0;2;4;1;2;0;0
2019-08-07 02:14:58;31;9;2;5;0;2;4;1;2;0;0
2019-08-07 02:15:59;31;9;2;5;0;2;4;1;2;0;0
2019-08-07 02:16:59;31;9;2;5;0;2;4;1;2;0;0
2019-08-07 02:17:58;31;9;2;5;0;2;4;1;2;0;0
2019-08-07 02:18:59;31;9;2;5;0;2;4;1;2;0;0
2019-08-07 02:19:59;31;9;2;5;0;2;4;1;2;0;0
2019-08-07 02:20:58;31;9;2;5;0;2;4;1;2;0;0
2019-08-07 02:21:59;31;9;2;5;0;2;4;1;2;0;0
2019-08-07 02:22:59;31;9;2;5;0;2;4;1;2;0;0
2019-08-07 02:23:58;31;9;2;5;0;2;4;1;2;0;0
2019-08-07 02:24:59;31;9;2;5;0;2;4;1;2;0;0
2019-08-07 02:25:59;31;9;2;5;0;2;4;1;2;0;0
2019-08-07 02:26:58;31;9;2;5;0;2;4;1;2;0;0
2019-08-07 02:27:59;31;9;2;5;0;2;4;1;2;0;0
2019-08-07 02:28:59;32;9;2;5;0;2;5;1;2;0;0
2019-08-07 02:29:58;32;9;2;5;0;2;5;1;2;0;0
2019-08-07 02:30:59;32;9;2;5;0;2;5;1;2;0;0
2019-08-07 02:31:58;32;9;2;5;0;2;5;1;2;0;0
2019-08-07 02:32:59;32;9;2;5;0;2;5;1;2;0;0
2019-08-07 02:33:59;32;9;2;5;0;2;5;1;2;0;0
