datetime;total_votes;lublu-zubi;voklo;brammator;jovan;Hexadecachoron;paramed;UndeadMoroz;norpo;xiro;Mapm
2019-11-06 01:18:58;18;8;3;1;1;1;0;1;0;0;0
2019-11-06 01:19:59;18;8;3;1;1;1;0;1;0;0;0
2019-11-06 01:20:59;18;8;3;1;1;1;0;1;0;0;0
2019-11-06 01:21:58;18;8;3;1;1;1;0;1;0;0;0
2019-11-06 01:22:59;18;8;3;1;1;1;0;1;0;0;0
2019-11-06 01:23:59;18;8;3;1;1;1;0;1;0;0;0
2019-11-06 01:24:58;18;8;3;1;1;1;0;1;0;0;0
2019-11-06 01:25:59;18;8;3;1;1;1;0;1;0;0;0
2019-11-06 01:26:59;18;8;3;1;1;1;0;1;0;0;0
2019-11-06 01:27:58;18;8;3;1;1;1;0;1;0;0;0
2019-11-06 01:28:59;19;9;3;1;1;1;0;1;0;0;0
2019-11-06 01:29:59;19;9;3;1;1;1;0;1;0;0;0
2019-11-06 01:30:58;19;9;3;1;1;1;0;1;0;0;0
2019-11-06 01:31:59;19;9;3;1;1;1;0;1;0;0;0
2019-11-06 01:32:59;19;9;3;1;1;1;0;1;0;0;0
2019-11-06 01:33:58;19;9;3;1;1;1;0;1;0;0;0
2019-11-06 01:34:59;19;9;3;1;1;1;0;1;0;0;0
2019-11-06 01:35:59;19;9;3;1;1;1;0;1;0;0;0
2019-11-06 01:36:58;19;9;3;1;1;1;0;1;0;0;0
2019-11-06 01:37:59;19;9;3;1;1;1;0;1;0;0;0
2019-11-06 01:38:59;20;9;4;1;1;1;0;1;0;0;0
2019-11-06 01:39:59;20;9;4;1;1;1;0;1;0;0;0
2019-11-06 01:40:58;20;9;4;1;1;1;0;1;0;0;0
2019-11-06 01:41:59;21;9;4;1;1;2;0;1;0;0;0
2019-11-06 01:42:59;21;9;4;1;1;2;0;1;0;0;0
2019-11-06 01:43:58;21;9;4;1;1;2;0;1;0;0;0
2019-11-06 01:44:59;21;9;4;1;1;2;0;1;0;0;0
2019-11-06 01:45:59;21;9;4;1;1;2;0;1;0;0;0
2019-11-06 01:46:58;21;9;4;1;1;2;0;1;0;0;0
2019-11-06 01:47:59;21;9;4;1;1;2;0;1;0;0;0
2019-11-06 01:48:59;21;9;4;1;1;2;0;1;0;0;0
2019-11-06 01:49:59;21;9;4;1;1;2;0;1;0;0;0
2019-11-06 01:50:58;21;9;4;1;1;2;0;1;0;0;0
2019-11-06 01:51:59;21;9;4;1;1;2;0;1;0;0;0
2019-11-06 01:52:59;21;9;4;1;1;2;0;1;0;0;0
2019-11-06 01:53:58;21;9;4;1;1;2;0;1;0;0;0
2019-11-06 01:54:59;21;9;4;1;1;2;0;1;0;0;0
2019-11-06 01:55:59;21;9;4;1;1;2;0;1;0;0;0
2019-11-06 01:56:58;21;9;4;1;1;2;0;1;0;0;0
2019-11-06 01:57:59;21;9;4;1;1;2;0;1;0;0;0
2019-11-06 01:58:59;21;9;4;1;1;2;0;1;0;0;0
2019-11-06 01:59:58;22;9;5;1;1;2;0;1;0;0;0
2019-11-06 02:00:59;22;9;5;1;1;2;0;1;0;0;0
2019-11-06 02:01:59;22;9;5;1;1;2;0;1;0;0;0
2019-11-06 02:03:00;22;9;5;1;1;2;0;1;0;0;0
2019-11-06 02:03:58;22;9;5;1;1;2;0;1;0;0;0
2019-11-06 02:04:59;22;9;5;1;1;2;0;1;0;0;0
2019-11-06 02:05:59;22;9;5;1;1;2;0;1;0;0;0
2019-11-06 02:06:58;23;9;5;1;1;3;0;1;0;0;0
2019-11-06 02:07:59;23;9;5;1;1;3;0;1;0;0;0
2019-11-06 02:08:59;24;9;5;1;1;3;0;1;0;0;0
2019-11-06 02:09:58;24;9;5;1;1;3;0;1;0;0;0
2019-11-06 02:10:59;24;9;5;1;1;3;0;1;0;0;0
2019-11-06 02:11:59;24;9;5;1;1;3;0;1;0;0;0
2019-11-06 02:12:58;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:13:59;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:14:59;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:16:00;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:16:58;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:17:59;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:18:59;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:19:58;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:20:59;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:21:59;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:22:58;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:23:59;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:24:59;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:25:58;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:26:59;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:27:59;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:28:58;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:29:59;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:30:59;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:31:59;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:32:58;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:33:59;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:34:59;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:35:58;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:36:59;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:37:59;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:38:58;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:39:59;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:40:58;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:41:59;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:42:59;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:43:59;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:44:58;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:45:59;25;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:46:59;26;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:47:58;26;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:48:59;26;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:49:59;26;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:51:00;26;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:51:58;26;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:52:59;26;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:53:58;26;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:54:59;26;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:55:59;26;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:56:59;26;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:57:58;26;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:58:59;26;10;5;1;1;3;0;1;0;0;0
2019-11-06 02:59:59;26;10;5;1;1;3;0;1;0;0;0
2019-11-06 03:00:58;26;10;5;1;1;3;0;1;0;0;0
2019-11-06 03:01:59;26;10;5;1;1;3;0;1;0;0;0
2019-11-06 03:02:59;26;10;5;1;1;3;0;1;0;0;0
2019-11-06 03:03:58;26;10;5;1;1;3;0;1;0;0;0
2019-11-06 03:04:59;28;10;6;1;1;4;0;1;0;0;0
2019-11-06 03:05:59;28;10;6;1;1;4;0;1;0;0;0
2019-11-06 03:06:59;28;10;6;1;1;4;0;1;0;0;0
2019-11-06 03:07:58;28;10;6;1;1;4;0;1;0;0;0
2019-11-06 03:08:59;28;10;6;1;1;4;0;1;0;0;0
2019-11-06 03:09:59;28;10;6;1;1;4;0;1;0;0;0
2019-11-06 03:10:58;28;10;6;1;1;4;0;1;0;0;0
2019-11-06 03:11:59;28;10;6;1;1;4;0;1;0;0;0
2019-11-06 03:12:59;28;10;6;1;1;4;0;1;0;0;0
2019-11-06 03:13:59;28;10;6;1;1;4;0;1;0;0;0
2019-11-06 03:14:58;28;10;6;1;1;4;0;1;0;0;0
2019-11-06 03:15:59;28;10;6;1;1;4;0;1;0;0;0
2019-11-06 03:16:59;28;10;6;1;1;4;0;1;0;0;0
2019-11-06 03:17:58;28;10;6;1;1;4;0;1;0;0;0
2019-11-06 03:18:59;28;10;6;1;1;4;0;1;0;0;0
2019-11-06 03:19:59;28;10;6;1;1;4;0;1;0;0;0
2019-11-06 03:20:58;28;10;6;1;1;4;0;1;0;0;0
