datetime;total_votes;Plancus;keyreal;leprovalentin;pupsique;Der_Sturmer;rockamark;Есения;dear_pavlik;kiLstrom;brammator
2019-02-27 01:18:58;23;9;2;0;0;2;0;1;2;2;1
2019-02-27 01:19:59;23;9;2;0;0;2;0;1;2;2;1
2019-02-27 01:20:58;23;9;2;0;0;2;0;1;2;2;1
2019-02-27 01:21:59;23;9;2;0;0;2;0;1;2;2;1
2019-02-27 01:22:58;23;9;2;0;0;2;0;1;2;2;1
2019-02-27 01:23:59;23;9;2;0;0;2;0;1;2;2;1
2019-02-27 01:24:58;23;9;2;0;0;2;0;1;2;2;1
2019-02-27 01:25:59;24;10;2;0;0;2;0;1;2;2;1
2019-02-27 01:26:59;24;10;2;0;0;2;0;1;2;2;1
2019-02-27 01:27:58;24;10;2;0;0;2;0;1;2;2;1
2019-02-27 01:28:59;24;10;2;0;0;2;0;1;2;2;1
2019-02-27 01:29:58;24;10;2;0;0;2;0;1;2;2;1
2019-02-27 01:30:59;24;10;2;0;0;2;0;1;2;2;1
2019-02-27 01:31:59;24;10;2;0;0;2;0;1;2;2;1
2019-02-27 01:32:58;24;10;2;0;0;2;0;1;2;2;1
2019-02-27 01:33:59;24;10;2;0;0;2;0;1;2;2;1
2019-02-27 01:34:59;24;10;2;0;0;2;0;1;2;2;1
2019-02-27 01:35:58;24;10;2;0;0;2;0;1;2;2;1
2019-02-27 01:36:59;25;10;2;0;0;2;0;1;2;2;1
2019-02-27 01:37:58;25;10;2;0;0;2;0;1;2;2;1
2019-02-27 01:38:59;25;10;2;0;0;2;0;1;2;2;1
2019-02-27 01:39:59;25;10;2;0;0;2;0;1;2;2;1
2019-02-27 01:41:00;26;10;2;0;0;2;0;1;2;2;0
2019-02-27 01:41:58;26;10;2;0;0;2;0;1;2;2;0
2019-02-27 01:42:59;26;10;2;0;0;2;0;1;2;2;0
2019-02-27 01:43:58;26;10;2;0;0;2;0;1;2;2;0
2019-02-27 01:44:59;26;10;2;0;0;2;0;1;2;2;0
2019-02-27 01:45:58;26;10;2;0;0;2;0;1;2;2;0
2019-02-27 01:46:59;26;10;2;0;0;2;0;1;2;2;0
2019-02-27 01:47:59;26;10;2;0;0;2;0;1;2;2;0
2019-02-27 01:48:58;26;10;2;0;0;2;0;1;2;2;0
2019-02-27 01:49:59;26;10;2;0;0;2;0;1;2;2;0
2019-02-27 01:50:59;26;10;2;0;0;2;0;1;2;2;0
2019-02-27 01:51:58;27;10;2;0;0;2;1;0;2;2;0
2019-02-27 01:52:59;27;10;2;0;0;2;1;0;2;2;0
2019-02-27 01:53:58;27;10;2;0;0;2;1;0;2;2;0
2019-02-27 01:54:59;27;10;2;0;0;2;1;0;2;2;0
2019-02-27 01:55:59;27;10;2;0;0;2;1;0;2;2;0
2019-02-27 01:56:58;27;10;2;0;0;2;1;0;2;2;0
2019-02-27 01:57:59;27;10;2;0;0;2;1;0;2;2;0
2019-02-27 01:58:58;28;11;2;0;0;2;1;0;2;2;0
2019-02-27 01:59:59;28;11;2;0;0;2;1;0;2;2;0
2019-02-27 02:00:59;28;11;2;0;0;2;1;0;2;2;0
2019-02-27 02:01:58;28;11;2;0;0;2;1;0;2;2;0
2019-02-27 02:02:59;28;11;2;0;0;2;1;0;2;2;0
2019-02-27 02:03:58;28;11;2;0;0;2;1;0;2;2;0
2019-02-27 02:04:59;30;13;2;0;0;2;1;0;2;2;0
2019-02-27 02:05:59;30;13;2;0;0;2;1;0;2;2;0
2019-02-27 02:06:58;30;13;2;0;0;2;1;0;2;2;0
2019-02-27 02:07:59;30;13;2;0;0;2;1;0;2;2;0
2019-02-27 02:08:59;30;13;2;0;0;2;1;0;2;2;0
2019-02-27 02:09:58;30;13;2;0;0;2;1;0;2;2;0
2019-02-27 02:10:59;30;13;2;0;0;2;1;0;2;2;0
2019-02-27 02:11:59;30;13;2;0;0;2;1;0;2;2;0
2019-02-27 02:12:58;30;13;2;0;0;2;1;0;2;2;0
2019-02-27 02:13:59;30;13;2;0;0;2;1;0;2;2;0
2019-02-27 02:14:58;30;13;2;0;0;2;1;0;2;2;0
2019-02-27 02:15:59;30;13;2;0;0;2;1;0;2;2;0
2019-02-27 02:16:59;30;13;2;0;0;2;1;0;2;2;0
2019-02-27 02:17:58;30;13;2;0;0;2;1;0;2;2;0
2019-02-27 02:18:59;30;13;2;0;0;2;1;0;2;2;0
2019-02-27 02:19:58;30;13;2;0;0;2;1;0;2;2;0
2019-02-27 02:20:59;30;13;2;0;0;2;1;0;2;2;0
2019-02-27 02:21:59;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:22:58;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:23:59;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:24:59;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:25:59;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:26:58;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:27:59;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:28:58;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:29:59;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:30:59;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:31:58;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:32:59;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:33:59;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:34:58;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:35:59;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:36:58;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:37:59;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:38:59;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:39:58;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:40:59;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:41:58;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:42:59;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:43:58;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:44:59;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:45:58;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:46:59;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:47:58;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:48:59;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:49:59;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:50:58;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:51:59;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:52:59;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:53:58;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:54:59;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:55:58;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:56:59;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:57:58;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:58:59;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 02:59:58;31;13;2;0;0;2;2;1;2;2;0
2019-02-27 03:00:59;32;14;2;0;0;2;2;1;2;2;0
2019-02-27 03:01:58;32;14;2;0;0;2;2;1;2;2;0
2019-02-27 03:02:59;32;14;2;0;0;2;2;1;2;2;0
2019-02-27 03:03:59;32;14;2;0;0;2;2;1;2;2;0
2019-02-27 03:04:58;32;14;2;0;0;2;2;1;2;2;0
2019-02-27 03:05:59;32;14;2;0;0;2;2;1;2;2;0
2019-02-27 03:06:59;32;14;2;0;0;2;2;1;2;2;0
2019-02-27 03:07:58;32;14;2;0;0;2;2;1;2;2;0
2019-02-27 03:08:59;32;14;2;0;0;2;2;1;2;2;0
2019-02-27 03:09:58;33;13;2;1;0;2;2;2;2;2;1
2019-02-27 03:10:59;33;13;2;1;0;2;2;2;2;2;1
2019-02-27 03:11:59;33;13;2;1;0;2;2;2;2;2;1
2019-02-27 03:12:58;34;13;3;1;0;2;2;2;2;2;1
2019-02-27 03:13:59;35;14;3;1;0;2;2;2;2;2;1
2019-02-27 03:14:58;35;14;3;1;0;2;2;2;2;2;1
2019-02-27 03:15:59;35;14;3;1;0;2;2;2;2;2;1
2019-02-27 03:16:59;35;14;3;1;0;2;2;2;2;2;1
2019-02-27 03:17:58;36;14;3;1;0;2;2;2;2;2;0
2019-02-27 03:18:59;36;14;3;1;0;2;2;2;2;2;0
2019-02-27 03:19:59;36;14;3;1;0;2;2;2;2;2;0
2019-02-27 03:20:58;36;14;3;1;0;2;2;2;2;2;0
2019-02-27 03:21:59;36;14;3;1;0;2;2;2;2;2;0
2019-02-27 03:22:58;36;14;3;1;0;2;2;2;2;2;0
2019-02-27 03:23:59;36;14;3;1;0;2;2;2;2;2;0
2019-02-27 03:24:59;36;14;3;1;0;2;2;2;2;2;0
2019-02-27 03:25:58;36;14;3;1;0;2;2;2;2;2;0
2019-02-27 03:26:59;36;14;3;1;0;2;2;2;2;2;0
2019-02-27 03:27:59;36;14;3;1;0;2;2;2;2;2;0
2019-02-27 03:28:58;36;15;3;1;0;2;2;2;2;2;1
2019-02-27 03:29:59;36;15;3;1;0;2;2;2;2;2;1
2019-02-27 03:30:58;36;15;3;1;0;2;2;2;2;2;1
2019-02-27 03:31:59;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 03:32:59;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 03:33:58;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 03:34:59;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 03:35:59;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 03:36:58;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 03:37:59;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 03:38:58;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 03:39:59;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 03:40:58;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 03:41:59;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 03:42:59;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 03:43:58;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 03:44:59;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 03:45:59;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 03:46:58;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 03:47:59;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 03:48:58;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 03:49:59;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 03:50:59;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 03:51:58;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 03:52:59;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 03:53:59;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 03:54:58;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 03:55:59;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 03:56:58;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 03:57:59;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 03:58:59;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 03:59:58;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 04:00:59;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 04:01:58;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 04:02:59;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 04:03:59;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 04:04:58;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 04:05:59;37;16;3;1;0;2;2;2;2;2;1
2019-02-27 04:06:59;38;16;4;1;0;2;2;2;2;2;1
2019-02-27 04:07:58;38;16;4;1;0;2;2;2;2;2;1
2019-02-27 04:08:59;38;16;4;1;0;2;2;2;2;2;1
2019-02-27 04:09:58;38;16;4;1;0;2;2;2;2;2;1
2019-02-27 04:10:59;38;16;4;1;0;2;2;2;2;2;1
2019-02-27 04:11:59;38;16;4;1;0;2;2;2;2;2;1
2019-02-27 04:12:58;38;16;4;1;0;2;2;2;2;2;1
2019-02-27 04:13:59;38;16;4;1;0;2;2;2;2;2;1
2019-02-27 04:14:58;38;16;4;1;0;2;2;2;2;2;1
2019-02-27 04:15:59;38;16;4;1;0;2;2;2;2;2;1
2019-02-27 04:16:59;38;16;4;1;0;2;2;2;2;2;1
2019-02-27 04:17:58;38;16;4;1;0;2;2;2;2;2;1
2019-02-27 04:18:59;38;16;4;1;0;2;2;2;2;2;1
2019-02-27 04:19:59;38;16;4;1;0;2;2;2;2;2;1
2019-02-27 04:20:58;38;16;4;1;0;2;2;2;2;2;1
2019-02-27 04:21:59;38;16;4;1;0;2;2;2;2;2;1
2019-02-27 04:22:58;38;16;4;1;0;2;2;2;2;2;1
2019-02-27 04:23:59;38;16;4;1;0;2;2;2;2;2;1
