datetime;total_votes;redslot;tutabrain;pupsique;mama_p_zh;ZevB3K;gnom_vorchun;brammator;UncleDre;rockamark;KOCTOPE3
2018-12-12 07:30:59;67;24;15;2;3;0;2;0;0;2;2
2018-12-12 07:31:58;67;24;15;2;3;0;2;0;0;2;2
2018-12-12 07:32:59;67;24;15;2;3;0;2;0;0;2;2
2018-12-12 07:33:58;67;24;15;2;3;0;2;0;0;2;2
2018-12-12 07:34:59;68;24;16;2;3;0;2;0;0;2;2
2018-12-12 07:35:59;68;24;16;2;3;0;2;0;0;2;2
2018-12-12 07:36:58;68;24;16;2;3;0;2;0;0;2;2
2018-12-12 07:37:59;68;24;16;2;3;0;2;0;0;2;2
2018-12-12 07:38:59;68;24;16;2;3;0;2;0;0;2;2
2018-12-12 07:39:58;68;24;16;2;3;0;2;0;0;2;2
2018-12-12 07:40:59;68;24;16;2;3;0;2;0;0;2;2
2018-12-12 07:41:58;68;24;16;2;3;0;2;0;0;2;2
2018-12-12 07:42:59;68;24;16;2;3;0;2;0;0;2;2
2018-12-12 07:43:59;68;24;16;2;3;0;2;0;0;2;2
2018-12-12 07:44:58;68;24;16;2;3;0;2;0;0;2;2
2018-12-12 07:45:59;69;25;16;2;3;0;2;0;0;2;2
2018-12-12 07:46:59;69;25;16;2;3;0;2;0;0;2;2
2018-12-12 07:47:58;69;25;16;2;3;0;2;0;0;2;2
2018-12-12 07:48:59;69;25;16;2;3;0;2;0;0;2;2
2018-12-12 07:49:58;69;25;16;2;3;0;2;0;0;2;2
2018-12-12 07:50:59;69;25;16;2;3;0;2;0;0;2;2
2018-12-12 07:51:59;69;25;16;2;3;0;2;0;0;2;2
2018-12-12 07:52:58;69;25;16;2;3;0;2;0;0;2;2
2018-12-12 07:53:59;69;25;16;2;3;0;2;0;0;2;2
2018-12-12 07:54:59;69;25;16;2;3;0;2;0;0;2;2
2018-12-12 07:55:58;69;25;16;2;3;0;2;0;0;2;2
2018-12-12 07:56:59;69;25;16;2;3;0;2;0;0;2;2
2018-12-12 07:57:59;69;25;16;2;3;0;2;0;0;2;2
2018-12-12 07:58:58;69;25;16;2;3;0;2;0;0;2;2
2018-12-12 07:59:59;69;25;16;2;3;0;2;0;0;2;2
2018-12-12 08:00:58;70;26;16;2;3;0;2;0;0;2;2
2018-12-12 08:01:59;71;26;17;2;3;0;2;0;0;2;2
2018-12-12 08:02:58;71;26;17;2;3;0;2;0;0;2;2
2018-12-12 08:03:59;71;26;17;2;3;0;2;0;0;2;2
2018-12-12 08:04:59;71;26;17;2;3;0;2;0;0;2;2
2018-12-12 08:05:58;71;26;17;2;3;0;2;0;0;2;2
2018-12-12 08:06:59;71;26;17;2;3;0;2;0;0;2;2
2018-12-12 08:07:58;72;27;17;2;3;0;2;0;0;2;2
2018-12-12 08:08:59;72;27;17;2;3;0;2;0;0;2;2
2018-12-12 08:09:59;73;27;17;2;3;2;2;0;0;2;2
2018-12-12 08:10:58;73;27;17;2;3;2;2;0;0;2;2
