datetime;total_votes;Hmmm;Mapm;Terkin;rockamark;bear49;praktik;S_Semenenko;quick_justice;BUG;brammator
2019-06-26 01:18:58;36;4;8;4;3;0;0;2;0;0;0
2019-06-26 01:19:59;38;5;8;4;3;0;0;2;0;0;0
2019-06-26 01:20:58;39;6;8;4;3;0;0;2;0;0;0
2019-06-26 01:21:59;39;6;8;4;3;0;0;2;0;0;0
2019-06-26 01:22:59;40;7;8;4;3;0;0;2;0;0;0
2019-06-26 01:23:58;40;6;8;4;3;0;0;2;0;0;0
2019-06-26 01:24:59;40;6;8;4;3;0;0;2;0;0;0
2019-06-26 01:25:59;40;6;8;4;3;0;0;2;0;0;0
2019-06-26 01:26:58;40;6;8;4;3;0;0;2;0;0;0
2019-06-26 01:27:59;40;6;8;4;3;0;0;2;0;0;0
2019-06-26 01:28:59;40;6;8;4;3;0;0;2;0;0;0
2019-06-26 01:29:58;40;6;8;4;3;0;0;2;0;0;0
2019-06-26 01:30:59;41;7;8;4;3;0;0;2;0;0;0
2019-06-26 01:31:58;42;7;8;4;3;0;0;2;0;0;0
2019-06-26 01:32:59;42;7;8;4;3;0;0;2;0;0;0
2019-06-26 01:33:59;43;7;8;4;3;0;0;2;0;0;0
2019-06-26 01:34:58;43;7;8;4;3;0;0;2;0;0;0
2019-06-26 01:35:59;43;7;8;4;3;0;0;2;0;0;0
2019-06-26 01:36:59;43;7;8;4;3;0;0;2;0;0;0
2019-06-26 01:37:58;43;7;8;4;3;0;0;2;0;0;0
2019-06-26 01:38:59;43;7;8;4;3;0;0;2;0;0;0
2019-06-26 01:39:59;43;7;8;4;3;0;0;2;0;0;0
2019-06-26 01:40:58;43;7;8;4;3;0;0;2;0;0;0
2019-06-26 01:41:59;43;7;8;4;3;0;0;2;0;0;0
2019-06-26 01:42:58;44;8;8;4;3;0;0;2;0;0;0
2019-06-26 01:43:59;44;8;8;4;3;0;0;2;0;0;0
2019-06-26 01:44:59;44;8;8;4;3;0;0;2;0;0;0
2019-06-26 01:46:00;44;8;8;4;3;0;0;2;0;0;0
2019-06-26 01:46:58;44;8;8;4;3;0;0;2;0;0;0
2019-06-26 01:47:59;44;8;8;4;3;0;0;2;0;0;0
2019-06-26 01:48:58;44;8;8;4;3;0;0;2;0;0;0
2019-06-26 01:49:59;44;8;8;4;3;0;0;2;0;0;0
2019-06-26 01:50:59;44;8;8;4;3;0;0;2;0;0;0
2019-06-26 01:51:58;44;8;8;4;3;0;0;2;0;0;0
2019-06-26 01:52:59;46;9;9;4;3;0;0;2;0;0;0
2019-06-26 01:53:59;47;9;9;5;3;0;0;2;0;0;0
2019-06-26 01:54:58;47;9;9;5;3;0;0;2;0;0;0
2019-06-26 01:55:59;47;9;9;5;3;0;0;2;0;0;0
2019-06-26 01:56:59;47;9;9;5;3;0;0;2;0;0;0
2019-06-26 01:57:58;47;9;9;5;3;0;0;2;0;0;0
2019-06-26 01:58:59;47;9;9;5;3;0;0;2;0;0;0
2019-06-26 01:59:58;47;9;9;5;3;0;0;2;0;0;0
2019-06-26 02:00:59;47;9;9;5;3;0;0;2;0;0;0
2019-06-26 02:01:59;47;9;9;5;3;0;0;2;0;0;0
2019-06-26 02:02:58;48;10;9;5;3;0;0;2;0;0;0
2019-06-26 02:03:59;49;10;10;5;3;0;0;2;0;0;0
