datetime;total_votes;bullet-wilson;nenastja;brammator;jovan;ante;space_meow;Hexadecachoron;zgushonka;minddiffuzion;Fitzmaurice
2020-03-04 01:29:59;27;13;6;3;0;0;0;1;1;1;1
2020-03-04 01:30:58;27;13;6;3;0;0;0;1;1;1;1
2020-03-04 01:31:59;27;13;6;3;0;0;0;1;1;1;1
2020-03-04 01:32:59;27;13;6;3;0;0;0;1;1;1;1
2020-03-04 01:33:58;27;13;6;3;0;0;0;1;1;1;1
2020-03-04 01:34:59;27;13;6;3;0;0;0;1;1;1;1
2020-03-04 01:35:59;27;13;6;3;0;0;0;1;1;1;1
2020-03-04 01:36:58;27;13;6;3;0;0;0;1;1;1;1
2020-03-04 01:37:59;27;13;6;3;0;0;0;1;1;1;1
2020-03-04 01:38:59;27;13;6;3;0;0;0;1;1;1;1
2020-03-04 01:40:00;28;14;6;3;0;0;0;1;1;1;1
2020-03-04 01:40:58;28;14;6;3;0;0;0;1;1;1;1
2020-03-04 01:41:59;28;14;6;3;0;0;0;1;1;1;1
2020-03-04 01:42:58;28;14;6;3;0;0;0;1;1;1;1
2020-03-04 01:43:59;28;14;6;3;0;0;0;1;1;1;1
2020-03-04 01:44:59;28;14;6;3;0;0;0;1;1;1;1
2020-03-04 01:45:59;28;14;6;3;0;0;0;1;1;1;1
2020-03-04 01:46:58;28;14;6;3;0;0;0;1;1;1;1
2020-03-04 01:47:59;29;15;6;3;0;0;0;1;1;1;1
2020-03-04 01:48:59;29;15;6;3;0;0;0;1;1;1;1
2020-03-04 01:49:58;29;15;6;3;0;0;0;1;1;1;1
2020-03-04 01:50:59;29;15;6;3;0;0;0;1;1;1;1
2020-03-04 01:51:59;29;15;6;3;0;0;0;1;1;1;1
2020-03-04 01:52:59;29;15;6;3;0;0;0;1;1;1;1
2020-03-04 01:53:58;29;15;6;3;0;0;0;1;1;1;1
2020-03-04 01:54:59;29;15;6;3;0;0;0;1;1;1;1
2020-03-04 01:55:59;29;15;6;3;0;0;0;1;1;1;1
2020-03-04 01:56:58;29;15;6;3;0;0;0;1;1;1;1
2020-03-04 01:57:59;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 01:58:59;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 01:59:58;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:00:59;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:01:59;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:02:58;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:03:59;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:04:59;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:05:58;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:06:59;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:07:59;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:08:59;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:09:58;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:10:59;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:11:59;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:12:58;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:13:59;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:14:59;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:15:59;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:16:58;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:17:59;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:18:59;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:20:00;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:20:58;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:21:59;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:22:59;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:23:58;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:24:59;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:25:59;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:26:58;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:27:59;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:28:59;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:29:59;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:30:58;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:31:59;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:32:59;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:33:58;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:34:59;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:35:59;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:36:59;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:37:58;30;15;6;3;0;0;0;1;1;1;1
2020-03-04 02:38:59;31;15;7;3;0;0;0;1;1;1;1
2020-03-04 02:39:59;32;15;7;3;0;0;0;2;1;1;1
2020-03-04 02:40:58;32;15;7;3;0;0;0;2;1;1;1
2020-03-04 02:41:59;32;15;7;3;0;0;0;2;1;1;1
2020-03-04 02:42:59;32;15;7;3;0;0;0;2;1;1;1
2020-03-04 02:43:59;32;15;7;3;0;0;0;2;1;1;1
2020-03-04 02:44:58;32;15;7;3;0;0;0;2;1;1;1
2020-03-04 02:45:59;32;15;7;3;0;0;0;2;1;1;1
2020-03-04 02:46:59;32;15;7;3;0;0;0;2;1;1;1
2020-03-04 02:47:58;32;15;7;3;0;0;0;2;1;1;1
2020-03-04 02:48:59;32;15;7;3;0;0;0;2;1;1;1
2020-03-04 02:49:59;32;15;7;3;0;0;0;2;1;1;1
2020-03-04 02:50:58;32;15;7;3;0;0;0;2;1;1;1
2020-03-04 02:51:59;32;15;7;3;0;0;0;2;1;1;1
2020-03-04 02:52:59;32;15;7;3;0;0;0;2;1;1;1
2020-03-04 02:53:58;32;15;7;3;0;0;0;2;1;1;1
2020-03-04 02:54:59;32;15;7;3;0;0;0;2;1;1;1
2020-03-04 02:55:59;32;15;7;3;0;0;0;2;1;1;1
2020-03-04 02:56:58;32;15;7;3;0;0;0;2;1;1;1
2020-03-04 02:57:59;32;15;7;3;0;0;0;2;1;1;1
2020-03-04 02:58:59;32;15;7;3;0;0;0;2;1;1;1
2020-03-04 02:59:59;32;15;7;3;0;0;0;2;1;1;1
2020-03-04 03:00:58;32;15;7;3;0;0;0;2;1;1;1
2020-03-04 03:01:59;32;15;7;3;0;0;0;2;1;1;1
2020-03-04 03:02:59;32;15;7;3;0;0;0;2;1;1;1
2020-03-04 03:03:58;32;15;7;3;0;0;0;2;1;1;1
2020-03-04 03:04:59;32;15;7;3;0;0;0;2;1;1;1
