datetime;total_votes;Deneo;akuaku;navalny;gelatelno;XASSA;lublu-zubi;Bleak;Есения;BoobkaGop;xiro
2019-10-02 01:18:59;22;0;3;2;6;1;0;0;0;0;0
2019-10-02 01:19:59;22;0;3;2;6;1;0;0;0;0;0
2019-10-02 01:20:59;22;0;4;2;6;1;1;0;0;0;0
2019-10-02 01:21:58;22;0;4;2;6;1;1;0;0;0;0
2019-10-02 01:22:59;22;0;4;2;6;1;1;0;0;0;0
2019-10-02 01:23:59;22;0;4;2;6;1;1;0;0;0;0
2019-10-02 01:24:58;22;0;4;2;6;1;1;0;0;0;0
2019-10-02 01:25:59;22;0;4;2;6;1;1;0;0;0;0
2019-10-02 01:26:59;22;0;4;2;6;1;1;0;0;0;0
2019-10-02 01:27:59;22;0;4;2;6;1;1;0;0;0;0
2019-10-02 01:28:58;22;0;4;2;6;1;1;0;0;0;0
2019-10-02 01:29:59;22;0;4;2;6;1;1;0;0;0;0
2019-10-02 01:30:59;22;0;4;2;6;1;1;0;0;0;0
2019-10-02 01:31:59;22;0;4;2;6;1;1;0;0;0;0
2019-10-02 01:32:58;22;0;4;2;6;1;1;0;0;0;0
2019-10-02 01:33:59;22;0;4;2;6;1;1;0;0;0;0
2019-10-02 01:34:58;23;0;4;2;6;2;1;0;0;0;0
2019-10-02 01:35:59;23;0;4;2;6;2;1;0;0;0;0
2019-10-02 01:36:59;23;0;4;2;6;2;1;0;0;0;0
2019-10-02 01:37:59;23;0;4;2;6;2;1;0;0;0;0
2019-10-02 01:38:58;23;0;4;2;6;2;1;0;0;0;0
2019-10-02 01:39:59;23;0;4;2;6;2;1;0;0;0;0
2019-10-02 01:40:59;24;0;5;2;6;2;1;0;0;0;0
2019-10-02 01:41:59;24;0;5;2;6;2;1;0;0;0;0
2019-10-02 01:42:58;24;0;5;2;6;2;1;0;0;0;0
2019-10-02 01:43:59;24;0;5;2;6;2;1;0;0;0;0
2019-10-02 01:44:59;24;0;5;2;6;2;1;0;0;0;0
2019-10-02 01:45:59;24;0;5;2;6;2;1;0;0;0;0
2019-10-02 01:46:58;24;0;5;2;6;2;1;0;0;0;0
2019-10-02 01:47:59;24;0;5;2;6;2;1;0;0;0;0
2019-10-02 01:48:59;24;0;5;2;6;2;1;0;0;0;0
2019-10-02 01:49:59;24;0;5;2;6;2;1;0;0;0;0
2019-10-02 01:50:58;24;0;5;2;6;2;1;0;0;0;0
2019-10-02 01:51:59;24;0;5;2;6;2;1;0;0;0;0
2019-10-02 01:52:59;24;0;5;2;6;2;1;0;0;0;0
2019-10-02 01:53:59;25;0;5;2;7;2;1;0;0;0;0
2019-10-02 01:54:58;25;0;5;2;7;2;1;0;0;0;0
2019-10-02 01:55:59;25;0;5;2;7;2;1;0;0;0;0
2019-10-02 01:56:59;25;0;5;2;7;2;1;0;0;0;0
2019-10-02 01:58:00;25;0;5;2;7;2;1;0;0;0;0
2019-10-02 01:58:58;25;0;5;2;7;2;1;0;0;0;0
2019-10-02 01:59:59;25;0;5;2;7;2;1;0;0;0;0
2019-10-02 02:00:59;25;0;5;2;7;2;1;0;0;0;0
2019-10-02 02:01:59;25;0;5;2;7;2;1;0;0;0;0
2019-10-02 02:03:00;25;0;5;2;7;2;1;0;0;0;0
2019-10-02 02:03:58;25;0;5;2;7;2;1;0;0;0;0
2019-10-02 02:04:59;25;0;5;2;7;2;1;0;0;0;0
2019-10-02 02:05:59;25;0;5;2;7;2;1;0;0;0;0
2019-10-02 02:06:59;25;0;5;2;7;2;1;0;0;0;0
2019-10-02 02:07:58;25;0;5;2;7;2;1;0;0;0;0
2019-10-02 02:08:59;25;0;5;2;7;2;1;0;0;0;0
2019-10-02 02:09:59;25;0;5;2;7;2;1;0;0;0;0
2019-10-02 02:10:58;25;0;5;2;7;2;1;0;0;0;0
2019-10-02 02:11:59;25;0;5;2;7;2;1;0;0;0;0
2019-10-02 02:12:59;25;0;5;2;7;2;1;0;0;0;0
2019-10-02 02:13:59;25;0;5;2;7;2;1;0;0;0;0
2019-10-02 02:14:58;25;0;5;2;7;2;1;0;0;0;0
2019-10-02 02:15:59;25;0;5;2;7;2;1;0;0;0;0
2019-10-02 02:16:59;25;0;5;2;7;2;1;0;0;0;0
2019-10-02 02:17:58;25;0;5;2;7;2;1;0;0;0;0
2019-10-02 02:18:59;25;0;5;2;7;2;2;0;0;0;0
2019-10-02 02:19:59;25;0;5;2;7;2;2;0;0;0;0
2019-10-02 02:20:59;25;0;5;2;7;2;2;0;0;0;0
2019-10-02 02:21:58;25;0;5;2;7;2;2;0;0;0;0
2019-10-02 02:22:59;25;0;5;2;7;2;2;0;0;0;0
2019-10-02 02:23:59;25;0;5;2;7;2;2;0;0;0;0
2019-10-02 02:24:59;25;0;5;2;7;2;2;0;0;0;0
2019-10-02 02:25:58;26;0;6;2;7;2;2;0;0;0;0
2019-10-02 02:26:59;26;0;6;2;7;2;2;0;0;0;0
2019-10-02 02:27:59;26;0;6;2;7;2;2;0;0;0;0
2019-10-02 02:28:59;26;0;6;2;7;2;2;0;0;0;0
2019-10-02 02:29:58;26;0;6;2;7;2;2;0;0;0;0
2019-10-02 02:30:59;26;0;6;2;7;2;2;0;0;0;0
2019-10-02 02:31:59;26;0;6;2;7;2;2;0;0;0;0
2019-10-02 02:32:59;26;0;6;2;7;2;2;0;0;0;0
2019-10-02 02:33:58;27;0;6;2;7;3;2;0;0;0;0
2019-10-02 02:34:59;27;0;6;2;7;3;2;0;0;0;0
2019-10-02 02:35:59;27;0;6;2;7;3;2;0;0;0;0
2019-10-02 02:36:58;27;0;6;2;7;3;2;0;0;0;0
2019-10-02 02:37:59;27;0;6;2;7;3;2;0;0;0;0
2019-10-02 02:38:59;27;0;6;2;7;3;2;0;0;0;0
2019-10-02 02:39:59;27;0;6;2;7;3;2;0;0;0;0
2019-10-02 02:40:58;27;0;6;2;7;3;2;0;0;0;0
2019-10-02 02:41:59;27;0;6;2;7;3;2;0;0;0;0
2019-10-02 02:42:59;27;0;6;2;7;3;2;0;0;0;0
2019-10-02 02:43:59;28;0;6;2;8;3;2;0;0;0;0
2019-10-02 02:44:58;28;0;6;2;8;3;2;0;0;0;0
2019-10-02 02:45:59;28;0;6;2;8;3;2;0;0;0;0
2019-10-02 02:46:59;28;0;6;2;8;3;2;0;0;0;0
2019-10-02 02:47:58;28;0;6;2;8;3;2;0;0;0;0
2019-10-02 02:48:59;28;0;6;2;8;3;2;0;0;0;0
2019-10-02 02:49:59;28;0;6;2;8;3;2;0;0;0;0
2019-10-02 02:50:59;28;0;6;2;8;3;2;0;0;0;0
2019-10-02 02:51:58;28;0;6;2;8;3;2;0;0;0;0
2019-10-02 02:52:59;28;0;6;2;8;3;2;0;0;0;0
2019-10-02 02:53:59;28;0;6;2;8;3;2;0;0;0;0
2019-10-02 02:54:59;28;0;6;2;8;3;2;0;0;0;0
2019-10-02 02:55:58;28;0;6;2;8;3;2;0;0;0;0
2019-10-02 02:56:59;28;0;6;2;8;3;2;0;0;0;0
2019-10-02 02:57:59;28;0;6;2;8;3;2;0;0;0;0
2019-10-02 02:58:59;28;0;6;2;8;3;2;0;0;0;0
2019-10-02 02:59:58;28;0;6;2;8;3;2;0;0;0;0
2019-10-02 03:00:59;28;0;6;2;8;3;2;0;0;0;0
2019-10-02 03:01:59;28;0;6;2;8;3;2;0;0;0;0
2019-10-02 03:02:58;28;0;6;2;8;3;2;0;0;0;0
2019-10-02 03:03:59;28;0;6;2;8;3;2;0;0;0;0
2019-10-02 03:04:59;28;0;6;2;8;3;2;0;0;0;0
2019-10-02 03:05:59;28;0;6;2;8;3;2;0;0;0;0
2019-10-02 03:06:58;28;0;6;2;8;3;2;0;0;0;0
2019-10-02 03:07:59;28;0;6;2;8;3;2;0;0;0;0
2019-10-02 03:08:59;28;0;6;2;8;3;2;0;0;0;0
2019-10-02 03:09:59;28;0;6;2;8;3;2;0;0;0;0
2019-10-02 03:10:58;28;0;6;2;8;3;2;0;0;0;0
2019-10-02 03:11:59;28;0;6;2;8;3;2;0;0;0;0
