datetime;total_votes;Fill;kross;navalny;Hexadecachoron;KOCTOPE3;Der_Sturmer;Jey;ksolotl;Shady;Есения
2020-08-05 01:18:59;26;2;3;7;2;0;4;0;0;0;0
2020-08-05 01:19:59;26;2;4;7;2;0;3;0;0;0;0
2020-08-05 01:20:58;26;2;4;7;2;0;3;0;0;0;0
2020-08-05 01:21:59;26;2;4;7;2;0;3;0;0;0;0
2020-08-05 01:22:58;27;2;5;7;2;0;3;0;0;0;0
2020-08-05 01:23:59;27;2;5;7;2;0;3;0;0;0;0
2020-08-05 01:24:59;28;3;5;7;2;0;3;0;0;0;0
2020-08-05 01:25:58;28;3;5;7;2;0;3;0;0;0;0
2020-08-05 01:26:59;28;3;5;7;2;0;3;0;0;0;0
2020-08-05 01:27:59;28;3;5;7;2;0;3;0;0;0;0
2020-08-05 01:28:58;28;3;5;7;2;0;3;0;0;0;0
2020-08-05 01:29:59;28;3;5;7;2;0;3;0;0;0;0
2020-08-05 01:30:58;28;3;5;7;2;0;3;0;0;0;0
2020-08-05 01:31:59;28;3;5;7;2;0;3;0;0;0;0
2020-08-05 01:32:59;28;3;5;7;2;0;3;0;0;0;0
2020-08-05 01:33:58;28;3;5;7;2;0;3;0;0;0;0
2020-08-05 01:34:59;29;3;5;7;2;0;3;0;0;0;1
2020-08-05 01:35:58;29;3;5;7;2;0;3;0;0;0;1
2020-08-05 01:36:59;29;3;5;7;2;0;3;0;0;0;1
2020-08-05 01:37:59;29;3;5;7;2;0;3;0;0;0;1
2020-08-05 01:38:58;29;3;5;7;2;0;3;0;0;0;1
2020-08-05 01:39:59;29;3;5;7;2;0;3;0;0;0;1
2020-08-05 01:40:58;29;3;5;7;2;0;3;0;0;0;1
2020-08-05 01:41:59;29;3;5;7;2;0;3;0;0;0;1
2020-08-05 01:42:59;29;3;5;7;2;0;3;0;0;0;1
2020-08-05 01:43:58;29;3;5;7;2;0;3;0;0;0;1
2020-08-05 01:44:59;29;3;5;7;2;0;3;0;0;0;1
2020-08-05 01:45:59;29;3;5;7;2;0;3;0;0;0;1
2020-08-05 01:46:58;29;3;5;7;2;0;3;0;0;0;1
2020-08-05 01:47:59;29;3;5;7;2;0;3;0;0;0;1
2020-08-05 01:48:58;29;3;5;7;2;0;3;0;0;0;1
2020-08-05 01:49:59;29;3;5;7;2;0;3;0;0;0;1
2020-08-05 01:50:58;29;3;5;7;2;0;3;0;0;0;1
2020-08-05 01:51:59;29;3;5;7;2;0;3;0;0;0;1
2020-08-05 01:52:59;29;3;5;7;2;0;3;0;0;0;1
2020-08-05 01:53:58;29;3;5;7;2;0;3;0;0;0;1
2020-08-05 01:54:59;29;3;5;7;2;0;3;0;0;0;1
2020-08-05 01:55:58;30;3;6;7;2;0;3;0;0;0;1
2020-08-05 01:56:59;30;3;6;7;2;0;3;0;0;0;1
2020-08-05 01:57:59;30;3;6;7;2;0;3;0;0;0;1
2020-08-05 01:58:58;30;3;6;7;2;0;3;0;0;0;1
2020-08-05 02:00:00;30;3;6;7;2;0;3;0;0;0;1
2020-08-05 02:00:58;30;3;6;7;2;0;3;0;0;0;1
2020-08-05 02:01:59;30;3;6;7;2;0;3;0;0;0;1
2020-08-05 02:02:59;30;3;6;7;2;0;3;0;0;0;1
2020-08-05 02:03:58;30;3;6;7;2;0;3;0;0;0;1
2020-08-05 02:04:59;30;3;6;7;2;0;3;0;0;0;1
2020-08-05 02:05:58;30;3;6;7;2;0;3;0;0;0;1
2020-08-05 02:06:59;31;3;6;7;2;0;3;0;1;0;1
2020-08-05 02:07:59;32;3;6;8;2;0;3;0;1;0;1
2020-08-05 02:08:58;32;3;6;8;2;0;3;0;1;0;1
2020-08-05 02:09:59;32;3;6;8;2;0;3;0;1;0;1
2020-08-05 02:10:59;32;3;6;8;2;0;3;0;1;0;1
2020-08-05 02:11:58;32;3;6;8;2;0;3;0;1;0;1
2020-08-05 02:12:59;32;3;6;8;2;0;3;0;1;0;1
2020-08-05 02:13:58;32;3;6;8;2;0;3;0;1;0;1
2020-08-05 02:14:59;32;3;6;8;2;0;3;0;1;0;1
2020-08-05 02:15:59;32;3;6;8;2;0;3;0;1;0;1
2020-08-05 02:16:58;32;3;6;8;2;0;3;0;1;0;1
2020-08-05 02:18:00;32;3;6;8;2;0;3;0;1;0;1
2020-08-05 02:18:58;33;4;6;8;2;0;3;0;1;0;1
2020-08-05 02:19:59;33;4;6;8;2;0;3;0;1;0;1
2020-08-05 02:21:00;33;4;6;8;2;0;3;0;1;0;1
2020-08-05 02:21:58;33;4;6;8;2;0;3;0;1;0;1
2020-08-05 02:22:59;33;4;6;8;2;0;3;0;1;0;1
2020-08-05 02:23:59;33;4;6;8;2;0;3;0;1;0;1
2020-08-05 02:24:58;33;4;6;8;2;0;3;0;1;0;1
2020-08-05 02:25:59;34;4;6;8;2;0;3;0;1;0;0
2020-08-05 02:26:59;34;4;6;8;2;0;3;0;1;0;0
2020-08-05 02:27:58;34;4;6;8;2;0;3;0;1;0;0
2020-08-05 02:28:59;34;4;6;8;2;0;3;0;1;0;0
2020-08-05 02:29:59;34;4;6;8;2;0;3;0;1;0;0
2020-08-05 02:30:58;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 02:31:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 02:32:58;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 02:33:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 02:34:58;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 02:35:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 02:36:58;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 02:37:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 02:38:58;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 02:39:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 02:40:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 02:41:58;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 02:43:00;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 02:43:58;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 02:44:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 02:45:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 02:46:58;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 02:47:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 02:48:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 02:49:58;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 02:51:00;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 02:51:58;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 02:52:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 02:53:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 02:54:58;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 02:55:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 02:56:58;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 02:57:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 02:58:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 02:59:58;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:00:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:01:58;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:03:00;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:03:58;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:04:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:05:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:06:58;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:07:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:08:58;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:09:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:10:58;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:11:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:12:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:13:58;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:14:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:15:58;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:16:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:17:58;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:18:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:19:58;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:20:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:21:58;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:22:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:23:58;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:24:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:25:58;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:26:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:27:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:28:58;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:29:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:30:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:31:58;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:32:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:33:59;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:34:58;35;4;6;8;2;0;3;0;2;0;1
2020-08-05 03:35:59;35;4;6;8;2;0;3;0;2;0;1
