datetime;total_votes;Helengar;atomic_gun;Есения;jovan;Hexadecachoron;kotophalk;KOCTOPE3;Zibx;otlup;Klubnichnoe_Milo
2020-02-19 01:17:59;29;7;11;1;2;3;1;1;0;0;0
2020-02-19 01:18:59;29;7;11;1;2;3;1;1;0;0;0
2020-02-19 01:19:59;30;8;11;1;2;3;1;1;0;0;0
2020-02-19 01:20:58;30;8;11;1;2;3;1;1;0;0;0
2020-02-19 01:21:59;30;8;11;1;2;3;1;1;0;0;0
2020-02-19 01:22:59;30;8;11;1;2;3;1;1;0;0;0
2020-02-19 01:23:59;30;8;11;1;2;3;1;1;0;0;0
2020-02-19 01:24:58;30;8;11;1;2;3;1;1;0;0;0
2020-02-19 01:25:59;31;9;11;1;2;3;1;1;0;0;0
2020-02-19 01:26:59;31;9;11;1;2;3;1;1;0;0;0
2020-02-19 01:27:59;31;9;11;1;2;3;1;1;0;0;0
2020-02-19 01:28:58;31;9;11;1;2;3;1;1;0;0;0
2020-02-19 01:29:59;31;9;11;1;2;3;1;1;0;0;0
2020-02-19 01:30:59;31;9;11;1;2;3;1;1;0;0;0
2020-02-19 01:31:58;31;9;11;1;2;3;1;1;0;0;0
2020-02-19 01:32:59;32;10;11;1;2;3;1;1;0;0;0
2020-02-19 01:33:59;33;10;12;1;2;3;1;1;0;0;0
2020-02-19 01:34:59;33;10;12;1;2;3;1;1;0;0;0
2020-02-19 01:35:58;33;10;12;1;2;3;1;1;0;0;0
2020-02-19 01:36:59;33;10;12;1;2;3;1;1;0;0;0
2020-02-19 01:37:59;33;10;12;1;2;3;1;1;0;0;0
2020-02-19 01:38:58;33;10;12;1;2;3;1;1;0;0;0
2020-02-19 01:39:59;33;10;12;1;2;3;1;1;0;0;0
2020-02-19 01:40:59;33;10;12;1;2;3;1;1;0;0;0
2020-02-19 01:41:59;34;10;12;1;2;3;1;2;0;0;0
2020-02-19 01:42:58;34;10;12;1;2;3;1;2;0;0;0
2020-02-19 01:43:59;35;10;13;1;2;3;1;2;0;0;0
2020-02-19 01:44:59;35;10;13;1;2;3;1;2;0;0;0
