datetime;total_votes;Tae4ka;phoenyxxx;navalny;ZevB3K;Alterdino;Der_Sturmer;rodeo;Noop;phb4;bf6
2019-08-14 01:18:58;47;11;5;0;0;6;3;5;2;2;0
2019-08-14 01:19:59;47;11;5;0;0;6;3;5;2;2;0
2019-08-14 01:20:58;48;11;5;0;0;6;3;5;2;2;0
2019-08-14 01:21:59;48;11;5;0;0;6;3;5;2;2;0
2019-08-14 01:22:59;49;11;6;0;0;6;3;5;2;2;0
2019-08-14 01:23:58;49;11;6;0;0;6;3;5;2;2;0
2019-08-14 01:24:59;50;11;7;0;0;6;3;5;2;2;0
2019-08-14 01:25:59;50;11;7;0;0;6;3;5;2;2;0
2019-08-14 01:26:58;50;11;7;0;0;6;3;5;2;2;0
2019-08-14 01:27:59;51;11;7;0;0;7;3;5;2;2;0
2019-08-14 01:28:59;51;11;7;0;0;7;3;5;2;2;0
2019-08-14 01:29:59;51;11;7;0;0;7;3;5;2;2;0
2019-08-14 01:30:58;51;11;7;0;0;7;3;5;2;2;0
2019-08-14 01:31:59;51;11;7;0;0;7;3;5;2;2;0
2019-08-14 01:32:59;51;11;7;0;0;7;3;5;2;2;0
2019-08-14 01:33:58;52;12;7;0;0;7;3;5;2;2;0
2019-08-14 01:34:59;52;12;7;0;0;7;3;5;2;2;0
2019-08-14 01:35:59;52;12;7;0;0;7;3;5;2;2;0
2019-08-14 01:36:58;52;12;7;0;0;7;3;5;2;2;0
2019-08-14 01:37:59;52;12;7;0;0;7;3;5;2;2;0
2019-08-14 01:38:59;52;12;7;0;0;7;3;5;2;2;0
2019-08-14 01:39:58;52;12;7;0;0;7;3;5;2;2;0
2019-08-14 01:40:59;52;12;7;0;0;7;3;5;2;2;0
2019-08-14 01:41:59;52;12;7;0;0;7;3;5;2;2;0
2019-08-14 01:42:58;53;12;7;0;0;7;3;5;2;2;1
2019-08-14 01:43:59;53;12;7;0;0;7;3;5;2;2;1
2019-08-14 01:44:58;53;12;7;0;0;7;3;5;2;2;1
2019-08-14 01:45:59;53;12;7;0;0;7;3;5;2;2;1
2019-08-14 01:46:59;53;12;7;0;0;7;3;5;2;2;1
2019-08-14 01:47:58;53;12;7;0;0;7;3;5;2;2;1
2019-08-14 01:48:59;53;12;7;0;0;7;3;5;2;2;1
2019-08-14 01:49:59;53;12;7;0;0;7;3;5;2;2;1
2019-08-14 01:50:58;53;12;7;0;0;7;3;5;2;2;1
2019-08-14 01:51:59;53;12;7;0;0;7;3;5;2;2;1
2019-08-14 01:52:59;53;12;7;0;0;7;3;5;2;2;1
2019-08-14 01:53:58;53;12;7;0;0;7;3;5;2;2;1
2019-08-14 01:54:59;53;12;7;0;0;7;3;5;2;2;1
2019-08-14 01:55:59;53;12;7;0;0;7;3;5;2;2;1
2019-08-14 01:56:58;53;12;7;0;0;7;3;5;2;2;1
2019-08-14 01:57:59;54;13;7;0;0;7;3;5;2;2;1
2019-08-14 01:58:59;54;13;7;0;0;7;3;5;2;2;1
2019-08-14 01:59:58;54;13;7;0;0;7;3;5;2;2;1
2019-08-14 02:00:59;54;13;7;0;0;7;3;5;2;2;1
2019-08-14 02:01:59;54;13;7;0;0;7;3;5;2;2;1
2019-08-14 02:02:58;54;13;7;0;0;7;3;5;2;2;1
2019-08-14 02:03:59;54;13;7;0;0;7;3;5;2;2;1
2019-08-14 02:04:59;54;13;7;0;0;7;3;5;2;2;1
2019-08-14 02:05:58;54;13;7;0;0;7;3;5;2;2;1
2019-08-14 02:06:59;54;13;7;0;0;7;3;5;2;2;1
2019-08-14 02:07:59;54;13;7;0;0;7;3;5;2;2;1
2019-08-14 02:08:58;54;13;7;0;0;7;3;5;2;2;1
2019-08-14 02:09:59;54;13;7;0;0;7;3;5;2;2;1
2019-08-14 02:10:59;54;13;7;0;0;7;3;5;2;2;1
2019-08-14 02:11:58;54;13;7;0;0;7;3;5;2;2;1
2019-08-14 02:12:59;54;13;7;0;0;7;3;5;2;2;1
2019-08-14 02:13:59;55;14;7;0;0;7;3;5;2;2;1
2019-08-14 02:14:58;55;14;7;0;0;7;3;5;2;2;1
2019-08-14 02:15:59;55;14;7;0;0;7;3;5;2;2;1
2019-08-14 02:16:58;55;14;7;0;0;7;3;5;2;2;1
2019-08-14 02:17:59;56;14;7;0;0;8;3;5;2;2;1
2019-08-14 02:18:59;56;14;7;0;0;8;3;5;2;2;1
2019-08-14 02:19:58;56;14;7;0;0;8;3;5;2;2;1
2019-08-14 02:20:59;56;14;7;0;0;8;3;5;2;2;1
2019-08-14 02:21:59;56;14;7;0;0;8;3;5;2;2;1
2019-08-14 02:22:58;56;14;7;0;0;8;3;5;2;2;1
2019-08-14 02:23:59;56;14;7;0;0;8;3;5;2;2;1
2019-08-14 02:24:58;56;14;7;0;0;8;3;5;2;2;1
2019-08-14 02:25:59;56;14;7;0;0;8;3;5;2;2;1
2019-08-14 02:26:59;56;14;7;0;0;8;3;5;2;2;1
2019-08-14 02:28:00;56;14;7;0;0;8;3;5;2;2;1
2019-08-14 02:28:58;56;14;7;0;0;8;3;5;2;2;1
2019-08-14 02:29:59;56;14;7;0;0;8;3;5;2;2;1
2019-08-14 02:30:58;56;14;7;0;0;8;3;5;2;2;1
2019-08-14 02:31:59;58;15;7;0;0;8;3;5;2;2;1
2019-08-14 02:32:59;59;15;7;0;2;8;3;5;2;2;0
2019-08-14 02:33:58;59;15;7;0;2;8;3;5;2;2;0
2019-08-14 02:34:59;59;15;7;0;2;8;3;5;2;2;0
2019-08-14 02:35:59;59;15;7;0;2;8;3;5;2;2;0
2019-08-14 02:36:58;59;15;7;0;2;8;3;5;2;2;0
2019-08-14 02:37:59;60;15;7;0;2;8;3;5;3;2;0
2019-08-14 02:38:59;60;15;7;0;2;8;3;5;3;2;0
2019-08-14 02:39:58;60;15;7;0;2;8;3;5;3;2;0
2019-08-14 02:40:59;60;15;7;0;2;8;3;5;3;2;0
2019-08-14 02:41:58;60;15;7;0;2;8;3;5;3;2;0
2019-08-14 02:42:59;60;15;7;0;2;8;3;5;3;2;0
2019-08-14 02:43:59;60;15;7;0;2;8;3;5;3;2;0
2019-08-14 02:44:58;60;15;7;0;2;8;3;5;3;2;0
2019-08-14 02:45:59;60;15;7;0;2;8;3;5;3;2;0
2019-08-14 02:46:59;60;15;7;0;2;8;3;5;3;2;0
2019-08-14 02:47:58;60;15;7;0;2;8;3;5;3;2;0
2019-08-14 02:48:59;60;15;7;0;2;8;3;5;3;2;0
2019-08-14 02:49:58;60;15;7;0;2;8;3;5;3;2;0
2019-08-14 02:50:59;60;15;7;0;2;8;3;5;3;2;0
2019-08-14 02:51:59;60;15;7;0;2;8;3;5;3;2;0
2019-08-14 02:52:59;60;15;7;0;2;8;3;5;3;2;0
2019-08-14 02:53:58;60;15;8;0;2;8;2;5;3;2;0
2019-08-14 02:54:59;60;15;8;0;2;8;2;5;3;2;0
2019-08-14 02:55:58;60;15;8;0;2;8;2;5;3;2;0
2019-08-14 02:56:59;60;15;8;0;2;8;2;5;3;2;0
2019-08-14 02:57:59;60;15;8;0;2;8;2;5;3;2;0
2019-08-14 02:58:58;60;15;8;0;2;8;2;5;3;2;0
2019-08-14 02:59:59;61;15;9;0;2;8;2;5;3;2;0
2019-08-14 03:00:59;61;15;9;0;2;8;2;5;3;2;0
2019-08-14 03:01:58;61;15;9;0;2;8;2;5;3;2;0
2019-08-14 03:02:59;61;15;9;0;2;8;2;5;3;2;0
2019-08-14 03:03:58;62;16;9;0;2;8;2;5;3;2;0
2019-08-14 03:04:59;62;16;9;0;2;8;2;5;3;2;0
2019-08-14 03:05:59;62;16;9;0;2;8;2;5;3;2;0
2019-08-14 03:06:58;62;16;9;0;2;8;2;5;3;2;0
2019-08-14 03:07:59;62;16;9;0;2;8;2;5;3;2;0
2019-08-14 03:08:58;62;16;9;0;2;8;2;5;3;2;0
2019-08-14 03:09:59;62;16;9;0;2;8;2;5;3;2;0
2019-08-14 03:10:59;62;16;9;0;2;8;2;5;3;2;0
2019-08-14 03:11:58;62;16;9;0;2;8;2;5;3;2;0
2019-08-14 03:12:59;62;16;9;0;2;8;2;5;3;2;0
2019-08-14 03:13:59;62;16;9;0;2;8;2;5;3;2;0
2019-08-14 03:14:58;62;16;9;0;2;8;2;5;3;2;0
2019-08-14 03:15:59;62;16;9;0;2;8;2;5;3;2;0
2019-08-14 03:16:58;62;16;9;0;2;8;2;5;3;2;0
2019-08-14 03:17:59;62;16;9;0;2;8;2;5;3;2;0
2019-08-14 03:18:59;62;16;9;0;2;8;2;5;3;2;0
2019-08-14 03:19:58;62;16;9;0;2;8;2;5;3;2;0
2019-08-14 03:20:59;62;16;9;0;2;8;2;5;3;2;0
2019-08-14 03:21:59;64;16;10;0;2;8;2;5;3;2;0
2019-08-14 03:22:58;64;16;10;0;2;8;2;5;3;2;0
2019-08-14 03:23:59;64;16;10;0;2;8;2;5;3;2;0
2019-08-14 03:24:58;64;16;10;0;2;8;2;5;3;2;0
