datetime;total_votes;nekto_mozg;Neymar_Junior;shamanka2_0;maria_ego;navalny;vatnostakan;quick_justice;Helter;Ejik;Dirtylieutenant
2020-11-11 01:17:59;50;10;10;7;4;0;4;0;3;1;3
2020-11-11 01:18:58;50;10;10;7;4;0;4;0;3;1;3
2020-11-11 01:19:59;50;10;10;7;4;0;4;0;3;1;3
2020-11-11 01:20:59;51;10;11;7;4;0;4;0;3;1;3
2020-11-11 01:21:58;51;10;11;7;4;0;4;0;3;1;3
2020-11-11 01:22:59;51;11;11;7;4;0;4;0;2;1;3
2020-11-11 01:23:59;51;11;11;7;4;0;4;0;2;1;3
2020-11-11 01:24:58;51;11;11;7;4;0;4;0;2;1;3
2020-11-11 01:25:59;52;11;11;7;4;1;4;0;2;0;3
2020-11-11 01:26:59;52;11;11;7;4;1;4;0;2;0;3
2020-11-11 01:27:58;52;11;11;7;4;1;4;0;2;0;3
2020-11-11 01:28:59;52;11;11;7;4;1;4;0;2;0;3
2020-11-11 01:29:59;52;11;11;7;4;1;4;0;2;0;3
2020-11-11 01:30:58;52;11;11;7;4;1;4;0;2;0;3
2020-11-11 01:31:59;53;11;11;7;4;1;4;0;2;0;3
2020-11-11 01:32:59;53;11;11;7;4;1;4;0;2;0;3
2020-11-11 01:33:58;53;11;11;7;4;1;4;0;2;0;3
2020-11-11 01:34:59;54;11;12;7;4;1;4;0;2;0;3
2020-11-11 01:35:58;54;11;12;7;4;1;4;0;2;0;3
2020-11-11 01:36:59;54;11;12;7;4;1;4;0;2;0;3
2020-11-11 01:37:59;54;11;12;7;4;1;4;0;2;0;3
2020-11-11 01:38:58;54;11;12;7;4;1;4;0;2;0;3
2020-11-11 01:39:59;54;11;12;7;4;1;4;0;2;0;3
2020-11-11 01:40:59;55;11;12;7;4;0;4;0;2;0;3
2020-11-11 01:41:58;55;11;12;7;4;0;4;0;2;0;3
2020-11-11 01:42:59;55;11;12;7;4;0;4;0;2;0;3
2020-11-11 01:43:59;55;11;12;7;4;0;4;0;2;0;3
2020-11-11 01:44:58;55;11;12;7;4;0;4;0;2;0;3
2020-11-11 01:45:59;56;12;12;7;4;0;4;0;2;0;3
2020-11-11 01:46:58;57;12;13;7;4;0;4;0;2;0;3
2020-11-11 01:47:59;57;12;13;7;4;0;4;0;2;0;3
2020-11-11 01:48:59;58;12;14;7;4;0;4;0;2;0;3
2020-11-11 01:49:58;58;12;14;7;4;0;4;0;2;0;3
2020-11-11 01:50:59;58;12;14;7;4;0;4;0;2;0;3
2020-11-11 01:51:59;58;12;14;7;4;0;4;0;2;0;3
2020-11-11 01:52:58;58;12;14;7;4;0;4;0;2;0;3
2020-11-11 01:53:59;58;12;14;7;4;0;4;0;2;0;3
2020-11-11 01:54:59;58;12;14;7;4;0;4;0;2;0;3
2020-11-11 01:55:58;59;13;14;7;4;0;4;0;2;0;3
2020-11-11 01:56:59;59;13;14;7;4;0;4;0;2;0;3
2020-11-11 01:57:59;60;14;14;7;4;0;4;0;2;0;3
2020-11-11 01:58:58;60;14;14;7;4;0;4;0;2;0;3
2020-11-11 01:59:59;60;14;14;7;4;0;4;0;2;0;3
2020-11-11 02:00:58;60;14;14;7;4;0;4;0;2;0;3
2020-11-11 02:01:59;60;14;14;7;4;0;4;0;2;0;3
2020-11-11 02:02:59;60;14;14;7;4;0;4;0;2;0;3
2020-11-11 02:03:59;60;14;14;7;4;0;4;0;2;0;3
2020-11-11 02:04:58;60;14;14;7;4;0;4;0;2;0;3
2020-11-11 02:05:59;62;15;15;7;4;0;4;0;2;0;3
2020-11-11 02:06:59;62;15;15;7;4;0;4;0;2;0;3
2020-11-11 02:07:58;62;15;15;7;4;0;4;0;2;0;3
2020-11-11 02:08:59;62;15;15;7;4;0;4;0;2;0;3
2020-11-11 02:09:59;62;15;15;7;4;0;4;0;2;0;3
2020-11-11 02:10:58;63;16;15;7;4;0;4;0;2;0;3
2020-11-11 02:11:59;64;16;15;7;4;2;4;0;2;1;3
2020-11-11 02:12:59;64;16;15;7;4;2;4;0;2;1;3
2020-11-11 02:13:58;64;16;15;7;4;2;4;0;2;1;3
2020-11-11 02:14:59;64;16;15;7;4;2;4;0;2;1;3
2020-11-11 02:15:58;64;16;15;7;4;2;4;0;2;1;3
2020-11-11 02:16:59;64;16;15;7;4;2;4;0;2;1;3
2020-11-11 02:17:59;64;16;15;7;4;2;4;0;2;1;3
2020-11-11 02:18:58;65;17;15;7;4;2;4;0;2;1;3
2020-11-11 02:19:59;65;17;15;7;4;2;4;0;2;1;3
