datetime;total_votes;Mindsplitter;Wiedemann;Tomintoul;KOCTOPE3;Terkin;axxl;Есения;jakesnake;vprock;quick_justice
2021-02-03 01:29:58;37;3;4;15;2;3;0;0;0;1;1
2021-02-03 01:30:59;37;3;4;15;2;3;0;0;0;1;1
2021-02-03 01:31:59;37;3;4;15;2;3;0;0;0;1;1
2021-02-03 01:32:58;37;3;4;15;2;3;0;0;0;1;1
2021-02-03 01:33:59;37;3;4;15;2;3;0;0;0;1;1
2021-02-03 01:34:58;37;3;4;15;2;3;0;0;0;1;1
2021-02-03 01:35:59;38;3;4;16;2;3;0;0;0;1;1
2021-02-03 01:36:59;38;3;4;16;2;3;0;0;0;1;1
2021-02-03 01:37:58;38;3;4;16;2;3;0;0;0;1;1
2021-02-03 01:38:59;38;3;4;16;2;3;0;0;0;1;1
2021-02-03 01:39:59;38;3;4;16;2;3;0;0;0;1;1
2021-02-03 01:40:58;39;3;4;16;2;3;0;0;0;1;0
2021-02-03 01:41:59;39;3;4;16;2;3;0;0;0;1;0
2021-02-03 01:42:59;39;3;4;16;2;3;0;0;0;1;0
2021-02-03 01:43:58;39;4;4;16;2;3;0;0;0;1;1
2021-02-03 01:44:59;39;4;4;16;2;3;0;0;0;1;1
2021-02-03 01:45:58;40;4;4;16;2;3;0;0;0;1;0
2021-02-03 01:46:59;40;4;4;16;2;3;0;0;0;1;0
2021-02-03 01:47:59;40;4;4;16;2;3;0;0;0;1;0
2021-02-03 01:48:58;40;4;4;16;2;3;0;0;0;1;0
2021-02-03 01:49:59;40;4;4;16;2;3;0;0;0;1;0
2021-02-03 01:50:59;40;4;4;16;2;3;0;0;0;1;0
2021-02-03 01:51:58;40;4;4;16;2;3;0;0;0;1;0
2021-02-03 01:52:59;40;4;4;16;2;3;0;0;0;1;0
2021-02-03 01:53:58;40;4;4;16;2;3;0;0;0;1;0
2021-02-03 01:54:59;40;4;4;16;2;3;0;0;0;1;0
2021-02-03 01:55:59;40;4;4;16;2;3;0;0;0;1;0
