datetime;total_votes;leprovalentin;Grit;АНАРХИЯ;KOCTOPE3;shamanka2_1;Wiedemann;Rumpelstilzchen;ruweb;Finsternis;shturn
2021-02-10 01:29:59;46;0;11;9;4;1;0;7;2;2;0
2021-02-10 01:30:58;47;0;11;9;5;1;0;7;2;2;0
2021-02-10 01:31:59;47;0;11;9;5;1;0;7;2;2;0
2021-02-10 01:32:59;47;0;11;9;5;1;0;7;2;2;0
2021-02-10 01:33:58;47;0;11;9;5;1;0;7;2;2;0
2021-02-10 01:34:59;47;0;11;9;5;1;0;7;2;2;0
2021-02-10 01:35:58;47;0;11;9;5;1;0;7;2;2;0
2021-02-10 01:36:59;48;0;12;9;5;1;0;7;2;2;0
2021-02-10 01:37:59;48;0;12;9;5;1;0;7;2;2;0
2021-02-10 01:38:58;48;0;12;9;5;1;0;7;2;2;0
2021-02-10 01:39:59;48;0;12;9;5;1;0;7;2;2;0
2021-02-10 01:40:59;48;0;12;9;5;1;0;7;2;2;0
2021-02-10 01:41:58;48;0;12;9;5;1;0;7;2;2;0
2021-02-10 01:42:59;48;0;12;9;5;1;0;7;2;2;0
2021-02-10 01:43:59;48;0;12;9;5;1;0;7;2;2;0
2021-02-10 01:44:58;48;0;12;9;5;1;0;7;2;2;0
2021-02-10 01:45:59;48;0;12;9;5;1;0;7;2;2;0
2021-02-10 01:46:58;48;0;12;9;5;1;0;7;2;2;0
2021-02-10 01:47:59;48;0;12;9;5;1;0;7;2;2;0
2021-02-10 01:48:59;48;0;12;9;5;1;0;7;2;2;0
2021-02-10 01:49:58;48;0;12;9;5;1;0;7;2;2;0
2021-02-10 01:50:59;48;0;12;9;5;1;0;7;2;2;0
2021-02-10 01:51:59;48;0;12;9;5;1;0;7;2;2;0
2021-02-10 01:52:58;47;0;12;9;5;1;0;7;1;2;0
2021-02-10 01:53:59;47;0;12;9;5;1;0;7;1;2;0
2021-02-10 01:54:59;47;0;12;9;5;1;0;7;1;2;0
2021-02-10 01:55:58;47;0;12;9;5;1;0;7;1;2;0
2021-02-10 01:56:59;47;0;12;9;5;1;0;7;1;2;0
2021-02-10 01:58:00;47;0;12;9;5;1;0;7;1;2;0
2021-02-10 01:58:58;47;0;12;9;5;1;0;7;1;2;0
2021-02-10 01:59:59;47;0;12;9;5;1;0;7;1;2;0
2021-02-10 02:00:58;48;0;13;9;5;1;0;7;1;2;0
2021-02-10 02:01:59;48;0;13;9;5;1;0;7;1;2;0
2021-02-10 02:02:59;48;0;13;9;5;1;0;7;1;2;0
2021-02-10 02:03:58;48;0;13;9;5;1;0;7;1;2;0
2021-02-10 02:04:59;48;0;13;9;5;1;0;7;1;2;0
2021-02-10 02:05:58;49;0;13;9;5;1;0;8;1;2;0
2021-02-10 02:06:59;49;0;13;9;5;1;0;8;1;2;0
2021-02-10 02:07:59;49;0;13;9;5;1;0;8;1;2;0
2021-02-10 02:08:58;49;0;13;9;5;1;0;8;1;2;0
2021-02-10 02:09:59;49;0;13;9;5;1;0;8;1;2;0
