datetime;total_votes;Shambala;daruta;pupsique;kilogramm;UncleDre;kuznet;Есения;norpo;mama_p_zh;brammator
2019-03-06 01:29:59;34;9;5;0;4;0;2;0;2;0;0
2019-03-06 01:30:58;34;9;5;0;4;0;2;0;2;0;0
2019-03-06 01:31:59;34;9;5;0;4;0;2;0;2;0;0
2019-03-06 01:32:58;35;10;5;0;4;0;2;0;2;0;0
2019-03-06 01:33:59;35;10;5;0;4;0;2;0;2;0;0
2019-03-06 01:34:59;35;10;5;0;4;0;2;0;2;0;0
2019-03-06 01:35:58;35;10;5;0;4;0;2;0;2;0;0
2019-03-06 01:36:59;36;11;5;0;4;0;2;0;2;0;0
2019-03-06 01:37:58;36;11;5;0;4;0;2;0;2;0;0
2019-03-06 01:38:59;37;12;5;0;4;0;2;0;2;0;0
2019-03-06 01:39:58;37;12;5;0;4;0;2;0;2;0;0
2019-03-06 01:40:59;37;12;5;0;4;0;2;0;2;0;0
2019-03-06 01:41:59;38;13;5;0;4;0;2;0;2;0;0
2019-03-06 01:42:58;38;13;5;0;4;0;2;0;2;0;0
2019-03-06 01:43:59;38;13;5;0;4;0;2;0;2;0;0
2019-03-06 01:44:59;38;13;5;0;4;0;2;0;2;0;0
2019-03-06 01:45:58;38;13;5;0;4;0;2;0;2;0;0
2019-03-06 01:46:59;38;13;5;0;4;0;2;0;2;0;0
2019-03-06 01:47:59;38;13;5;0;4;0;2;0;2;0;0
2019-03-06 01:49:00;38;13;5;0;4;0;2;0;2;0;0
2019-03-06 01:49:58;38;13;5;0;4;0;2;0;2;0;0
2019-03-06 01:50:59;38;13;5;0;4;0;2;0;2;0;0
2019-03-06 01:51:58;38;13;5;0;4;0;2;0;2;0;0
2019-03-06 01:52:59;38;13;5;0;4;0;2;0;2;0;0
2019-03-06 01:53:59;38;13;5;0;4;0;2;0;2;0;0
2019-03-06 01:54:58;38;13;5;0;4;0;2;0;2;0;0
2019-03-06 01:55:59;38;13;5;0;4;0;2;0;2;0;0
2019-03-06 01:56:58;39;13;6;0;4;0;2;0;2;0;0
2019-03-06 01:57:59;39;13;6;0;4;0;2;0;2;0;0
2019-03-06 01:58:59;39;13;6;0;4;0;2;0;2;0;0
2019-03-06 01:59:58;39;13;6;0;4;0;2;0;2;0;0
2019-03-06 02:00:59;40;14;6;0;4;0;2;0;2;0;0
2019-03-06 02:01:59;40;14;6;0;4;0;2;0;2;0;0
2019-03-06 02:02:58;40;14;6;0;4;0;2;0;2;0;0
2019-03-06 02:03:59;40;14;6;0;4;0;2;0;2;0;0
2019-03-06 02:04:59;40;14;6;0;4;0;2;0;2;0;0
2019-03-06 02:05:58;40;14;6;0;4;0;2;0;2;0;0
2019-03-06 02:06:59;40;14;6;0;4;0;2;0;2;0;0
2019-03-06 02:08:00;40;14;6;0;4;0;2;0;2;0;0
2019-03-06 02:08:58;41;14;7;0;4;0;2;0;2;0;0
2019-03-06 02:09:59;41;14;7;0;4;0;2;0;2;0;0
2019-03-06 02:10:58;41;14;7;0;4;0;2;0;2;0;0
2019-03-06 02:11:59;41;14;7;0;4;0;2;0;2;0;0
2019-03-06 02:13:00;41;14;7;0;4;0;2;0;2;0;0
2019-03-06 02:13:58;41;14;7;0;4;0;2;0;2;0;0
2019-03-06 02:14:59;41;14;7;0;4;0;2;0;2;0;0
2019-03-06 02:15:58;41;14;7;0;4;0;2;0;2;0;0
2019-03-06 02:16:59;41;14;7;0;4;0;2;0;2;0;0
2019-03-06 02:17:58;41;14;7;0;4;0;2;0;2;0;0
2019-03-06 02:18:59;41;14;7;0;4;0;2;0;2;0;0
2019-03-06 02:19:58;41;14;7;0;4;0;2;0;2;0;0
2019-03-06 02:20:59;41;14;7;0;4;0;2;0;2;0;0
2019-03-06 02:21:58;41;14;7;0;4;0;2;0;2;0;0
2019-03-06 02:22:59;41;14;7;0;4;0;2;0;2;0;0
2019-03-06 02:23:58;41;14;7;0;4;0;2;0;2;0;0
2019-03-06 02:24:59;41;14;7;0;4;0;2;0;2;0;0
2019-03-06 02:25:58;42;14;7;0;4;0;2;0;3;0;0
2019-03-06 02:26:59;42;14;7;0;4;0;2;0;3;0;0
2019-03-06 02:27:59;42;14;7;0;4;0;2;0;3;0;0
2019-03-06 02:28:58;42;14;7;0;4;0;2;0;3;0;0
2019-03-06 02:29:59;42;14;7;0;4;0;2;0;3;0;0
2019-03-06 02:30:59;42;14;7;0;4;0;2;0;3;0;0
2019-03-06 02:31:58;42;14;7;0;4;0;2;0;3;0;0
2019-03-06 02:32:59;42;14;7;0;4;0;2;0;3;0;0
2019-03-06 02:33:59;42;14;7;0;4;0;2;0;3;0;0
2019-03-06 02:34:58;44;15;7;0;4;0;2;0;3;0;0
2019-03-06 02:35:59;44;15;7;0;4;0;2;0;3;0;0
2019-03-06 02:36:58;44;15;7;0;4;0;2;0;3;0;0
