datetime;total_votes;diliago;Dirtylieutenant;shamanka2_1;UndeadMoroz;EMAILWARENFABRIK;Есения;KOCTOPE3;a5urbanipa1;shapen;kross
2021-02-24 01:17:59;44;14;15;5;2;0;2;2;0;0;0
2021-02-24 01:18:58;46;14;16;5;2;0;2;2;0;0;0
2021-02-24 01:19:59;48;14;16;5;2;2;2;2;0;0;0
2021-02-24 01:20:58;48;14;16;5;2;2;2;2;0;0;0
2021-02-24 01:21:59;49;15;16;5;2;2;2;2;0;0;0
2021-02-24 01:22:59;49;15;16;5;2;2;2;2;0;0;0
2021-02-24 01:23:58;50;16;16;5;2;2;2;2;0;0;0
2021-02-24 01:24:59;50;16;16;5;2;2;2;2;0;0;0
2021-02-24 01:25:59;50;16;16;5;2;2;2;2;0;0;0
2021-02-24 01:26:58;50;16;16;5;2;2;2;2;0;0;0
2021-02-24 01:27:59;50;16;16;5;2;2;2;2;0;0;0
2021-02-24 01:28:59;50;16;16;5;2;2;2;2;0;0;0
2021-02-24 01:29:58;50;16;16;5;2;2;2;2;0;0;0
2021-02-24 01:30:59;50;16;16;5;2;2;2;2;0;0;0
2021-02-24 01:31:58;50;16;16;5;2;2;2;2;0;0;0
2021-02-24 01:32:59;51;17;16;5;2;2;2;2;0;0;0
2021-02-24 01:33:59;51;17;16;5;2;2;2;2;0;0;0
2021-02-24 01:34:58;51;17;16;5;2;2;2;2;0;0;0
2021-02-24 01:35:59;51;17;16;5;2;2;2;2;0;0;0
2021-02-24 01:36:59;51;17;16;5;2;2;2;2;0;0;0
2021-02-24 01:37:58;51;17;16;5;2;2;2;2;0;0;0
2021-02-24 01:38:59;51;17;16;5;2;2;2;2;0;0;0
2021-02-24 01:39:59;52;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:40:58;52;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:41:59;52;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:42:59;52;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:43:58;52;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:44:59;52;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:45:58;52;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:46:59;52;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:47:58;52;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:48:59;52;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:49:59;53;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:50:59;53;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:51:59;53;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:52:59;53;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:53:58;53;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:54:59;53;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:55:59;53;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:56:58;53;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:57:59;53;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:58:59;53;17;16;5;2;2;3;2;0;0;0
2021-02-24 01:59:58;53;17;16;5;2;2;3;2;0;0;0
2021-02-24 02:00:59;53;17;16;5;2;2;3;2;0;0;0
2021-02-24 02:01:58;53;17;16;5;2;2;3;2;0;0;0
2021-02-24 02:02:59;54;17;16;6;2;2;3;2;0;0;0
2021-02-24 02:03:58;54;17;16;6;2;2;3;2;0;0;0
2021-02-24 02:04:59;54;17;16;6;2;2;3;2;0;0;0
2021-02-24 02:05:58;54;17;16;6;2;2;3;2;0;0;0
2021-02-24 02:06:59;54;17;16;6;2;2;3;2;0;0;0
2021-02-24 02:07:59;54;17;16;6;2;2;3;2;0;0;0
2021-02-24 02:08:58;54;17;16;6;2;2;3;2;0;0;0
2021-02-24 02:09:59;54;17;16;6;2;2;3;2;0;0;0
2021-02-24 02:10:59;54;17;16;6;2;2;3;2;0;0;0
2021-02-24 02:11:58;54;17;16;6;2;2;3;2;0;0;0
2021-02-24 02:12:59;54;17;16;6;2;2;3;2;0;0;0
2021-02-24 02:13:59;54;17;16;6;2;2;3;2;0;0;0
2021-02-24 02:14:58;54;17;16;6;2;2;3;2;0;0;0
2021-02-24 02:15:59;54;17;16;6;2;2;3;2;0;0;0
2021-02-24 02:16:58;54;17;16;6;2;2;3;2;0;0;0
2021-02-24 02:17:59;54;17;16;6;2;2;3;2;0;0;0
2021-02-24 02:18:59;54;17;16;6;2;2;3;2;0;0;0
2021-02-24 02:19:58;54;17;16;6;2;2;3;2;0;0;0
2021-02-24 02:20:59;54;17;16;6;2;2;3;2;0;0;0
2021-02-24 02:21:59;54;17;16;6;2;2;3;2;0;0;0
2021-02-24 02:22:58;54;17;16;6;2;2;3;2;0;0;0
2021-02-24 02:23:59;54;17;16;6;2;2;3;2;0;0;0
2021-02-24 02:25:00;54;17;16;6;2;2;3;2;0;0;0
2021-02-24 02:25:58;54;17;16;6;2;2;3;2;0;0;0
2021-02-24 02:26:59;54;17;16;6;2;2;3;2;0;0;0
2021-02-24 02:27:58;54;17;16;5;2;2;3;2;0;0;0
2021-02-24 02:28:59;54;17;16;5;2;2;3;2;0;0;0
2021-02-24 02:29:59;54;17;16;5;2;2;3;2;0;0;0
2021-02-24 02:30:58;54;17;16;5;2;2;3;2;0;0;0
2021-02-24 02:31:59;54;17;16;5;2;2;3;2;0;0;0
2021-02-24 02:32:59;54;17;16;5;2;2;3;2;0;0;0
2021-02-24 02:33:58;54;17;16;5;2;2;3;2;0;0;0
2021-02-24 02:34:59;55;17;16;5;2;2;3;2;1;0;0
2021-02-24 02:35:58;55;17;16;5;2;2;3;2;1;0;0
2021-02-24 02:36:59;56;17;17;5;2;2;3;2;1;0;0
2021-02-24 02:37:59;56;17;17;5;2;2;3;2;1;0;0
2021-02-24 02:38:58;56;17;17;5;2;2;3;2;1;0;0
2021-02-24 02:39:59;56;17;17;5;2;2;3;2;1;0;0
2021-02-24 02:40:59;56;17;17;5;2;2;3;2;1;0;0
2021-02-24 02:41:58;56;16;17;5;2;2;3;2;0;0;0
2021-02-24 02:42:59;56;16;17;5;2;2;3;2;0;0;0
2021-02-24 02:43:59;56;16;17;5;2;2;3;2;0;0;0
2021-02-24 02:44:58;58;18;17;5;2;2;3;2;0;0;0
2021-02-24 02:45:59;58;18;17;5;2;2;3;2;0;0;0
2021-02-24 02:46:59;58;18;17;5;2;2;3;2;0;0;0
2021-02-24 02:47:58;58;18;17;5;2;2;3;2;0;0;0
2021-02-24 02:48:59;58;18;17;5;2;2;3;2;0;0;0
2021-02-24 02:49:59;58;18;17;5;2;2;3;2;0;0;0
2021-02-24 02:50:58;58;19;17;5;2;2;3;2;1;0;0
2021-02-24 02:51:59;59;19;17;5;2;2;3;2;1;0;0
2021-02-24 02:52:58;60;19;17;5;2;2;3;2;1;0;0
2021-02-24 02:53:59;60;19;17;5;2;2;3;2;1;0;0
2021-02-24 02:54:59;61;20;17;5;2;2;3;2;1;0;0
2021-02-24 02:55:58;61;20;17;5;2;2;3;2;1;0;0
2021-02-24 02:56:59;61;20;17;5;2;2;3;2;1;0;0
2021-02-24 02:57:58;61;20;17;5;2;2;3;2;1;0;0
2021-02-24 02:58:59;61;20;17;5;2;2;3;2;1;0;0
2021-02-24 02:59:59;61;20;17;5;2;2;3;2;1;0;0
2021-02-24 03:00:58;61;20;17;6;2;2;3;2;1;0;0
2021-02-24 03:01:59;61;20;17;6;2;2;3;2;1;0;0
2021-02-24 03:02:59;61;20;17;6;2;2;3;2;1;0;0
2021-02-24 03:03:58;62;20;17;6;2;2;4;2;1;0;0
2021-02-24 03:04:59;62;20;17;6;2;2;4;2;1;0;0
2021-02-24 03:05:59;62;20;17;6;2;2;4;2;1;0;0
2021-02-24 03:06:58;62;20;17;6;2;2;4;2;1;0;0
2021-02-24 03:07:59;62;20;17;6;2;2;4;2;1;0;0
2021-02-24 03:08:59;63;21;17;6;2;2;4;2;1;0;0
2021-02-24 03:09:58;63;21;17;6;2;2;4;2;1;0;0
2021-02-24 03:10:59;63;21;17;6;2;2;4;2;1;0;0
2021-02-24 03:11:59;63;21;17;6;2;2;4;2;1;0;0
2021-02-24 03:12:58;63;21;17;6;2;2;4;2;1;0;0
2021-02-24 03:13:59;63;21;17;6;2;2;4;2;1;0;0
2021-02-24 03:14:58;63;21;17;6;2;2;4;2;1;0;0
2021-02-24 03:15:59;63;21;17;6;2;2;4;2;1;0;0
2021-02-24 03:16:59;63;21;17;6;2;2;4;2;1;0;0
2021-02-24 03:17:58;63;21;17;6;2;2;4;2;1;0;0
2021-02-24 03:18:59;63;21;17;6;2;2;4;2;1;0;0
2021-02-24 03:19:58;63;21;17;6;2;2;4;2;1;0;0
2021-02-24 03:20:59;63;21;17;6;2;2;4;2;1;0;0
2021-02-24 03:21:59;63;21;17;6;2;2;4;2;1;0;0
2021-02-24 03:22:58;63;21;17;6;2;2;4;2;1;0;0
2021-02-24 03:23:59;63;21;17;6;2;2;4;2;1;0;0
2021-02-24 03:24:59;63;21;17;6;2;2;4;2;1;0;0
2021-02-24 03:25:58;63;21;17;6;2;2;4;2;1;0;0
2021-02-24 03:26:59;63;21;17;6;2;2;4;2;1;0;0
2021-02-24 03:27:59;63;21;17;6;2;2;4;2;1;0;0
2021-02-24 03:28:58;63;21;17;6;2;2;4;2;1;0;0
2021-02-24 03:29:59;64;22;17;6;2;2;4;2;1;0;0
2021-02-24 03:30:58;64;22;17;6;2;2;4;2;1;0;0
2021-02-24 03:31:59;64;22;17;6;2;2;4;2;1;0;0
2021-02-24 03:32:59;64;22;17;6;2;2;4;2;1;0;0
2021-02-24 03:33:58;64;22;17;6;2;2;4;2;1;0;0
2021-02-24 03:34:59;64;22;17;6;2;2;4;2;1;0;0
2021-02-24 03:36:00;64;22;17;6;2;2;4;2;1;0;0
2021-02-24 03:36:58;64;22;17;6;2;2;4;2;1;0;0
2021-02-24 03:37:59;64;22;17;6;2;2;4;2;1;0;0
2021-02-24 03:38:58;65;22;17;6;2;2;4;2;1;0;0
2021-02-24 03:39:59;65;22;17;6;2;2;4;2;1;0;0
2021-02-24 03:40:59;65;22;17;6;2;2;4;2;1;0;0
2021-02-24 03:41:58;65;22;17;6;2;2;4;2;1;0;0
2021-02-24 03:42:59;65;22;17;6;2;2;4;2;1;0;0
2021-02-24 03:43:59;65;22;17;6;2;2;4;2;1;0;0
2021-02-24 03:44:58;65;22;17;6;2;2;4;2;1;0;0
2021-02-24 03:45:59;66;22;18;6;2;2;4;2;1;0;0
2021-02-24 03:47:00;66;22;18;6;2;2;4;2;1;0;0
2021-02-24 03:47:58;66;22;18;6;2;2;4;2;1;0;0
2021-02-24 03:48:59;66;22;18;6;2;2;4;2;1;0;0
2021-02-24 03:49:59;66;22;18;6;2;2;4;2;1;0;0
2021-02-24 03:50:58;66;22;18;6;2;2;4;2;1;0;0
2021-02-24 03:51:59;67;23;18;6;2;2;4;2;1;0;0
2021-02-24 03:52:58;67;23;18;6;2;2;4;2;1;0;0
2021-02-24 03:53:59;67;23;18;6;2;2;4;2;1;0;0
2021-02-24 03:54:58;67;23;18;6;2;2;4;2;1;0;0
2021-02-24 03:55:59;67;23;18;6;2;2;4;2;1;0;0
2021-02-24 03:56:59;67;23;18;6;2;2;4;2;1;0;0
2021-02-24 03:57:58;67;23;18;6;2;2;4;2;1;0;0
2021-02-24 03:58:59;67;23;18;6;2;2;4;2;1;0;0
2021-02-24 03:59:58;67;24;17;6;2;2;4;2;1;0;0
2021-02-24 04:00:59;67;24;17;6;2;2;4;2;1;0;0
2021-02-24 04:01:59;67;24;17;6;2;2;4;2;1;0;0
2021-02-24 04:02:58;67;24;17;6;2;2;4;2;1;0;0
2021-02-24 04:03:59;68;24;17;6;2;3;4;2;1;0;0
2021-02-24 04:04:58;68;24;17;6;2;3;4;2;1;0;0
2021-02-24 04:05:59;68;24;17;6;2;3;4;2;1;0;0
2021-02-24 04:06:59;68;24;17;6;2;3;4;2;1;0;0
2021-02-24 04:07:58;68;24;17;6;2;3;4;2;1;0;0
2021-02-24 04:08:59;68;24;17;6;2;3;4;2;1;0;0
2021-02-24 04:09:59;69;24;17;6;2;3;4;2;2;0;0
2021-02-24 04:10:58;69;24;17;6;2;3;4;2;2;0;0
2021-02-24 04:11:59;69;24;17;6;2;3;4;2;2;0;0
2021-02-24 04:12:59;69;24;17;6;2;3;4;2;2;0;0
2021-02-24 04:13:58;70;24;18;6;2;3;4;2;2;0;0
2021-02-24 04:14:59;70;24;18;6;2;3;4;2;2;0;0
2021-02-24 04:15:59;70;24;18;6;2;3;4;2;2;0;0
2021-02-24 04:16:58;70;24;18;6;2;3;4;2;2;0;0
2021-02-24 04:17:59;70;24;18;6;2;3;4;2;2;0;0
2021-02-24 04:18:58;70;24;18;6;2;3;4;2;2;0;0
2021-02-24 04:19:59;70;24;18;6;2;3;4;2;2;0;0
2021-02-24 04:20:59;70;24;18;6;2;3;4;2;2;0;0
2021-02-24 04:21:58;70;24;18;6;2;3;4;2;2;0;0
2021-02-24 04:22:59;70;24;18;6;2;3;4;2;2;0;0
2021-02-24 04:23:59;70;24;18;6;2;3;4;2;2;0;0
2021-02-24 04:24:58;70;24;18;6;2;3;4;2;2;0;0
2021-02-24 04:25:59;70;24;18;6;2;3;4;2;2;0;0
2021-02-24 04:26:59;70;24;18;6;2;3;4;2;2;0;0
2021-02-24 04:27:58;70;24;18;6;2;3;4;2;2;0;0
2021-02-24 04:28:59;70;24;18;6;2;3;4;2;2;0;0
2021-02-24 04:29:59;70;24;18;6;2;3;4;2;2;0;0
2021-02-24 04:30:58;70;24;18;6;2;3;4;2;2;0;0
2021-02-24 04:31:59;70;24;18;6;2;3;4;2;2;0;0
2021-02-24 04:33:00;70;24;18;6;2;3;4;2;2;0;0
2021-02-24 04:33:58;70;24;18;6;2;3;4;2;2;0;0
2021-02-24 04:34:59;70;24;18;6;2;3;4;2;2;0;0
2021-02-24 04:35:58;70;24;18;6;2;3;4;2;2;0;0
2021-02-24 04:36:59;70;24;18;6;2;3;4;2;2;0;0
2021-02-24 04:37:59;70;24;18;6;2;3;4;2;2;0;0
2021-02-24 04:38:58;70;24;18;6;2;3;4;2;2;0;0
2021-02-24 04:39:59;70;24;18;6;2;3;4;2;2;0;0
2021-02-24 04:40:59;70;24;18;6;2;3;4;2;2;0;0
2021-02-24 04:41:58;70;24;18;6;2;3;4;2;2;0;0
2021-02-24 04:42:59;70;24;18;6;2;3;4;2;2;0;0
2021-02-24 04:43:59;70;24;18;6;2;3;4;2;2;0;0
2021-02-24 04:44:59;70;24;18;6;2;3;4;2;2;0;0
2021-02-24 04:45:58;71;25;18;6;2;3;4;2;2;0;0
2021-02-24 04:46:59;71;25;18;6;2;3;4;2;2;0;0
2021-02-24 04:47:59;71;25;18;6;2;3;4;2;2;0;0
2021-02-24 04:48:58;71;25;18;6;2;3;4;2;2;0;0
2021-02-24 04:49:59;71;25;18;6;2;3;4;2;2;0;0
2021-02-24 04:50:58;71;25;18;6;2;3;4;2;2;0;0
2021-02-24 04:51:59;71;25;18;6;2;3;4;2;2;0;0
2021-02-24 04:52:59;71;25;18;6;2;3;4;2;2;0;0
2021-02-24 04:53:58;71;25;18;6;2;3;4;2;2;0;0
2021-02-24 04:54:59;71;25;18;6;2;3;4;2;2;0;0
2021-02-24 04:55:58;71;25;18;6;2;3;4;2;2;0;0
2021-02-24 04:56:59;71;25;18;6;2;3;4;2;2;0;0
2021-02-24 04:57:59;71;25;18;6;2;3;4;2;2;0;0
2021-02-24 04:58:58;71;25;18;6;2;3;4;2;2;0;0
