datetime;total_votes;pavelomg;lublu-zubi;navalny;NoEndOutcry;XASSA;DrumBox;kotophalk;bf6;Cynicium;DoveKill
2019-09-18 01:18:58;21;3;3;4;2;1;1;1;0;2;0
2019-09-18 01:19:59;22;3;3;5;2;1;1;1;0;2;0
2019-09-18 01:20:59;22;3;3;5;2;1;1;1;0;2;0
2019-09-18 01:21:59;22;3;2;5;2;1;2;1;0;2;0
2019-09-18 01:22:58;22;3;2;5;2;1;2;1;0;2;0
2019-09-18 01:23:59;22;3;2;5;2;1;2;1;0;2;0
2019-09-18 01:24:59;22;3;2;5;2;1;2;1;0;2;0
2019-09-18 01:25:58;22;3;2;5;2;1;2;1;0;2;0
2019-09-18 01:26:59;22;3;2;5;2;1;2;1;0;2;0
2019-09-18 01:27:59;22;3;2;5;2;1;2;1;0;2;0
2019-09-18 01:28:59;22;3;2;5;2;1;2;1;0;2;0
2019-09-18 01:29:58;22;3;2;5;2;1;2;1;0;2;0
2019-09-18 01:30:59;22;3;2;5;2;1;2;1;0;2;0
2019-09-18 01:31:59;22;3;2;5;2;1;2;1;0;2;0
2019-09-18 01:32:58;22;3;2;5;2;1;2;1;0;2;0
2019-09-18 01:33:59;22;3;2;5;2;1;2;1;0;2;0
2019-09-18 01:34:59;22;3;2;5;2;1;2;1;0;2;0
2019-09-18 01:35:59;22;3;2;5;2;1;2;1;0;2;0
2019-09-18 01:36:58;22;3;2;5;2;1;2;1;0;2;0
2019-09-18 01:37:59;22;3;2;5;2;1;2;1;0;2;0
2019-09-18 01:38:59;22;3;2;5;2;1;2;1;0;2;0
2019-09-18 01:39:58;24;4;2;6;2;1;2;1;0;2;0
2019-09-18 01:40:59;24;4;2;6;2;1;2;1;0;2;0
2019-09-18 01:41:59;24;4;2;6;2;1;2;1;0;2;0
2019-09-18 01:42:59;25;5;2;6;2;1;2;1;0;2;0
2019-09-18 01:43:58;25;5;2;6;2;1;2;1;0;2;0
2019-09-18 01:44:59;25;5;2;6;2;1;2;1;0;2;0
2019-09-18 01:45:59;26;5;2;6;2;2;2;1;0;2;0
2019-09-18 01:46:59;26;5;2;6;2;2;2;1;0;2;0
2019-09-18 01:47:58;26;5;2;6;2;2;2;1;0;2;0
2019-09-18 01:48:59;26;5;2;6;2;2;2;1;0;2;0
2019-09-18 01:49:59;26;5;2;6;2;2;2;1;0;2;0
2019-09-18 01:50:59;26;5;2;6;2;2;2;1;0;2;0
2019-09-18 01:51:59;26;5;2;6;2;2;2;1;0;2;0
2019-09-18 01:52:58;26;5;2;6;2;2;2;1;0;2;0
2019-09-18 01:53:59;26;5;2;6;2;2;2;1;0;2;0
2019-09-18 01:54:59;26;5;2;6;2;2;2;1;0;2;0
2019-09-18 01:55:58;26;5;2;6;2;2;2;1;0;2;0
2019-09-18 01:56:59;26;5;2;6;2;2;2;1;0;2;0
2019-09-18 01:57:59;26;5;2;6;2;2;2;1;0;2;0
2019-09-18 01:58:58;26;5;2;6;2;2;2;1;0;2;0
2019-09-18 01:59:59;26;5;2;6;2;2;2;1;0;2;0
2019-09-18 02:00:59;26;5;2;6;2;2;2;1;0;2;0
2019-09-18 02:01:58;26;5;2;6;2;2;2;1;0;2;0
2019-09-18 02:02:59;26;5;2;6;2;2;2;1;0;2;0
2019-09-18 02:03:59;26;5;2;6;2;2;2;1;0;2;0
2019-09-18 02:04:59;26;5;2;6;2;2;2;1;0;2;0
2019-09-18 02:05:58;26;5;2;6;2;2;2;1;0;2;0
2019-09-18 02:06:59;26;5;2;6;2;2;2;1;0;2;0
2019-09-18 02:07:59;26;5;2;6;2;2;2;1;0;2;0
2019-09-18 02:08:59;26;5;2;6;2;2;2;1;0;2;0
2019-09-18 02:09:58;26;5;2;6;2;2;2;1;0;2;0
2019-09-18 02:10:59;26;5;2;6;2;2;2;1;0;2;0
2019-09-18 02:11:59;26;5;2;6;2;2;2;1;0;2;0
2019-09-18 02:12:58;26;5;2;6;2;2;2;1;0;2;0
2019-09-18 02:13:59;26;5;2;6;2;2;2;1;0;2;0
2019-09-18 02:14:59;26;5;2;6;2;2;2;1;0;2;0
2019-09-18 02:15:59;27;5;2;6;3;2;2;1;0;2;0
2019-09-18 02:16:58;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:17:59;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:18:59;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:19:58;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:20:59;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:21:59;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:22:59;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:23:58;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:24:59;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:25:59;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:26:59;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:27:58;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:28:59;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:29:59;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:30:58;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:31:59;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:32:59;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:33:59;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:34:58;28;6;2;6;3;2;2;1;0;2;0
2019-09-18 02:35:59;28;6;2;6;3;2;2;1;0;2;0
