datetime;total_votes;cofee;jovan;thaisia_b;NoEndOutcry;Trollero;cmapukocmankypum;voklo;asap;MishaPepyaka;Goinsane
2019-09-04 01:29:59;21;2;2;2;4;2;0;3;0;0;0
2019-09-04 01:30:58;21;2;2;2;4;2;0;3;0;0;0
2019-09-04 01:31:59;21;2;2;2;4;2;0;3;0;0;0
2019-09-04 01:32:59;21;2;2;2;4;2;0;3;0;0;0
2019-09-04 01:33:59;21;2;2;2;4;2;0;3;0;0;0
2019-09-04 01:34:58;21;2;2;2;4;2;0;3;0;0;0
2019-09-04 01:35:59;21;2;2;2;4;2;0;3;0;0;0
2019-09-04 01:36:59;21;2;2;2;4;2;0;3;0;0;0
2019-09-04 01:37:59;21;2;2;2;4;2;0;3;0;0;0
2019-09-04 01:38:58;21;2;2;2;4;2;0;3;0;0;0
2019-09-04 01:39:59;22;2;2;2;5;2;0;3;0;0;0
2019-09-04 01:40:59;22;2;2;2;5;2;0;3;0;0;0
2019-09-04 01:41:58;22;2;2;2;5;2;0;3;0;0;0
2019-09-04 01:42:59;22;2;2;2;5;2;0;3;0;0;0
2019-09-04 01:43:59;22;2;2;2;5;2;0;3;0;0;0
2019-09-04 01:44:59;22;2;2;2;5;2;0;3;0;0;0
2019-09-04 01:45:58;22;2;2;2;5;2;0;3;0;0;0
2019-09-04 01:46:59;22;2;2;2;5;2;0;3;0;0;0
2019-09-04 01:47:59;22;2;2;2;5;2;0;3;0;0;0
2019-09-04 01:48:59;23;3;2;2;5;2;0;3;0;0;0
2019-09-04 01:49:58;23;3;2;2;5;2;0;3;0;0;0
2019-09-04 01:50:59;23;3;2;2;5;2;0;3;0;0;0
2019-09-04 01:51:59;23;3;2;2;5;2;0;3;0;0;0
2019-09-04 01:52:58;24;3;3;2;5;2;0;3;0;0;0
2019-09-04 01:53:59;24;3;3;2;5;2;0;3;0;0;0
2019-09-04 01:54:59;24;3;3;2;5;2;0;3;0;0;0
2019-09-04 01:55:58;24;3;3;2;5;2;0;3;0;0;0
2019-09-04 01:56:59;24;3;3;2;5;2;0;3;0;0;0
2019-09-04 01:57:59;24;3;3;2;5;2;0;3;0;0;0
2019-09-04 01:58:59;24;3;3;2;5;2;0;3;0;0;0
2019-09-04 01:59:59;25;3;3;3;5;2;0;3;0;0;0
2019-09-04 02:00:58;25;3;3;3;5;2;0;3;0;0;0
2019-09-04 02:01:59;25;3;3;3;5;2;0;3;0;0;0
2019-09-04 02:02:59;25;3;3;3;5;2;0;3;0;0;0
2019-09-04 02:03:59;25;3;3;3;5;2;0;3;0;0;0
2019-09-04 02:04:58;25;3;3;3;5;2;0;3;0;0;0
2019-09-04 02:05:59;25;3;3;3;5;2;0;3;0;0;0
2019-09-04 02:06:59;25;3;3;3;5;2;0;3;0;0;0
2019-09-04 02:07:58;26;3;3;4;5;2;0;3;0;0;0
2019-09-04 02:08:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:09:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:10:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:11:58;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:12:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:13:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:14:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:15:58;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:16:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:17:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:18:58;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:19:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:20:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:21:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:22:58;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:23:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:24:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:25:58;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:26:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:27:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:28:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:29:58;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:30:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:31:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:32:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:33:58;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:34:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:35:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:36:58;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:37:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:38:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:39:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:40:58;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:41:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:42:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:43:58;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:44:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:45:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:46:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:47:58;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:48:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:49:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:50:58;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:51:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:52:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:53:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:54:58;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:55:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:56:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:57:58;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:58:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 02:59:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 03:00:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 03:01:58;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 03:02:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 03:03:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 03:04:58;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 03:05:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 03:06:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 03:07:59;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 03:08:58;27;3;3;5;5;2;0;3;0;0;0
2019-09-04 03:09:59;28;3;3;5;5;2;0;3;0;0;0
2019-09-04 03:10:59;28;3;3;5;5;2;0;3;0;0;0
2019-09-04 03:11:58;29;3;3;5;5;2;1;3;0;0;0
2019-09-04 03:12:59;29;3;3;5;5;2;1;3;0;0;0
2019-09-04 03:13:59;29;3;3;5;5;2;1;3;0;0;0
2019-09-04 03:14:59;29;3;3;5;5;2;1;3;0;0;0
2019-09-04 03:15:58;29;3;3;5;5;2;1;3;0;0;0
2019-09-04 03:16:59;29;3;3;5;5;2;1;3;0;0;0
2019-09-04 03:17:59;29;3;3;5;5;2;1;3;0;0;0
2019-09-04 03:18:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:19:58;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:20:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:21:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:22:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:23:58;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:24:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:25:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:26:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:27:58;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:28:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:29:58;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:30:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:31:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:32:58;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:33:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:34:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:35:58;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:36:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:37:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:38:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:39:58;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:40:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:41:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:42:58;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:43:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:44:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:45:58;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:46:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:47:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:48:58;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:49:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:50:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:51:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:52:58;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:53:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:54:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:55:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:56:58;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:57:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:58:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 03:59:58;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 04:00:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 04:01:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 04:02:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 04:04:00;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 04:04:58;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 04:05:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 04:06:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 04:07:58;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 04:08:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 04:09:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 04:10:58;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 04:11:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 04:12:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 04:13:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 04:15:00;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 04:15:58;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 04:16:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 04:17:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 04:18:58;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 04:19:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 04:20:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 04:21:58;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 04:22:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 04:23:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 04:24:58;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 04:25:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 04:26:59;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 04:27:58;30;3;3;5;5;2;1;3;0;0;1
2019-09-04 04:28:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 04:29:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 04:30:58;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 04:31:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 04:32:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 04:33:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 04:34:58;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 04:35:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 04:36:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 04:37:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 04:38:58;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 04:39:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 04:40:59;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 04:41:58;31;4;3;5;5;2;1;3;0;0;1
2019-09-04 04:42:59;31;4;3;5;5;2;1;3;0;0;1
