datetime;total_votes;Hexadecachoron;megaslowpoke;jovan;Есения;navalny;quick_justice;aeroplanchik;Rumpelstilzchen;megalomaniac;kiLstrom
2020-08-26 01:17:59;27;5;5;0;4;0;2;0;2;2;2
2020-08-26 01:18:59;27;5;5;0;4;0;2;0;2;2;2
2020-08-26 01:19:58;27;5;5;0;4;0;2;0;2;2;2
2020-08-26 01:20:59;27;5;5;0;4;0;2;0;2;2;2
2020-08-26 01:21:59;28;5;6;0;4;0;2;0;2;2;2
2020-08-26 01:22:58;28;5;6;0;4;0;2;0;2;2;2
2020-08-26 01:23:59;28;5;6;0;4;0;2;0;2;2;2
2020-08-26 01:24:58;28;5;6;0;4;0;2;0;2;2;2
2020-08-26 01:25:59;28;5;6;0;4;0;2;0;2;2;2
2020-08-26 01:26:59;28;5;6;0;4;0;2;0;2;2;2
2020-08-26 01:27:59;28;5;6;0;4;0;2;0;2;2;2
2020-08-26 01:28:58;28;5;6;0;4;0;2;0;2;2;2
2020-08-26 01:29:59;28;5;6;0;4;0;2;0;2;2;2
2020-08-26 01:30:58;28;5;6;0;4;0;2;0;2;2;2
2020-08-26 01:31:59;28;5;6;0;4;0;2;0;2;2;2
2020-08-26 01:32:59;28;5;6;0;4;0;2;0;2;2;2
2020-08-26 01:33:58;28;5;6;0;4;0;2;0;2;2;2
2020-08-26 01:34:59;28;5;6;0;4;0;2;0;2;2;2
2020-08-26 01:35:58;28;5;6;0;4;0;2;0;2;2;2
2020-08-26 01:36:59;28;5;6;0;4;0;2;0;2;2;2
2020-08-26 01:37:59;28;5;6;0;4;0;2;0;2;2;2
2020-08-26 01:39:00;28;5;6;0;4;0;2;0;2;2;2
2020-08-26 01:39:58;28;5;6;0;4;0;2;0;2;2;2
2020-08-26 01:40:59;29;5;6;0;4;0;3;0;2;2;2
2020-08-26 01:41:58;29;5;6;0;4;0;3;0;2;2;2
2020-08-26 01:42:59;29;5;6;0;4;0;3;0;2;2;2
2020-08-26 01:43:59;29;5;6;0;4;0;3;0;2;2;2
2020-08-26 01:44:58;29;5;6;0;4;0;3;0;2;2;2
2020-08-26 01:45:59;29;5;6;0;4;0;3;0;2;2;2
2020-08-26 01:46:59;29;5;6;0;4;0;3;0;2;2;2
2020-08-26 01:47:58;29;5;6;0;4;0;3;0;2;2;2
2020-08-26 01:48:59;29;5;6;0;4;0;3;0;2;2;2
2020-08-26 01:49:58;29;5;6;0;4;0;3;0;2;2;2
2020-08-26 01:50:59;29;5;6;0;4;0;3;0;2;2;2
2020-08-26 01:51:59;29;5;6;0;4;0;3;0;2;2;2
2020-08-26 01:52:58;29;5;6;0;4;0;3;0;2;2;2
2020-08-26 01:53:59;30;5;6;0;4;0;3;0;2;2;2
2020-08-26 01:54:59;30;5;6;0;4;0;3;0;2;2;2
2020-08-26 01:55:58;30;5;6;0;4;0;3;0;2;2;2
2020-08-26 01:56:59;30;5;6;0;4;0;3;0;2;2;2
2020-08-26 01:57:59;31;6;6;0;4;0;3;0;2;2;2
2020-08-26 01:58:58;31;6;6;0;4;0;3;0;2;2;2
2020-08-26 01:59:59;32;6;6;0;4;0;3;0;2;2;2
2020-08-26 02:00:59;32;6;6;0;4;0;3;0;2;2;2
2020-08-26 02:01:58;32;6;6;0;4;0;3;0;2;2;2
2020-08-26 02:02:59;32;6;6;0;4;0;3;0;2;2;2
2020-08-26 02:03:59;33;6;6;0;4;0;3;0;2;2;2
2020-08-26 02:04:58;33;6;6;0;4;0;3;0;2;2;2
2020-08-26 02:05:59;33;6;6;0;4;0;3;0;2;2;2
2020-08-26 02:06:59;33;6;6;0;4;0;3;0;2;2;2
2020-08-26 02:07:58;33;6;6;0;4;0;3;0;2;2;2
2020-08-26 02:08:59;34;6;7;0;4;0;3;0;2;2;2
2020-08-26 02:09:59;34;6;7;0;4;0;3;0;2;2;2
2020-08-26 02:10:58;34;6;7;0;4;0;3;0;2;2;2
2020-08-26 02:11:59;34;6;7;0;4;0;3;0;2;2;2
2020-08-26 02:12:58;34;6;7;0;4;0;3;0;2;2;2
2020-08-26 02:13:59;34;6;7;0;4;0;3;0;2;2;2
2020-08-26 02:14:59;34;6;7;0;4;0;3;0;2;2;2
2020-08-26 02:15:58;34;6;7;0;4;0;3;0;2;2;2
2020-08-26 02:16:59;34;6;7;0;4;0;3;0;2;2;2
2020-08-26 02:17:59;34;6;7;0;4;0;3;0;2;2;2
2020-08-26 02:18:58;34;6;7;0;4;0;3;0;2;2;2
2020-08-26 02:19:59;34;6;7;0;4;0;3;0;2;2;2
2020-08-26 02:20:58;34;6;7;0;4;0;3;0;2;2;2
2020-08-26 02:21:59;35;6;8;0;4;0;3;0;2;2;2
2020-08-26 02:22:59;35;6;8;0;4;0;3;0;2;2;2
2020-08-26 02:23:58;36;6;8;0;4;0;3;0;2;2;2
2020-08-26 02:24:59;37;6;8;0;5;0;3;0;2;2;2
2020-08-26 02:25:59;37;6;8;0;5;0;3;0;2;2;2
2020-08-26 02:26:58;37;6;8;0;5;0;3;0;2;2;2
2020-08-26 02:27:59;37;6;8;0;5;0;3;0;2;2;2
2020-08-26 02:28:59;37;6;8;0;5;0;3;0;2;2;2
2020-08-26 02:29:58;37;6;8;0;5;0;3;0;2;2;2
2020-08-26 02:30:59;37;6;8;0;5;0;3;0;2;2;2
2020-08-26 02:31:59;38;7;8;0;5;0;3;0;2;2;2
2020-08-26 02:32:58;38;7;8;0;5;0;3;0;2;2;2
2020-08-26 02:33:59;38;7;8;0;5;0;3;0;2;2;2
2020-08-26 02:34:59;38;7;8;0;5;0;3;0;2;2;2
2020-08-26 02:35:58;38;7;8;0;5;0;3;0;2;2;2
2020-08-26 02:36:59;38;7;8;0;5;0;3;0;2;2;2
2020-08-26 02:37:59;38;7;8;0;5;0;3;0;2;2;2
2020-08-26 02:38:58;38;7;8;0;5;0;3;0;2;2;2
2020-08-26 02:39:59;38;7;8;0;5;0;3;0;2;2;2
2020-08-26 02:40:58;38;7;8;0;5;0;3;0;2;2;2
2020-08-26 02:41:59;38;7;8;0;5;0;3;0;2;2;2
2020-08-26 02:42:59;38;7;8;0;5;0;3;0;2;2;2
2020-08-26 02:43:58;38;7;8;0;5;0;3;0;2;2;2
2020-08-26 02:44:59;38;7;8;0;5;0;3;0;2;2;2
2020-08-26 02:45:59;38;7;8;0;5;0;3;0;2;2;2
2020-08-26 02:46:58;38;7;8;0;5;0;3;0;2;2;2
2020-08-26 02:47:59;38;7;8;0;5;0;3;0;2;2;2
2020-08-26 02:48:59;38;7;8;0;5;0;3;0;2;2;2
2020-08-26 02:49:58;38;7;8;0;5;0;3;0;2;2;2
2020-08-26 02:50:59;38;7;8;0;5;0;3;0;2;2;2
2020-08-26 02:51:59;38;7;8;0;5;0;3;0;2;2;2
2020-08-26 02:52:58;38;7;8;0;5;0;3;0;2;2;2
2020-08-26 02:53:59;38;7;8;0;5;0;3;0;2;2;2
2020-08-26 02:54:59;38;7;8;0;5;0;3;0;2;2;2
2020-08-26 02:55:58;38;7;8;0;5;0;3;0;2;2;2
2020-08-26 02:56:59;38;7;8;0;5;0;3;0;2;2;2
2020-08-26 02:57:59;38;7;8;0;5;0;3;0;2;2;2
2020-08-26 02:58:58;38;7;8;0;5;0;3;0;2;2;2
2020-08-26 02:59:59;38;7;8;0;5;0;3;0;2;2;2
2020-08-26 03:00:58;39;7;8;0;5;0;3;0;2;2;2
2020-08-26 03:01:59;39;7;8;0;5;0;3;0;2;2;2
2020-08-26 03:02:59;40;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:03:58;40;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:04:59;40;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:05:59;40;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:06:58;40;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:07:59;40;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:08:58;40;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:09:59;40;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:10:59;40;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:11:58;40;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:12:59;40;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:13:59;40;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:14:58;41;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:15:59;42;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:16:59;42;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:17:58;42;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:18:59;42;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:19:59;42;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:20:58;42;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:21:59;42;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:22:59;42;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:23:58;42;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:24:59;42;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:25:58;42;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:26:59;42;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:27:59;42;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:28:58;42;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:29:59;42;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:30:59;42;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:31:58;42;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:32:59;42;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:33:59;42;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:34:58;42;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:35:59;42;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:36:59;42;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:37:58;42;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:38:59;42;7;8;0;5;0;3;0;2;3;2
2020-08-26 03:39:58;43;8;8;0;5;0;3;0;2;3;2
2020-08-26 03:40:59;43;8;8;0;5;0;3;0;2;3;2
2020-08-26 03:41:59;43;8;8;0;5;0;3;0;2;3;2
2020-08-26 03:42:59;43;8;8;0;5;0;3;0;2;3;2
2020-08-26 03:43:59;43;8;8;0;5;0;3;0;2;3;2
2020-08-26 03:44:59;43;8;8;0;5;0;3;0;2;3;2
2020-08-26 03:45:59;43;8;8;0;5;0;3;0;2;3;2
2020-08-26 03:46:58;43;8;8;0;5;0;3;0;2;3;2
2020-08-26 03:47:59;43;8;8;0;5;0;3;0;2;3;2
2020-08-26 03:48:59;43;8;8;0;5;0;3;0;2;3;2
2020-08-26 03:49:58;43;8;8;0;5;0;3;0;2;3;2
2020-08-26 03:50:59;43;8;8;0;5;0;3;0;2;3;2
2020-08-26 03:52:00;43;8;8;0;5;0;3;0;2;3;2
2020-08-26 03:52:58;43;8;8;0;5;0;3;0;2;3;2
2020-08-26 03:53:59;44;8;8;0;5;0;3;0;2;3;2
2020-08-26 03:54:58;44;8;8;0;5;0;3;0;2;3;2
2020-08-26 03:55:59;44;8;8;0;5;0;3;0;2;3;2
2020-08-26 03:56:59;44;8;8;0;5;0;3;0;2;3;2
2020-08-26 03:58:00;44;8;8;0;5;0;3;0;2;3;2
2020-08-26 03:58:58;44;8;8;0;5;0;3;0;2;3;2
2020-08-26 03:59:59;44;8;8;0;5;0;3;0;2;3;2
2020-08-26 04:00:58;44;8;8;0;5;0;3;0;2;3;2
2020-08-26 04:01:59;44;8;8;0;5;0;3;0;2;3;2
2020-08-26 04:02:59;44;8;8;0;5;0;3;0;2;3;2
2020-08-26 04:03:58;44;8;8;0;5;0;3;0;2;3;2
2020-08-26 04:04:59;44;8;8;0;5;0;3;0;2;3;2
2020-08-26 04:05:59;44;8;8;0;5;0;3;0;2;3;2
2020-08-26 04:06:58;44;8;8;0;5;0;3;0;2;3;2
2020-08-26 04:07:59;44;8;8;0;5;0;3;0;2;3;2
2020-08-26 04:08:59;44;8;8;0;5;0;3;0;2;3;2
2020-08-26 04:09:58;44;8;8;0;5;0;3;0;2;3;2
2020-08-26 04:10:59;44;8;8;0;5;0;3;0;2;3;2
2020-08-26 04:11:58;44;8;8;0;5;0;3;0;2;3;2
2020-08-26 04:12:59;44;8;8;0;5;0;3;0;2;3;2
2020-08-26 04:13:59;45;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:15:00;45;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:15:58;45;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:16:59;45;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:17:58;45;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:18:59;45;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:19:59;45;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:20:58;45;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:21:59;45;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:22:59;45;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:23:58;45;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:24:59;45;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:25:59;45;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:27:00;45;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:27:58;45;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:28:59;45;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:30:00;45;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:30:58;45;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:31:59;45;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:32:58;45;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:33:59;45;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:34:59;45;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:35:58;45;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:36:59;46;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:37:59;46;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:38:58;46;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:39:59;46;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:40:59;46;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:41:58;46;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:42:59;46;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:43:59;46;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:44:58;46;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:45:59;46;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:46:59;46;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:47:58;46;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:48:59;46;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:50:00;46;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:50:58;46;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:51:59;46;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:52:58;46;8;9;0;5;0;3;0;2;3;2
2020-08-26 04:53:59;47;9;9;0;5;0;3;0;2;3;2
2020-08-26 04:54:59;47;9;9;0;5;0;3;0;2;3;2
2020-08-26 04:55:58;47;9;9;0;5;0;3;0;2;3;2
2020-08-26 04:56:59;47;9;9;0;5;0;3;0;2;3;2
2020-08-26 04:57:59;47;9;9;0;5;0;3;0;2;3;2
2020-08-26 04:58:59;47;9;9;0;5;0;3;0;2;3;2
2020-08-26 04:59:58;47;9;9;0;5;0;3;0;2;3;2
2020-08-26 05:00:59;47;9;9;0;5;0;3;0;2;3;2
2020-08-26 05:01:59;47;9;9;0;5;0;3;0;2;3;2
2020-08-26 05:02:58;47;9;9;0;5;0;3;0;2;3;2
2020-08-26 05:03:59;47;9;9;0;5;0;3;0;2;3;2
2020-08-26 05:05:00;47;9;9;0;5;0;3;0;2;3;2
2020-08-26 05:05:58;48;10;9;0;5;0;3;0;2;3;2
2020-08-26 05:06:59;48;10;9;0;5;0;3;0;2;3;2
2020-08-26 05:07:59;48;10;9;0;5;0;3;0;2;3;2
2020-08-26 05:08:58;49;10;9;0;5;0;3;0;2;3;2
2020-08-26 05:09:59;49;10;9;0;5;0;3;0;2;3;2
2020-08-26 05:10:59;49;10;9;0;5;0;3;0;2;3;2
2020-08-26 05:11:58;49;10;9;0;5;0;3;0;2;3;2
2020-08-26 05:12:59;49;10;9;0;5;0;3;0;2;3;2
2020-08-26 05:13:59;49;10;9;0;5;0;3;0;2;3;2
2020-08-26 05:14:58;49;10;9;0;5;0;3;0;2;3;2
2020-08-26 05:15:59;49;10;9;0;5;0;3;0;2;3;2
2020-08-26 05:16:59;49;10;9;0;5;0;3;0;2;3;2
2020-08-26 05:17:58;50;10;9;0;5;0;4;0;2;3;2
2020-08-26 05:18:59;50;10;9;0;5;0;4;0;2;3;2
