datetime;total_votes;violetshit;KOCTOPE3;sergoff;psydoc;pupsique;xromota;Есения;UncleDre;BadFish;X-Rayer
2019-01-30 01:29:58;28;3;5;6;7;0;0;1;1;1;0
2019-01-30 01:30:59;28;3;5;6;7;0;0;1;1;1;0
2019-01-30 01:31:59;28;3;5;6;7;0;0;1;1;1;0
2019-01-30 01:32:58;29;3;5;6;7;1;1;1;0;1;0
2019-01-30 01:33:59;29;3;5;6;7;1;1;1;0;1;0
2019-01-30 01:34:59;29;3;5;6;7;1;1;1;0;1;0
2019-01-30 01:35:58;29;3;5;6;7;1;1;1;0;1;0
2019-01-30 01:36:59;29;3;5;6;7;1;1;1;0;1;0
2019-01-30 01:37:58;29;3;5;6;7;1;1;1;0;1;0
2019-01-30 01:38:59;29;3;5;6;7;1;1;1;0;1;0
2019-01-30 01:39:59;29;3;5;6;7;1;1;1;0;1;0
2019-01-30 01:40:58;29;3;5;6;7;1;1;1;0;1;0
2019-01-30 01:41:59;29;3;5;6;7;1;1;1;0;1;0
2019-01-30 01:42:59;29;3;5;6;7;1;1;1;0;1;0
2019-01-30 01:43:58;29;3;5;6;7;1;1;1;0;1;0
2019-01-30 01:44:59;29;3;5;6;7;1;1;1;0;1;0
2019-01-30 01:45:59;31;3;5;7;8;1;1;1;0;1;0
2019-01-30 01:46:58;31;3;5;7;8;1;1;1;0;1;0
2019-01-30 01:47:59;31;3;5;7;8;1;1;1;0;1;0
2019-01-30 01:48:58;31;3;5;7;8;1;1;1;0;1;0
2019-01-30 01:49:59;31;3;5;7;8;1;1;1;0;1;0
2019-01-30 01:50:59;31;3;5;7;8;1;1;1;0;1;0
2019-01-30 01:51:58;32;3;5;7;8;0;1;1;1;2;0
2019-01-30 01:52:59;32;3;5;7;8;0;1;1;1;2;0
2019-01-30 01:53:59;32;3;5;7;8;0;1;1;1;2;0
2019-01-30 01:54:58;32;3;5;7;8;0;1;1;1;2;0
2019-01-30 01:55:59;32;3;5;7;8;0;1;1;1;2;0
2019-01-30 01:56:59;32;3;5;7;8;0;1;1;1;2;0
2019-01-30 01:57:58;32;3;5;7;8;0;1;1;1;2;0
2019-01-30 01:58:59;32;3;5;7;8;0;1;1;1;2;0
2019-01-30 01:59:59;32;3;5;7;8;0;1;1;1;2;0
2019-01-30 02:00:58;32;3;5;7;8;0;1;1;1;2;0
2019-01-30 02:01:59;32;3;5;7;8;0;1;1;1;2;0
2019-01-30 02:02:59;32;3;5;7;8;0;1;1;1;2;0
2019-01-30 02:03:58;32;3;5;7;8;0;1;1;1;2;0
2019-01-30 02:04:59;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:05:58;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:06:59;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:07:59;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:08:58;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:09:59;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:10:59;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:11:58;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:12:59;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:13:59;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:14:58;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:15:59;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:16:58;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:17:59;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:18:59;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:19:58;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:20:59;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:21:59;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:22:58;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:23:59;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:24:58;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:25:59;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:26:59;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:27:58;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:28:59;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:29:58;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:30:59;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:31:59;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:32:58;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:33:59;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:34:58;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:35:59;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:36:59;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:37:58;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:38:59;33;3;5;7;8;0;1;1;0;2;0
2019-01-30 02:40:00;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 02:40:58;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 02:41:59;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 02:42:58;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 02:43:59;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 02:44:59;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 02:45:58;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 02:46:59;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 02:47:59;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 02:48:58;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 02:49:59;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 02:50:58;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 02:51:59;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 02:52:59;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 02:53:58;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 02:54:59;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 02:55:59;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 02:56:58;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 02:57:59;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 02:58:58;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 02:59:59;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 03:00:58;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 03:01:59;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 03:02:59;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 03:03:58;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 03:04:59;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 03:05:59;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 03:06:58;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 03:07:59;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 03:08:59;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 03:09:58;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 03:10:59;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 03:11:59;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 03:12:58;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 03:13:59;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 03:14:58;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 03:15:59;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 03:16:59;34;3;5;7;9;0;1;1;0;2;0
2019-01-30 03:17:58;35;3;5;7;9;0;1;1;1;2;0
2019-01-30 03:18:59;35;3;5;7;9;0;1;1;1;2;0
2019-01-30 03:19:58;35;3;5;7;9;0;1;1;1;2;0
2019-01-30 03:20:59;35;3;5;7;9;0;1;1;1;2;0
2019-01-30 03:21:59;35;3;5;7;9;0;1;1;1;2;0
2019-01-30 03:22:58;35;3;5;7;9;0;1;1;1;2;0
2019-01-30 03:23:59;35;3;5;7;9;0;1;1;1;2;0
2019-01-30 03:24:59;35;3;5;7;9;0;1;1;1;2;0
2019-01-30 03:25:58;35;3;5;7;9;0;1;1;1;2;0
2019-01-30 03:26:59;35;3;5;7;9;0;1;1;1;2;0
2019-01-30 03:27:59;35;3;5;7;9;0;1;1;1;2;0
2019-01-30 03:28:58;35;3;5;7;9;0;1;1;1;2;0
2019-01-30 03:29:59;35;3;5;7;9;0;1;1;1;2;0
2019-01-30 03:30:58;35;3;5;7;9;0;1;1;1;2;0
2019-01-30 03:31:59;36;3;5;8;9;0;1;1;1;2;0
2019-01-30 03:32:59;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 03:33:58;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 03:34:59;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 03:35:59;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 03:36:58;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 03:37:59;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 03:38:59;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 03:39:58;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 03:40:59;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 03:41:58;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 03:42:59;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 03:43:58;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 03:44:59;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 03:46:00;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 03:46:58;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 03:47:59;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 03:48:58;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 03:49:59;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 03:50:59;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 03:51:58;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 03:52:59;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 03:53:59;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 03:54:58;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 03:55:59;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 03:56:59;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 03:57:58;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 03:58:59;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 03:59:58;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 04:00:59;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 04:01:59;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 04:02:58;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 04:03:59;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 04:04:59;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 04:05:58;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 04:06:59;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 04:07:58;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 04:08:59;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 04:09:59;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 04:10:58;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 04:11:59;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 04:12:58;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 04:13:59;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 04:14:58;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 04:15:59;37;3;5;8;9;2;1;1;1;2;0
2019-01-30 04:16:59;38;3;5;9;9;2;1;1;1;2;0
2019-01-30 04:17:58;38;3;5;9;9;2;1;1;1;2;0
2019-01-30 04:18:59;38;3;5;9;9;2;1;1;1;2;0
2019-01-30 04:19:59;38;3;5;9;9;2;1;1;1;2;0
2019-01-30 04:20:58;38;3;5;9;9;2;1;1;1;2;0
2019-01-30 04:21:59;38;3;5;9;9;2;1;1;1;2;0
2019-01-30 04:22:59;38;3;5;9;9;2;1;1;1;2;0
2019-01-30 04:23:58;38;3;5;9;9;2;1;1;1;2;0
2019-01-30 04:24:59;38;3;5;9;9;2;1;1;1;2;0
2019-01-30 04:26:00;38;3;5;9;9;2;1;1;1;2;0
2019-01-30 04:26:58;38;3;5;9;9;2;1;1;1;2;0
2019-01-30 04:27:59;38;3;5;9;9;2;1;1;1;2;0
2019-01-30 04:28:58;38;3;5;9;9;2;1;1;1;2;0
2019-01-30 04:29:59;38;3;5;9;9;2;1;1;1;2;0
2019-01-30 04:30:59;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 04:31:58;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 04:32:59;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 04:33:58;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 04:34:59;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 04:35:59;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 04:36:58;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 04:37:59;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 04:38:59;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 04:39:58;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 04:40:59;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 04:41:58;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 04:42:59;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 04:43:58;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 04:44:59;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 04:45:59;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 04:46:58;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 04:47:59;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 04:48:59;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 04:49:58;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 04:50:59;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 04:51:58;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 04:52:59;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 04:53:59;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 04:54:58;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 04:55:59;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 04:56:59;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 04:57:58;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 04:58:59;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 04:59:58;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 05:00:59;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 05:01:59;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 05:02:58;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 05:03:59;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 05:04:58;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 05:05:59;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 05:06:59;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 05:07:58;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 05:08:59;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 05:09:58;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 05:10:59;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 05:11:59;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 05:12:58;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 05:13:59;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 05:14:59;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 05:15:58;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 05:16:59;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 05:17:58;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 05:18:59;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 05:19:59;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 05:20:58;39;3;6;9;9;2;1;1;1;2;0
2019-01-30 05:21:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:22:58;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:23:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:24:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:25:58;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:26:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:27:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:28:58;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:29:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:30:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:31:58;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:32:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:33:58;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:34:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:35:58;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:36:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:37:58;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:38:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:39:58;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:40:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:41:59;40;3;6;10;9;2;1;1;1;2;0
2019-01-30 05:42:58;40;3;6;10;9;2;1;1;1;2;0
