datetime;total_votes;heroin;Rumpelstilzchen;1917;navalny;Zippymax;quick_justice;shamanka2_0;Fill;HugoStiglitz;UndeadMoroz
2020-10-14 01:17:59;40;5;10;7;1;0;0;2;0;4;1
2020-10-14 01:18:58;40;5;10;7;1;0;0;2;0;4;1
2020-10-14 01:19:59;40;5;10;7;1;0;0;2;0;4;1
2020-10-14 01:20:59;40;5;10;7;1;0;0;2;0;4;1
2020-10-14 01:21:58;40;5;10;7;1;0;0;2;0;4;1
2020-10-14 01:22:59;40;5;10;7;1;0;0;2;0;4;1
2020-10-14 01:23:59;40;5;10;7;1;0;0;2;0;4;1
2020-10-14 01:24:58;40;5;10;7;1;0;0;2;0;4;1
2020-10-14 01:25:59;40;5;10;7;1;0;0;2;0;4;1
2020-10-14 01:26:59;40;5;10;7;1;0;0;2;0;4;1
2020-10-14 01:27:58;40;5;10;7;1;0;0;2;0;4;1
2020-10-14 01:28:59;40;5;10;7;1;0;0;2;0;4;1
2020-10-14 01:29:59;40;5;10;7;1;0;0;2;0;4;1
2020-10-14 01:30:58;40;5;10;7;1;0;0;2;0;4;1
2020-10-14 01:31:59;40;5;10;7;1;0;0;2;0;4;1
2020-10-14 01:32:59;41;5;10;8;1;0;0;2;0;4;1
2020-10-14 01:33:58;41;5;10;8;1;0;0;2;0;4;1
2020-10-14 01:34:59;41;5;10;8;1;0;0;2;0;4;1
2020-10-14 01:35:58;41;5;10;8;1;0;0;2;0;4;1
2020-10-14 01:36:59;41;5;10;8;1;0;0;2;0;4;1
2020-10-14 01:37:59;41;5;10;8;1;0;0;2;0;4;1
2020-10-14 01:38:58;41;5;10;8;1;0;0;2;0;4;1
2020-10-14 01:39:59;41;5;10;8;1;0;0;2;0;4;1
2020-10-14 01:40:59;41;5;10;8;1;0;0;2;0;4;1
2020-10-14 01:41:58;41;5;10;8;1;0;0;2;0;4;1
2020-10-14 01:42:59;42;5;10;8;1;0;0;2;0;4;0
2020-10-14 01:43:59;42;5;10;8;1;0;0;2;0;4;0
2020-10-14 01:44:58;43;5;10;8;1;0;0;2;0;5;0
2020-10-14 01:45:59;43;5;10;8;1;0;0;2;0;5;0
2020-10-14 01:46:58;43;5;10;8;1;0;0;2;0;5;0
2020-10-14 01:47:59;43;5;10;8;1;0;0;2;0;5;0
2020-10-14 01:48:59;43;5;10;8;1;0;0;2;0;5;0
2020-10-14 01:49:58;43;5;10;8;1;0;0;2;0;5;0
2020-10-14 01:50:59;43;5;10;8;1;0;0;2;0;5;0
2020-10-14 01:51:59;43;5;10;8;1;0;0;2;0;5;0
2020-10-14 01:52:58;43;5;10;8;1;0;0;2;0;5;0
2020-10-14 01:53:59;45;5;10;10;1;0;0;2;0;5;0
2020-10-14 01:54:58;45;5;10;10;1;0;0;2;0;5;0
