datetime;total_votes;Shambala;quick_justice;KOCTOPE3;shamanka2_1;Rumpelstilzchen;NAFA;Dirtylieutenant;EMAILWARENFABRIK;Есения;a5urbanipa1
2021-02-17 01:17:59;28;0;10;2;1;4;0;1;0;0;0
2021-02-17 01:18:59;28;0;10;2;1;4;0;1;0;0;0
2021-02-17 01:19:58;28;0;10;2;1;4;0;1;0;0;0
2021-02-17 01:20:59;28;0;10;2;1;4;0;1;0;0;0
2021-02-17 01:21:59;29;0;10;2;1;4;0;1;0;0;0
2021-02-17 01:22:58;29;0;10;2;1;4;0;1;0;0;0
2021-02-17 01:23:59;29;0;10;2;1;4;0;1;0;0;0
2021-02-17 01:24:59;31;0;10;2;1;6;0;1;0;0;0
2021-02-17 01:25:58;32;0;11;2;1;6;0;1;0;0;0
2021-02-17 01:26:59;33;0;11;2;1;6;0;1;0;0;0
2021-02-17 01:27:59;33;0;11;2;1;6;0;1;0;0;0
2021-02-17 01:28:58;33;0;11;2;1;6;0;1;0;0;0
2021-02-17 01:29:59;33;0;11;2;1;6;0;1;0;0;0
2021-02-17 01:30:59;33;0;11;2;1;6;0;1;0;0;0
2021-02-17 01:31:58;34;0;11;2;1;6;0;1;0;0;0
2021-02-17 01:32:59;34;0;11;2;1;6;0;1;0;0;0
2021-02-17 01:33:59;34;0;11;2;1;6;0;1;0;0;0
2021-02-17 01:34:58;34;0;11;2;1;6;0;1;0;0;0
2021-02-17 01:35:59;34;0;11;2;1;6;0;1;0;0;0
2021-02-17 01:36:59;34;0;11;2;1;6;0;1;0;0;0
2021-02-17 01:37:58;34;0;11;2;1;6;0;1;0;0;0
2021-02-17 01:38:59;34;0;11;2;1;6;0;1;0;0;0
2021-02-17 01:39:58;34;0;11;2;1;6;0;1;0;0;0
2021-02-17 01:40:59;34;0;11;2;1;6;0;1;0;0;0
2021-02-17 01:41:59;34;0;11;2;1;6;0;1;0;0;0
2021-02-17 01:42:58;34;0;11;2;1;6;0;1;0;0;0
2021-02-17 01:43:59;34;0;11;2;1;6;0;1;0;0;0
2021-02-17 01:44:59;34;0;11;2;1;6;0;1;0;0;0
2021-02-17 01:45:58;35;0;11;3;1;6;0;1;0;0;0
2021-02-17 01:46:59;36;1;11;3;1;6;0;1;0;0;0
2021-02-17 01:47:59;37;1;12;3;1;6;0;1;0;0;0
2021-02-17 01:48:58;37;1;12;3;1;6;0;1;0;0;0
2021-02-17 01:49:59;37;1;12;3;1;6;0;1;0;0;0
2021-02-17 01:50:58;37;1;12;3;1;6;0;1;0;0;0
2021-02-17 01:51:59;37;1;12;3;1;6;0;1;0;0;0
2021-02-17 01:52:58;37;1;12;3;1;6;0;1;0;0;0
2021-02-17 01:53:59;37;1;12;3;1;6;0;1;0;0;0
2021-02-17 01:54:59;38;1;12;3;1;7;0;1;0;0;0
2021-02-17 01:55:59;38;1;12;3;1;7;0;1;0;0;0
2021-02-17 01:56:58;38;1;12;3;1;7;0;1;0;0;0
2021-02-17 01:57:59;38;1;12;3;1;7;0;1;0;0;0
2021-02-17 01:58:58;38;1;12;3;1;7;0;1;0;0;0
2021-02-17 01:59:59;38;1;12;3;1;7;0;1;0;0;0
2021-02-17 02:00:58;38;1;12;3;1;7;0;1;0;0;0
2021-02-17 02:01:59;38;1;12;3;1;7;0;1;0;0;0
2021-02-17 02:02:59;38;1;12;3;1;7;0;1;0;0;0
2021-02-17 02:03:58;39;1;12;4;1;7;0;1;0;0;0
2021-02-17 02:04:59;39;1;12;4;1;7;0;1;0;0;0
2021-02-17 02:05:59;39;1;12;4;1;7;0;1;0;0;0
2021-02-17 02:06:58;39;1;12;4;1;7;0;1;0;0;0
2021-02-17 02:07:59;39;1;12;4;1;7;0;1;0;0;0
2021-02-17 02:08:58;39;1;12;4;1;7;0;1;0;0;0
2021-02-17 02:09:59;39;1;12;4;1;7;0;1;0;0;0
2021-02-17 02:10:59;39;1;12;4;1;7;0;1;0;0;0
2021-02-17 02:11:59;39;1;12;4;1;7;0;1;0;0;0
2021-02-17 02:12:59;39;1;12;4;1;7;0;1;0;0;0
2021-02-17 02:13:58;39;1;12;4;1;7;0;1;0;0;0
2021-02-17 02:14:59;39;1;12;4;1;7;0;1;0;0;0
2021-02-17 02:16:00;39;1;12;4;1;7;0;1;0;0;0
2021-02-17 02:16:58;39;1;12;4;1;7;0;1;0;0;0
2021-02-17 02:17:59;39;1;12;4;1;7;0;1;0;0;0
2021-02-17 02:18:58;39;1;12;4;1;7;0;1;0;0;0
2021-02-17 02:19:59;39;1;12;4;1;7;0;1;0;0;0
