datetime;total_votes;xtal;tutabrain;KOCTOPE3;Krokodilov_Gena;Tae4ka;bf6;brammator;kiLstrom;Mapm;kotophalk
2019-11-13 01:17:58;32;4;6;6;2;0;0;0;0;0;2
2019-11-13 01:18:59;32;4;6;6;2;0;0;0;0;0;2
2019-11-13 01:19:59;32;4;6;6;2;0;0;0;0;0;2
2019-11-13 01:20:58;32;4;6;6;2;0;0;0;0;0;2
2019-11-13 01:21:59;32;4;6;6;2;0;0;0;0;0;2
2019-11-13 01:22:59;33;5;6;6;2;0;0;0;0;0;2
2019-11-13 01:23:58;33;5;6;6;2;0;0;0;0;0;2
2019-11-13 01:24:59;33;5;6;6;2;0;0;0;0;0;2
2019-11-13 01:25:59;34;5;6;7;2;0;0;0;0;0;2
2019-11-13 01:26:59;34;5;6;7;2;0;0;0;0;0;2
2019-11-13 01:27:58;34;5;6;7;2;0;0;0;0;0;2
2019-11-13 01:28:59;35;5;6;7;2;0;0;0;0;0;2
2019-11-13 01:29:58;35;5;6;7;2;0;0;0;0;0;2
2019-11-13 01:30:59;36;5;7;7;2;0;0;0;0;0;2
2019-11-13 01:31:59;36;5;7;7;2;0;0;0;0;0;2
2019-11-13 01:32:59;36;5;7;7;2;0;0;0;0;0;2
2019-11-13 01:33:58;36;5;7;7;2;0;0;0;0;0;2
2019-11-13 01:34:58;36;5;7;7;2;0;0;0;0;0;2
2019-11-13 01:35:59;36;5;7;7;2;0;0;0;0;0;2
2019-11-13 01:36:58;36;5;7;7;2;0;0;0;0;0;2
2019-11-13 01:37:59;37;6;7;7;2;0;0;0;0;0;2
2019-11-13 01:38:59;37;6;7;7;2;0;0;0;0;0;2
2019-11-13 01:39:58;37;6;7;7;2;0;0;0;0;0;2
2019-11-13 01:40:59;37;6;7;7;2;0;0;0;0;0;2
2019-11-13 01:41:59;38;6;8;7;2;0;0;0;0;0;2
2019-11-13 01:42:58;38;6;8;7;2;0;0;0;0;0;2
2019-11-13 01:43:59;38;6;8;7;2;0;0;0;0;0;2
2019-11-13 01:44:59;38;6;8;7;2;0;0;0;0;0;2
2019-11-13 01:45:58;38;6;8;7;2;0;0;0;0;0;2
2019-11-13 01:46:59;38;6;8;7;2;0;0;0;0;0;2
2019-11-13 01:47:59;38;6;8;7;2;0;0;0;0;0;2
2019-11-13 01:48:58;38;6;8;7;2;0;0;0;0;0;2
2019-11-13 01:49:59;38;6;8;7;2;0;0;0;0;0;2
2019-11-13 01:50:59;38;6;8;7;2;0;0;0;0;0;2
2019-11-13 01:51:59;38;6;8;7;2;0;0;0;0;0;2
2019-11-13 01:52:58;38;6;8;7;2;0;0;0;0;0;2
2019-11-13 01:53:59;38;6;8;7;2;0;0;0;0;0;2
2019-11-13 01:54:59;38;6;8;7;2;0;0;0;0;0;2
2019-11-13 01:55:58;38;6;8;7;2;0;0;0;0;0;2
2019-11-13 01:56:59;38;6;8;7;2;0;0;0;0;0;2
2019-11-13 01:57:59;38;6;8;7;2;0;0;0;0;0;2
2019-11-13 01:58:59;38;6;8;7;2;0;0;0;0;0;2
2019-11-13 01:59:58;38;6;8;7;2;0;0;0;0;0;2
2019-11-13 02:00:59;38;6;8;7;2;0;0;0;0;0;2
2019-11-13 02:01:59;38;6;8;7;2;0;0;0;0;0;2
2019-11-13 02:02:59;39;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:03:58;39;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:04:59;39;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:05:58;39;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:06:59;39;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:07:59;39;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:08:59;39;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:09:58;39;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:10:59;39;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:11:59;39;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:12:58;39;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:13:59;39;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:14:59;39;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:15:59;39;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:16:58;39;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:17:59;39;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:18:59;39;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:19:58;40;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:20:59;40;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:21:59;40;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:22:58;40;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:23:59;40;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:24:59;40;6;8;7;3;0;0;0;0;0;2
2019-11-13 02:25:59;40;6;8;7;3;0;0;0;0;0;2
