datetime;total_votes;TheWho;Grit;transistor;navalny;EMAILWARENFABRIK;megaslowpoke;tutabrain;quick_justice;Есения;a5urbanipa1
2020-09-16 01:17:59;33;11;3;5;0;3;0;0;2;0;0
2020-09-16 01:18:59;33;11;3;5;0;3;0;0;2;0;0
2020-09-16 01:19:58;33;11;3;5;0;3;0;0;2;0;0
2020-09-16 01:20:59;33;11;3;5;0;3;0;0;2;0;0
2020-09-16 01:21:59;33;11;3;5;0;3;0;0;2;0;0
2020-09-16 01:22:58;33;11;3;5;0;3;0;0;2;0;0
2020-09-16 01:23:59;33;11;3;5;0;3;0;0;2;0;0
2020-09-16 01:24:58;33;11;3;5;0;3;0;0;2;0;0
2020-09-16 01:25:59;33;11;3;5;0;3;0;0;2;0;0
2020-09-16 01:26:59;35;11;3;5;0;3;2;0;2;0;0
2020-09-16 01:27:58;35;11;3;5;0;3;2;0;2;0;0
2020-09-16 01:28:59;36;11;3;5;0;3;2;0;2;0;0
2020-09-16 01:29:59;36;11;3;5;0;3;2;0;2;0;0
2020-09-16 01:30:58;36;11;3;5;0;3;2;0;2;0;0
2020-09-16 01:31:59;36;11;3;5;0;3;2;0;2;0;0
2020-09-16 01:32:59;36;11;3;5;0;3;2;0;2;0;0
2020-09-16 01:33:58;36;11;3;5;0;3;2;0;2;0;0
2020-09-16 01:34:59;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 01:35:59;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 01:36:58;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 01:37:59;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 01:38:58;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 01:39:59;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 01:40:59;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 01:41:58;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 01:42:59;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 01:44:00;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 01:44:58;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 01:45:59;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 01:47:00;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 01:47:58;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 01:48:59;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 01:49:58;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 01:50:59;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 01:51:59;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 01:52:58;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 01:53:59;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 01:55:00;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 01:55:58;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 01:56:59;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 01:57:58;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 01:58:59;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 01:59:59;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 02:00:58;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 02:01:59;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 02:02:59;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 02:03:58;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 02:04:59;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 02:05:59;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 02:06:58;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 02:07:59;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 02:08:59;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 02:09:58;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 02:10:59;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 02:11:59;37;11;3;6;0;3;2;0;2;0;0
2020-09-16 02:12:58;38;12;3;6;0;3;2;0;2;0;0
2020-09-16 02:13:59;38;12;3;6;0;3;2;0;2;0;0
2020-09-16 02:14:59;38;12;3;6;0;3;2;0;2;0;0
2020-09-16 02:15:58;38;12;3;6;0;3;2;0;2;0;0
2020-09-16 02:16:59;38;12;3;6;0;3;2;0;2;0;0
2020-09-16 02:17:59;38;12;3;6;0;3;2;0;2;0;0
2020-09-16 02:18:58;38;12;3;6;0;3;2;0;2;0;0
2020-09-16 02:19:59;38;12;3;6;0;3;2;0;2;0;0
2020-09-16 02:20:59;38;12;3;6;0;3;2;0;2;0;0
2020-09-16 02:21:58;38;12;3;6;0;3;2;0;2;0;0
2020-09-16 02:22:59;38;12;3;6;0;3;2;0;2;0;0
2020-09-16 02:23:59;38;12;3;6;0;3;2;0;2;0;0
2020-09-16 02:24:58;38;12;3;6;0;3;2;0;2;0;0
2020-09-16 02:25:59;38;12;3;6;0;3;2;0;2;0;0
2020-09-16 02:26:59;38;12;3;6;0;3;2;0;2;0;0
2020-09-16 02:27:58;38;12;3;6;0;3;2;0;2;0;0
2020-09-16 02:28:59;38;12;3;6;0;3;2;0;2;0;0
2020-09-16 02:29:59;38;12;3;6;0;3;2;0;2;0;0
2020-09-16 02:30:58;38;12;3;6;0;3;2;0;2;0;0
2020-09-16 02:31:59;39;13;3;6;0;3;2;0;2;0;0
2020-09-16 02:32:58;39;13;3;6;0;3;2;0;2;0;0
2020-09-16 02:33:59;39;13;3;6;0;3;2;0;2;0;0
2020-09-16 02:34:59;39;13;3;6;0;3;2;0;2;0;0
2020-09-16 02:35:58;39;13;3;6;0;3;2;0;2;0;0
2020-09-16 02:36:59;39;13;3;6;0;3;2;0;2;0;0
2020-09-16 02:37:59;40;13;3;6;0;3;2;0;2;0;0
2020-09-16 02:38:58;40;13;3;6;0;3;2;0;2;0;0
2020-09-16 02:39:59;40;13;3;6;0;3;2;0;2;0;0
2020-09-16 02:41:00;40;13;3;6;0;3;2;0;2;0;0
2020-09-16 02:41:58;40;13;3;6;0;3;2;0;2;0;0
2020-09-16 02:42:59;40;13;3;6;0;3;2;0;2;0;0
2020-09-16 02:43:58;40;13;3;6;0;3;2;0;2;0;0
2020-09-16 02:44:59;40;13;3;6;0;3;2;0;2;0;0
