datetime;total_votes;Hemml;KOCTOPE3;pupsique;Patagonia;megalomaniac;Palad1n;Gugomat;jovan;Есения;Der_Sturmer
2019-04-17 01:29:58;29;0;3;2;6;0;4;3;0;0;1
2019-04-17 01:30:59;30;0;3;2;6;0;4;4;0;0;1
2019-04-17 01:31:59;30;0;3;2;6;0;4;4;0;0;1
2019-04-17 01:32:58;30;0;3;2;6;0;4;4;0;0;1
2019-04-17 01:33:59;30;0;3;2;6;0;4;4;0;0;1
2019-04-17 01:34:58;30;0;3;2;6;0;4;4;0;0;1
2019-04-17 01:35:59;30;0;3;2;6;0;4;4;0;0;1
2019-04-17 01:36:58;30;0;3;2;6;0;4;4;0;0;1
2019-04-17 01:37:59;30;0;3;2;6;0;4;4;0;0;1
2019-04-17 01:38:59;30;0;3;2;6;0;4;4;0;0;1
2019-04-17 01:39:58;31;0;3;2;6;0;4;4;0;1;2
2019-04-17 01:40:59;31;0;3;2;6;0;4;4;0;1;2
2019-04-17 01:41:59;31;0;3;2;6;0;4;4;0;1;2
2019-04-17 01:42:58;31;0;3;2;6;0;4;4;0;1;2
2019-04-17 01:43:59;31;0;3;2;6;0;4;4;0;1;2
2019-04-17 01:44:59;31;0;3;2;6;0;4;4;0;1;2
2019-04-17 01:45:58;31;0;3;2;6;0;4;4;0;1;2
2019-04-17 01:46:59;31;0;3;2;6;0;4;4;0;1;2
2019-04-17 01:47:59;32;0;4;2;6;0;4;4;0;1;2
2019-04-17 01:48:58;32;0;4;2;6;0;4;4;0;1;2
2019-04-17 01:49:59;32;0;4;2;6;0;4;4;0;1;2
2019-04-17 01:50:59;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 01:51:58;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 01:52:59;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 01:53:58;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 01:54:59;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 01:55:59;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 01:56:58;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 01:57:59;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 01:58:59;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 01:59:58;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:00:59;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:01:59;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:02:58;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:03:59;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:04:59;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:05:58;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:06:59;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:07:58;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:08:59;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:09:59;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:10:58;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:11:59;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:12:59;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:13:59;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:14:58;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:15:59;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:16:58;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:17:59;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:19:00;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:19:58;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:20:59;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:21:58;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:22:59;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:23:59;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:24:58;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:25:59;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:26:59;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:27:58;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:28:59;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:29:59;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:30:58;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:31:59;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:32:59;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:33:58;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:34:59;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:35:59;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:36:58;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:37:59;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:38:59;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:39:58;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:40:59;33;0;4;2;6;0;4;4;0;0;2
2019-04-17 02:41:58;34;0;4;2;7;0;4;4;0;0;2
2019-04-17 02:42:59;34;0;4;2;7;0;4;4;0;0;2
2019-04-17 02:43:59;34;0;4;2;7;0;4;4;0;0;2
2019-04-17 02:44:58;34;0;4;2;7;0;4;4;0;0;2
2019-04-17 02:45:59;34;0;4;2;7;0;4;4;0;0;2
2019-04-17 02:46:59;34;0;4;2;7;0;4;4;0;0;2
2019-04-17 02:47:58;34;0;4;2;7;0;4;4;0;0;2
2019-04-17 02:48:59;34;0;4;2;7;0;4;4;0;0;2
2019-04-17 02:49:59;34;0;4;2;7;0;4;4;0;0;2
2019-04-17 02:50:58;34;0;4;2;7;0;4;4;0;0;2
2019-04-17 02:51:59;34;0;4;2;7;0;4;4;0;0;2
2019-04-17 02:52:58;34;0;4;2;7;0;4;4;0;0;2
2019-04-17 02:53:59;34;0;4;2;7;0;4;4;0;0;2
2019-04-17 02:54:59;34;0;4;2;7;0;4;4;0;0;2
2019-04-17 02:55:58;34;0;4;2;7;0;4;4;0;0;2
2019-04-17 02:56:59;34;0;4;2;7;0;4;4;0;0;2
2019-04-17 02:57:59;34;0;4;2;7;0;4;4;0;0;2
2019-04-17 02:58:58;34;0;4;2;7;0;4;4;0;0;2
2019-04-17 02:59:59;34;0;4;2;7;0;4;4;0;0;2
2019-04-17 03:00:59;34;0;4;2;7;0;4;4;0;0;2
2019-04-17 03:01:58;34;0;4;2;7;0;4;4;0;0;2
2019-04-17 03:02:59;34;0;4;2;7;0;4;4;0;0;2
